ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,250,55,16231,1650,2643,126,18,20973,9,6370
Unbranded,0,155,50,13191,848,684,114,17,15059,9,6370
Assorted,0,0,0,2601,0,0,0,0,2601,9,6370
Bebidas Grassi,0,0,0,190,190,0,0,0,380,9,6370
Mondelez International,0,0,0,2,0,313,0,0,315,9,6370
The Coca-Cola Company,0,1,0,3,256,39,0,0,299,9,6370
PepsiCo,0,0,0,0,21,135,0,0,156,9,6370
Confiteca,0,0,0,0,0,155,0,0,155,9,6370
Unilever,0,1,0,6,1,146,0,0,154,9,6370
Otros,0,0,0,0,0,143,0,0,143,9,6370
Quala,0,0,0,0,0,116,0,0,116,9,6370
Nestlé,0,2,0,0,6,75,0,0,83,9,6370
Colombina,0,0,0,0,0,77,0,0,77,9,6370
La Universal,0,0,0,0,0,59,0,0,59,9,6370
Icapeb,0,0,0,0,0,57,0,0,57,9,6370
Carli Snacks,0,0,0,0,0,49,0,0,49,9,6370
Tony,0,0,0,0,0,48,0,0,48,9,6370
Adams,0,0,0,0,0,44,0,0,44,9,6370
Secco,0,0,0,0,39,4,0,0,43,9,6370
Grupo Arcor,0,0,0,0,0,42,0,0,42,9,6370
Doble Cola,0,0,0,0,38,0,0,0,38,9,6370
Cerveceria Nacional,0,0,0,36,0,0,0,0,36,9,6370
Santa Fé,0,0,0,0,0,33,0,0,33,9,6370
Pritty,0,0,0,0,22,7,0,0,29,9,6370
Hispanamur,0,0,0,0,0,29,0,0,29,9,6370
Casoni,0,0,0,0,26,0,0,0,26,9,6370
Arca Continental,0,0,0,0,22,0,0,0,22,9,6370
Dori Alimentos As,0,0,0,0,0,21,0,0,21,9,6370
Riclan,0,0,0,0,0,21,0,0,21,9,6370
Villa Del Sur - Levite,0,0,0,0,19,1,0,0,20,9,6370
Doll,0,0,0,0,0,19,0,0,19,9,6370
Superior,0,0,0,0,0,18,0,0,18,9,6370
Manaos,0,0,0,0,14,4,0,0,18,9,6370
La Bichy Ahora,0,0,0,0,14,3,0,0,17,9,6370
Ecualac,0,0,0,17,0,0,0,0,17,9,6370
Super,0,0,0,0,0,16,0,0,16,9,6370
Arcor,0,0,0,1,0,14,0,0,15,9,6370
Villavicencio,0,0,0,0,14,1,0,0,15,9,6370
Tabacalera Del Este,0,0,0,14,0,0,0,0,14,9,6370
Coquetel Corote,0,0,0,7,7,0,0,0,14,9,6370
Eco De Los Andes,0,0,0,0,14,0,0,0,14,9,6370
Inalecsa,0,0,0,0,0,14,0,0,14,9,6370
Cavatini,0,0,0,13,0,0,0,0,13,9,6370
Pae,0,0,0,0,0,13,0,0,13,9,6370
Ferrero Group,0,1,0,2,0,10,0,0,13,9,6370
Villa Del Sur,0,0,0,0,8,3,0,0,11,9,6370
Servisachets,0,0,0,0,0,10,0,0,10,9,6370
Philip Morris,0,0,0,10,0,0,0,0,10,9,6370
Bubbaloo,0,0,0,0,0,9,0,0,9,9,6370
Livra,0,0,0,0,5,4,0,0,9,9,6370
