ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,215,55,607,1376,281,116,18,2668,4,243
Unbranded,0,155,50,532,848,122,114,17,1838,4,243
The Coca-Cola Company,0,0,0,0,222,35,0,0,257,4,243
Secco,0,0,0,0,39,4,0,0,43,4,243
Doble Cola,0,0,0,0,38,0,0,0,38,4,243
Pritty,0,0,0,0,22,7,0,0,29,4,243
PepsiCo,0,0,0,0,21,6,0,0,27,4,243
Casoni,0,0,0,0,26,0,0,0,26,4,243
Villa Del Sur - Levite,0,0,0,0,19,1,0,0,20,4,243
Manaos,0,0,0,0,14,4,0,0,18,4,243
La Bichy Ahora,0,0,0,0,14,3,0,0,17,4,243
Villavicencio,0,0,0,0,14,1,0,0,15,4,243
Eco De Los Andes,0,0,0,0,14,0,0,0,14,4,243
Cavatini,0,0,0,13,0,0,0,0,13,4,243
Villa Del Sur,0,0,0,0,8,3,0,0,11,4,243
Cepita,0,0,0,0,9,0,0,0,9,4,243
Livra,0,0,0,0,5,4,0,0,9,4,243
Nestlé,0,1,0,0,6,2,0,0,9,4,243
Vino Toro,0,0,0,8,0,0,0,0,8,4,243
Frutafiel,0,0,0,0,6,1,0,0,7,4,243
Unilever,0,1,0,3,1,2,0,0,7,4,243
Arcor,0,0,0,1,0,5,0,0,6,4,243
SC Johnson,0,1,1,3,0,0,0,0,5,4,243
Seven Up,0,0,0,0,5,0,0,0,5,4,243
Dea,0,0,0,0,3,2,0,0,5,4,243
Sierra De Los Padres,0,0,0,0,4,1,0,0,5,4,243
The Clorox Group,0,4,0,0,0,1,0,0,5,4,243
Goliat,0,0,0,0,2,2,0,0,4,4,243
Pipas,0,0,0,0,0,4,0,0,4,4,243
Mondelez International,0,0,0,0,0,4,0,0,4,4,243
Dr Pepper Snapple Group,0,0,0,1,3,0,0,0,4,4,243
Schneider,0,0,0,4,0,0,0,0,4,4,243
Tacconi,0,0,0,0,4,0,0,0,4,4,243
Brahma,0,0,0,3,0,0,0,0,3,4,243
Baggio Pronto,0,0,0,3,0,0,0,0,3,4,243
Fantoche,0,0,0,0,0,3,0,0,3,4,243
Fernando,0,0,0,0,1,2,0,0,3,4,243
Ferrero Group,0,1,0,0,0,2,0,0,3,4,243
Quilmes,0,0,0,3,0,0,0,0,3,4,243
Poett,0,0,0,0,2,0,0,0,2,4,243
Hacendado,0,0,0,0,0,2,0,0,2,4,243
Yamlube,0,2,0,0,0,0,0,0,2,4,243
Yamaha Motors Argentina S.A.,0,2,0,0,0,0,0,0,2,4,243
Wega (N15),0,0,0,2,0,0,0,0,2,4,243
Valvoline,0,2,0,0,0,0,0,0,2,4,243
Grido,0,0,0,1,0,1,0,0,2,4,243
La Virginia,0,0,0,0,0,2,0,0,2,4,243
