ParentCoFinal,EMPTY,PET,Grand Total,number of events,number of volunteers
Grand Total,0,578,578,3,1100
Voltic Ghana Limited,0,578,578,3,1100
PowerZone,0,0,0,3,1100
Yoghurt,0,0,0,3,1100
Verna,0,0,0,3,1100
V.I.P.,0,0,0,3,1100
Unilever,0,0,0,3,1100
Unbranded,0,0,0,3,1100
The Coca-Cola Company,0,0,0,3,1100
Storm Energy Drink,0,0,0,3,1100
Storm,0,0,0,3,1100
Standard Water,0,0,0,3,1100
Special Ice,0,0,0,3,1100
Special Cola,0,0,0,3,1100
Adonko Bitters,0,0,0,3,1100
Adonko bitters,0,0,0,3,1100
Planet Drink,0,0,0,3,1100
Malta Guiness,0,0,0,3,1100
FanIce,0,0,0,3,1100
Fan Ice,0,0,0,3,1100
Everpure,0,0,0,3,1100
Cool,0,0,0,3,1100
Colgate-Palmolive,0,0,0,3,1100
Coco Cola,0,0,0,3,1100
Beta Malt,0,0,0,3,1100
Bel Aqua,0,0,0,3,1100
Anita,0,0,0,3,1100
Alvaro,0,0,0,3,1100
Power Zone,0,0,0,3,1100
