ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,2,661,985,239,78,97,4,2066,4,88
Unbranded,0,1,210,117,68,18,97,4,515,4,88
SS Food Products,0,0,218,0,0,0,0,0,218,4,88
PepsiCo,0,0,0,107,13,0,0,0,120,4,88
Britannia,0,0,0,110,0,0,0,0,110,4,88
Perfetti van Melle,0,0,1,95,0,0,0,0,96,4,88
Milma,0,0,94,0,0,0,0,0,94,4,88
Mondelez International,0,0,0,75,0,0,0,0,75,4,88
ITC,0,0,0,67,0,0,0,0,67,4,88
The Coca-Cola Company,0,0,0,0,62,0,0,0,62,4,88
Parle,0,0,0,38,10,0,0,0,48,4,88
"Mars, Incorporated",0,0,28,17,0,0,0,0,45,4,88
Rusi,0,0,0,0,0,42,0,0,42,4,88
Nestlé,0,0,2,38,0,0,0,0,40,4,88
Aachi,0,0,0,38,0,0,0,0,38,4,88
Sun King,0,0,32,0,0,0,0,0,32,4,88
Anni,0,0,0,29,0,0,0,0,29,4,88
DS Group,0,0,1,25,0,0,0,0,26,4,88
Hans,0,0,0,24,0,0,0,0,24,4,88
Arcd,0,0,23,0,0,0,0,0,23,4,88
P&G,0,0,0,19,0,0,0,0,19,4,88
Naturo,0,0,0,19,0,0,0,0,19,4,88
Guiltfree Industries,0,0,0,18,0,0,0,0,18,4,88
Mc Dowell'S,0,0,0,0,15,0,0,0,15,4,88
Nizam,0,0,0,14,0,0,0,0,14,4,88
Xxx,0,0,0,0,14,0,0,0,14,4,88
PT Mayora Indah Tbk,0,0,0,11,0,0,0,0,11,4,88
Auroville Health Products,0,0,0,0,10,0,0,0,10,4,88
Bisleri,0,0,0,0,10,0,0,0,10,4,88
Richeese,0,0,0,9,0,0,0,0,9,4,88
Mansion House,0,0,0,0,8,0,0,0,8,4,88
Unilever,0,0,0,8,0,0,0,0,8,4,88
Haldiram's,0,0,0,8,0,0,0,0,8,4,88
Milky Mist,0,0,0,0,0,8,0,0,8,4,88
Reckitt Benckiser,0,0,0,7,0,0,0,0,7,4,88
Idium,0,0,0,7,0,0,0,0,7,4,88
Del Monte Pacific Limited,0,0,0,7,0,0,0,0,7,4,88
Mini Kutti Bidi,0,0,0,6,0,0,0,0,6,4,88
Reaf,0,0,6,0,0,0,0,0,6,4,88
Swiss,0,0,6,0,0,0,0,0,6,4,88
Chefs Art,0,0,5,0,0,0,0,0,5,4,88
Arun,0,0,0,0,4,0,0,0,4,4,88
Kama Sutra,0,0,0,4,0,0,0,0,4,4,88
CavinKare,0,0,1,3,0,0,0,0,4,4,88
Oshon,0,0,0,4,0,0,0,0,4,4,88
Classique,0,0,0,0,3,0,0,0,3,4,88
Arogka,0,0,0,0,0,3,0,0,3,4,88
Neon,0,0,0,0,3,0,0,0,3,4,88
Cycle Brand,0,0,3,0,0,0,0,0,3,4,88
Aurofina,0,0,0,0,3,0,0,0,3,4,88
Arcti,0,0,3,0,0,0,0,0,3,4,88
Amma,0,0,3,0,0,0,0,0,3,4,88
Colgate-Palmolive,0,0,0,3,0,0,0,0,3,4,88
Hatsun,0,0,0,0,0,2,0,0,2,4,88
GlaxoSmithKline,0,0,0,2,0,0,0,0,2,4,88
Vanteshwara,0,0,2,0,0,0,0,0,2,4,88
Foodcoast international,0,0,0,2,0,0,0,0,2,4,88
Himalaya,0,0,0,2,0,0,0,0,2,4,88
Aqua French,0,0,2,0,0,0,0,0,2,4,88
Clinic Plus,0,0,0,2,0,0,0,0,2,4,88
Nivas,0,0,2,0,0,0,0,0,2,4,88
Coramills,0,0,2,0,0,0,0,0,2,4,88
Sbs,0,0,2,0,0,0,0,0,2,4,88
Jk,0,0,0,2,0,0,0,0,2,4,88
Score,0,0,0,2,0,0,0,0,2,4,88
Nandini,0,0,0,0,0,2,0,0,2,4,88
Nabati,0,0,0,2,0,0,0,0,2,4,88
Tong,0,0,0,2,0,0,0,0,2,4,88
Asswins,0,0,2,0,0,0,0,0,2,4,88
