ParentCoFinal,EMPTY,O,PET,PP,Grand Total,number of events,number of volunteers
Grand Total,0,1,86,603,690,9,175
Unbranded,0,0,73,600,673,9,175
Frasassi,0,0,5,0,5,9,175
sorgesana,0,0,4,0,4,9,175
Simid Dobrudzha,0,0,0,3,3,9,175
San Benedetto,0,0,2,0,2,9,175
Relax,0,0,1,0,1,9,175
Viva - Siami SPA,0,0,1,0,1,9,175
"Reynolds American, Inc.",0,1,0,0,1,9,175
Sant'Agata,0,0,0,0,0,9,175
Roccfina,0,0,0,0,0,9,175
Rugiada,0,0,0,0,0,9,175
San Carlo,0,0,0,0,0,9,175
San carlo,0,0,0,0,0,9,175
Santal,0,0,0,0,0,9,175
Sant'Anna,0,0,0,0,0,9,175
Scala,0,0,0,0,0,9,175
Société Bic,0,0,0,0,0,9,175
Sole,0,0,0,0,0,9,175
Sorgesana,0,0,0,0,0,9,175
Ricola,0,0,0,0,0,9,175
unknowns,0,0,0,0,0,9,175
The Coca-Cola Company,0,0,0,0,0,9,175
Regina,0,0,0,0,0,9,175
Reckitt Benckiser,0,0,0,0,0,9,175
Purina gourmet,0,0,0,0,0,9,175
Presolana,0,0,0,0,0,9,175
Philip Morris,0,0,0,0,0,9,175
Perfetti,0,0,0,0,0,9,175
PepsiCo,0,0,0,0,0,9,175
Pejo,0,0,0,0,0,9,175
Pavesini,0,0,0,0,0,9,175
Parmareggio,0,0,0,0,0,9,175
P&G,0,0,0,0,0,9,175
Nutrisystem,0,0,0,0,0,9,175
Norda,0,0,0,0,0,9,175
Nokia,0,0,0,0,0,9,175
Tempo,0,0,0,0,0,9,175
Uliveto,0,0,0,0,0,9,175
Tropical,0,0,0,0,0,9,175
elah dufur,0,0,0,0,0,9,175
sterilgarda,0,0,0,0,0,9,175
selex,0,0,0,0,0,9,175
schwepps,0,0,0,0,0,9,175
saila,0,0,0,0,0,9,175
risparmio casa,0,0,0,0,0,9,175
nestlÃ¨,0,0,0,0,0,9,175
limonata happy fresh,0,0,0,0,0,9,175
lilia,0,0,0,0,0,9,175
henkel,0,0,0,0,0,9,175
grazia,0,0,0,0,0,9,175
fonzies,0,0,0,0,0,9,175
fiorucci,0,0,0,0,0,9,175
fantastic delite,0,0,0,0,0,9,175
estathÃ¨,0,0,0,0,0,9,175
consorziati dias,0,0,0,0,0,9,175
sveva,0,0,0,0,0,9,175
chiquita,0,0,0,0,0,9,175
chipster,0,0,0,0,0,9,175
boario,0,0,0,0,0,9,175
