ParentCoFinal,HDPE,O,PET,PP,Grand Total,number of events,number of volunteers
Grand Total,7,2755,1382,736,4880,1,300
Unbranded,7,2081,1374,700,4162,1,300
John,0,159,0,0,159,1,300
PT Gudang Garam Tbk.,0,117,0,0,117,1,300
McDonald's Corporation,0,27,0,5,32,1,300
KFC,0,0,0,31,31,1,300
Universal Robina Corporation,0,29,0,0,29,1,300
Mamee,0,29,0,0,29,1,300
Nestlé,0,24,0,0,24,1,300
Gardenia,0,23,0,0,23,1,300
Yeos,0,18,0,0,18,1,300
Mighty White,0,16,0,0,16,1,300
Marigold,0,16,0,0,16,1,300
Dutch Lady,0,15,0,0,15,1,300
Tam Tam - New Star Food Ind.,0,12,0,0,12,1,300
Royal - Kentucky,0,11,0,0,11,1,300
British American Tobacco,0,11,0,0,11,1,300
Oriental - Super Ring,0,10,0,0,10,1,300
"Mars, Incorporated",0,9,0,0,9,1,300
Apollo,0,9,0,0,9,1,300
Double Decker,0,9,0,0,9,1,300
Twisties,0,8,0,0,8,1,300
Corntoz,0,8,0,0,8,1,300
Ngan Yin,0,8,0,0,8,1,300
Bika - Hua Huat Manufacturing,0,7,0,0,7,1,300
Nabati Food,0,6,0,0,6,1,300
Imperial Brands,0,6,0,0,6,1,300
Hacks,0,5,0,0,5,1,300
Hwa Tai,0,5,0,0,5,1,300
Seamaster,0,0,5,0,5,1,300
Rex,0,5,0,0,5,1,300
Chipsmore,0,4,0,0,4,1,300
Tex,0,4,0,0,4,1,300
Cerdik - nuts,0,4,0,0,4,1,300
Soho,0,4,0,0,4,1,300
Walls,0,4,0,0,4,1,300
The Hershey Company,0,3,0,0,3,1,300
Seasons,0,3,0,0,3,1,300
Saat,0,3,0,0,3,1,300
Lexus,0,3,0,0,3,1,300
Mavius,0,3,0,0,3,1,300
PT Mayora Indah Tbk,0,3,0,0,3,1,300
Concept,0,3,0,0,3,1,300
Massimo,0,3,0,0,3,1,300
Good Day,0,3,0,0,3,1,300
Mi Mi - New Star Food Ind,0,3,0,0,3,1,300
Pran,0,2,0,0,2,1,300
Delight,0,2,0,0,2,1,300
PL - Kedai Roti (Bakery),0,2,0,0,2,1,300
Drinho,0,2,0,0,2,1,300
Oat Krunch,0,2,0,0,2,1,300
Win Win,0,2,0,0,2,1,300
Unilever,0,2,0,0,2,1,300
Keluarga,0,0,2,0,2,1,300
UR,0,2,0,0,2,1,300
LD,0,1,0,0,1,1,300
Suntory,0,1,0,0,1,1,300
Perfetti van Melle,0,1,0,0,1,1,300
PepsiCo,0,0,1,0,1,1,300
Fisher,0,1,0,0,1,1,300
Mondelez International,0,1,0,0,1,1,300
Philip Morris,0,1,0,0,1,1,300
