ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,3728,11700,28055,36226,708,120,33,80570,14,1648
Unbranded,0,1535,2581,19038,5720,577,120,0,29571,14,1648
La Doo,0,0,0,0,15221,0,0,0,15221,14,1648
Barna,0,0,0,0,6225,0,0,0,6225,14,1648
The Coca-Cola Company,0,0,0,57,1811,16,0,0,1884,14,1648
Reckitt Benckiser,0,985,0,570,10,0,0,0,1565,14,1648
Niger Biscuit Company Limited,0,0,0,1438,0,0,0,0,1438,14,1648
Master Chef,0,0,0,1259,0,0,0,0,1259,14,1648
FrieslandCampina,0,0,137,1045,0,0,0,0,1182,14,1648
"OK Foods, Inc.",0,0,87,982,0,0,0,0,1069,14,1648
PepsiCo,0,0,0,0,1021,30,0,0,1051,14,1648
Sweetco Foods Limited,0,0,0,975,0,0,0,0,975,14,1648
Nestlé,0,32,599,0,239,1,0,33,904,14,1648
Unilever,0,0,37,753,0,0,0,0,790,14,1648
Indofood,0,0,144,0,603,0,0,0,747,14,1648
"Oxford Industries, Inc.",0,0,746,0,0,0,0,0,746,14,1648
3250,0,0,720,0,0,0,0,0,720,14,1648
Rite Foods Limited,0,0,306,0,325,4,0,0,635,14,1648
Dr Pepper Snapple Group,0,0,0,0,604,0,0,0,604,14,1648
UAC Foods Limited,0,0,574,0,0,0,0,0,574,14,1648
Power Oil NV,0,0,523,0,0,0,0,0,523,14,1648
Malyn,0,0,0,0,458,0,0,0,458,14,1648
Parle Products Private Limited,0,0,432,0,0,0,0,0,432,14,1648
Yala,0,0,432,0,0,0,0,0,432,14,1648
Lady B Table Water,0,0,0,0,402,0,0,0,402,14,1648
Yale Foods Limited,0,0,393,0,0,0,0,0,393,14,1648
Accra Brewery Limited,0,0,0,361,0,0,0,0,361,14,1648
Emerald Food & Beverage Company Limited,0,0,0,0,361,0,0,0,361,14,1648
HEBEI TOMATO INDUSTRY CO LTD,0,0,324,0,0,0,0,0,324,14,1648
"Pure Water, Inc.",0,0,321,0,0,0,0,0,321,14,1648
The Nigerian Bottling Company Limited (NBC) ,0,0,0,0,290,5,0,0,295,14,1648
Intercontinental Distillers Limited,0,30,154,0,104,0,0,0,288,14,1648
Fan Milk International Denmark,0,0,278,0,1,0,0,0,279,14,1648
Foils,0,36,0,218,0,0,0,0,254,14,1648
Altria,0,0,0,245,0,0,0,0,245,14,1648
Do Good,0,0,0,0,234,0,0,0,234,14,1648
Guinness Nigeria Plc,0,0,0,127,107,0,0,0,234,14,1648
Wazobia Market,0,0,171,0,0,0,0,0,171,14,1648
CWAY Group,0,0,0,0,164,0,0,0,164,14,1648
Sweet Co Foods Limited,0,0,159,0,0,0,0,0,159,14,1648
Good - Time Special Bread,0,0,156,0,0,0,0,0,156,14,1648
Crystle,0,0,0,0,156,0,0,0,156,14,1648
Lids,0,146,0,0,0,0,0,0,146,14,1648
Tasty Tom,0,141,0,0,0,0,0,0,141,14,1648
La Casera Company,0,0,0,0,139,0,0,0,139,14,1648
Dano,0,0,130,0,4,0,0,0,134,14,1648
Beta Malt,0,0,0,133,0,0,0,0,133,14,1648
Heineken International,0,0,0,76,54,0,0,0,130,14,1648
Holy Family Table Water,0,0,0,0,126,0,0,0,126,14,1648
Frank Table Water,0,0,0,0,125,0,0,0,125,14,1648
De Rocl,0,120,0,0,0,0,0,0,120,14,1648
Capitain Jack,0,0,103,0,0,0,0,0,103,14,1648
Event,0,0,0,0,101,0,0,0,101,14,1648
Squad 5,0,0,0,0,101,0,0,0,101,14,1648
Five Live,0,0,0,0,98,0,0,0,98,14,1648
Cigar,0,0,0,95,0,0,0,0,95,14,1648
Tummy Tummy Food Industry Ltd.,0,0,76,0,16,0,0,0,92,14,1648
Lana Tomatoes,0,67,0,21,0,0,0,0,88,14,1648
P&G,0,0,9,79,0,0,0,0,88,14,1648
Viju Industries Nigeria Limited,0,5,54,0,28,0,0,0,87,14,1648
Take Way Packa,0,87,0,0,0,0,0,0,87,14,1648
Gino Tomato,0,0,87,0,0,0,0,0,87,14,1648
Cu-bas International Nigeria Limited,0,87,0,0,0,0,0,0,87,14,1648
Mr. Fruts,0,78,0,0,0,0,0,0,78,14,1648
Rudolf Wild & Co.,0,78,0,0,0,0,0,0,78,14,1648
Brasseries du Cameroun,0,0,0,78,0,0,0,0,78,14,1648
Pan Africa Agri Limited,0,0,76,0,0,0,0,0,76,14,1648
Intafact Beverages Limited,0,0,0,76,0,0,0,0,76,14,1648
R&M Table Water,0,0,0,0,76,0,0,0,76,14,1648
Royal Crown International,0,0,0,0,74,0,0,0,74,14,1648
Pure Bliss,0,0,74,0,0,0,0,0,74,14,1648
Cowball,0,0,73,0,0,0,0,0,73,14,1648
Mondelez International,0,0,72,0,0,0,0,0,72,14,1648
Healthy Top,0,0,70,0,0,0,0,0,70,14,1648
Loyal,0,0,66,0,3,0,0,0,69,14,1648
Eva Bottled Water,0,0,0,0,68,0,0,0,68,14,1648
