ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,1439,8671,19841,4906,1305,766,88,37016,20,3751
Unbranded,0,679,6358,8513,1132,229,523,68,17502,20,3751
The Coca-Cola Company,0,710,34,130,1793,94,43,0,2804,20,3751
Nestlé,0,0,80,1431,156,5,83,0,1755,20,3751
Universal Robina Corporation,0,0,134,1072,350,38,13,0,1607,20,3751
Unilever,0,2,753,478,49,16,1,0,1299,20,3751
JBC Food Corporation,0,0,21,589,0,57,5,0,672,20,3751
"Philippine Spring Water Resources, Inc.",0,0,0,144,487,0,0,0,631,20,3751
Liwayway Holdings Company Limited,0,0,121,433,49,0,0,0,603,20,3751
San Miguel Corporation,0,0,1,24,3,568,0,0,596,20,3751
RBC,0,6,4,329,167,0,11,0,517,20,3751
PT Mayora Indah Tbk,0,0,10,457,23,27,0,0,517,20,3751
Monde Nissin Corporation,0,0,94,269,97,5,30,0,495,20,3751
P&G,0,2,105,296,39,27,0,19,488,20,3751
Colgate-Palmolive,0,0,17,394,5,15,4,0,435,20,3751
W.L. Food Products,0,0,155,249,0,18,0,0,422,20,3751
"Columbia International Food Products, Inc",0,0,24,294,0,1,12,0,331,20,3751
"LT Group, Inc.",0,0,0,242,16,0,0,0,258,20,3751
Monde M.Y. San Corporation,0,0,33,207,0,16,0,0,256,20,3751
Liwayway,0,0,63,177,0,0,13,0,253,20,3751
Perfetti van Melle,0,0,51,196,0,0,0,0,247,20,3751
Republic Biscuit Corporation,0,12,26,193,0,9,0,0,240,20,3751
Candy Makers Inc.,0,0,0,237,0,0,0,0,237,20,3751
Zest-O Corporation,0,0,18,50,24,71,0,0,163,20,3751
Multirich FC,0,0,2,158,0,0,3,0,163,20,3751
Pri-food Corp,0,0,0,145,0,1,0,0,146,20,3751
Mondelez International,0,0,8,129,4,4,0,0,145,20,3751
ACS Manufacturing Corporation,0,0,109,30,0,0,0,0,139,20,3751
"Century Pacific Food, Inc.",0,0,0,135,0,1,0,0,136,20,3751
Ph. Spring Water Resources Inc.,0,0,0,36,83,0,6,0,125,20,3751
PepsiCo,0,0,0,34,89,0,0,0,123,20,3751
Maggi,0,0,20,96,0,5,0,0,121,20,3751
Philip Morris,0,0,0,90,0,0,0,0,90,20,3751
Ricoa,0,0,4,74,0,0,0,0,78,20,3751
Big E Food Corp,0,0,1,76,0,0,1,0,78,20,3751
Mylit,0,0,0,62,0,0,0,0,62,20,3751
Nutri-Asia Inc.,0,0,8,50,0,3,0,0,61,20,3751
PT Torabika Eka Semesta,0,0,0,60,0,0,0,0,60,20,3751
Prifood,0,0,0,1,57,0,0,0,58,20,3751
Ajinomoto Group,0,0,32,9,0,15,0,0,56,20,3751
Jollibee Food Corporation,0,0,3,45,0,1,0,0,49,20,3751
Butter Cream,0,0,0,49,0,0,0,0,49,20,3751
Tanduay Distillers Inc,0,0,0,49,0,0,0,0,49,20,3751
