ParentCoFinal,EMPTY,O,PET,Grand Total,number of events,number of volunteers
Grand Total,0,900,5,905,2,511
Unbranded,0,900,0,900,2,511
Valprie,0,0,5,5,2,511
Simba,0,0,0,0,2,511
Pengo,0,0,0,0,2,511
Perfetti van Melle,0,0,0,0,2,511
Pin pop,0,0,0,0,2,511
Pladis,0,0,0,0,2,511
Pretzel Twist,0,0,0,0,2,511
Reds,0,0,0,0,2,511
Rhodes,0,0,0,0,2,511
Sparlette,0,0,0,0,2,511
Bakers,0,0,0,0,2,511
Stoney,0,0,0,0,2,511
The Coca-Cola Company,0,0,0,0,2,511
Twist,0,0,0,0,2,511
Vice Roy,0,0,0,0,2,511
Vida,0,0,0,0,2,511
Woolworths Group,0,0,0,0,2,511
Ola,0,0,0,0,2,511
All Gold,0,0,0,0,2,511
Mondelez International,0,0,0,0,2,511
Energade,0,0,0,0,2,511
Basille,0,0,0,0,2,511
Cheesa Naks,0,0,0,0,2,511
Chesterfeild,0,0,0,0,2,511
Chocolate Eclaire,0,0,0,0,2,511
Cici,0,0,0,0,2,511
Dr Omar,0,0,0,0,2,511
Drink o Pop,0,0,0,0,2,511
Extreme,0,0,0,0,2,511
Milk pop,0,0,0,0,2,511
Golden Ginger,0,0,0,0,2,511
Heartbeat,0,0,0,0,2,511
Huletts,0,0,0,0,2,511
Imperial Brands,0,0,0,0,2,511
JFK,0,0,0,0,2,511
KFC,0,0,0,0,2,511
Kraft Heinz Company,0,0,0,0,2,511
Nestlé,0,0,0,0,2,511
