ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,217,1120,658,466,831,527,52,3871,2,48
Unbranded,51,360,430,65,662,99,50,1717,2,48
The Coca-Cola Company,0,0,0,202,30,0,0,232,2,48
Unilever,51,129,0,0,23,0,0,203,2,48
Nestlé,0,3,194,0,0,0,0,197,2,48
Perfetti van Melle,0,144,0,0,0,0,0,144,2,48
Munchee,0,124,0,0,0,0,0,124,2,48
Malindu,0,0,0,7,1,81,0,89,2,48
Maliban,0,63,0,5,0,0,0,68,2,48
Newdale,0,0,0,0,0,67,0,67,2,48
Prima Stella,0,34,0,0,0,30,0,64,2,48
Smak,0,0,0,54,0,0,0,54,2,48
Kotmale,0,0,0,5,0,47,0,52,2,48
Highland,0,0,0,0,0,52,0,52,2,48
Cargils Magic,0,0,0,49,0,0,0,49,2,48
Nilma,43,0,0,0,0,0,0,43,2,48
Williams,0,35,0,0,0,0,0,35,2,48
Anchor,0,15,0,9,11,0,0,35,2,48
Raththi,0,30,0,0,0,0,0,30,2,48
Denta,0,0,0,0,30,0,0,30,2,48
Elephant House,0,0,0,0,0,30,0,30,2,48
Caltex Petroleum Corporation,26,0,0,0,0,0,0,26,2,48
Hemas Holdings PLC,2,24,0,0,0,0,0,26,2,48
Cargills,0,0,0,0,0,26,0,26,2,48
Cic,0,0,0,0,0,24,0,24,2,48
Clogard,0,8,0,0,14,0,0,22,2,48
Tiara,0,21,0,0,0,0,0,21,2,48
Ambewela,0,0,0,0,0,21,0,21,2,48
Carlsberg,0,0,20,0,0,0,0,20,2,48
The Nigerian Bottling Company Limited (NBC) ,0,0,0,0,17,0,0,17,2,48
Sun Ru,0,0,0,0,0,17,0,17,2,48
Lifebouy,8,0,0,0,8,0,0,16,2,48
Ritzbury,0,15,0,0,0,0,0,15,2,48
Chit Chat,0,15,0,0,0,0,0,15,2,48
Ginger Beer,0,0,0,15,0,0,0,15,2,48
Uswatta,0,15,0,0,0,0,0,15,2,48
Creamsoda,0,0,0,7,7,0,0,14,2,48
Rainbow,0,0,0,13,0,0,0,13,2,48
Cbl- Lankasoy,0,12,0,0,0,0,0,12,2,48
Milady,0,0,0,12,0,0,0,12,2,48
Comfort,0,12,0,0,0,0,0,12,2,48
Richlife,0,0,2,4,0,5,0,11,2,48
Maam,0,9,0,0,0,0,0,9,2,48
Reckitt Benckiser,9,0,0,0,0,0,0,9,2,48
Astra,0,0,0,0,9,0,0,9,2,48
Diana,0,9,0,0,0,0,0,9,2,48
Bison,0,0,8,0,0,0,0,8,2,48
Chello,0,0,0,2,1,5,0,8,2,48
Laoji,0,7,0,0,0,0,0,7,2,48
Hax,0,7,0,0,0,0,0,7,2,48
Robin,6,0,0,0,0,0,0,6,2,48
Pelwatta,0,0,0,0,0,6,0,6,2,48
Pears Baby,6,0,0,0,0,0,0,6,2,48
"Reynolds American, Inc.",0,0,0,0,0,5,0,5,2,48
Pro-Sport,5,0,0,0,0,0,0,5,2,48
Ama,0,0,0,0,0,5,0,5,2,48
Mylady,0,5,0,0,0,0,0,5,2,48
Mycola,0,0,0,5,0,0,0,5,2,48
Kinsburry,0,0,0,0,0,5,0,5,2,48
Ida,0,0,0,0,5,0,0,5,2,48
Scan,0,0,4,0,0,0,0,4,2,48
Necto,0,0,0,3,1,0,0,4,2,48
Star Holdings International,0,4,0,0,0,0,0,4,2,48
Sathuta,0,0,0,0,4,0,0,4,2,48
Imperial Brands,0,3,0,0,0,0,0,3,2,48
Bio Clean,3,0,0,0,0,0,0,3,2,48
Elephanthouse Soda,0,0,0,3,0,0,0,3,2,48
Fair & Lovely,0,3,0,0,0,0,0,3,2,48
GlaxoSmithKline,0,1,0,0,0,0,2,3,2,48
Okay,0,3,0,0,0,0,0,3,2,48
Kist,0,0,0,3,0,0,0,3,2,48
Kinderjoy,0,0,0,0,2,0,0,2,2,48
Watawala,0,2,0,0,0,0,0,2,2,48
Uswattha,0,2,0,0,0,0,0,2,2,48
Atlas,0,0,0,2,0,0,0,2,2,48
Pladis,2,0,0,0,0,0,0,2,2,48
Cherrish,0,2,0,0,0,0,0,2,2,48
Preethi,0,0,0,0,2,0,0,2,2,48
Moods,0,0,0,0,2,0,0,2,2,48
Raani,2,0,0,0,0,0,0,2,2,48
Nestomalt,0,2,0,0,0,0,0,2,2,48
"Mars, Incorporated",2,0,0,0,0,0,0,2,2,48
Supirivicky,0,1,0,0,0,0,0,1,2,48
Flora,0,0,0,0,1,0,0,1,2,48
Fair & Handsome,1,0,0,0,0,0,0,1,2,48
Sudantha,0,1,0,0,0,0,0,1,2,48
Société Bic,0,0,0,0,0,1,0,1,2,48
Gillet,0,0,0,0,0,1,0,1,2,48
Kohomba,0,0,0,0,1,0,0,1,2,48
American Water,0,0,0,1,0,0,0,1,2,48
