ParentCoFinal,EMPTY,HDPE,O,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,365,3,1,369,5,374
Unbranded,0,361,0,0,361,5,374
Haiter,0,4,0,0,4,5,374
Closeup,0,0,2,0,2,5,374
ChaCha,0,0,1,0,1,5,374
PepsiCo,0,0,0,1,1,5,374
siam brothers,0,0,0,0,0,5,374
Singha,0,0,0,0,0,5,374
Unilever,0,0,0,0,0,5,374
water hill,0,0,0,0,0,5,374
Twin lotus,0,0,0,0,0,5,374
True Coffee,0,0,0,0,0,5,374
Tong garden,0,0,0,0,0,5,374
Tivoli (Jack 'n Jill),0,0,0,0,0,5,374
Tipco,0,0,0,0,0,5,374
The Coca-Cola Company,0,0,0,0,0,5,374
Thai Foam Company,0,0,0,0,0,5,374
Teapot,0,0,0,0,0,5,374
Sponsor,0,0,0,0,0,5,374
Société Bic,0,0,0,0,0,5,374
Singha water bottle,0,0,0,0,0,5,374
Seven Eleven (7-11),0,0,0,0,0,5,374
WaiWai Quick,0,0,0,0,0,5,374
Select Tuna,0,0,0,0,0,5,374
Salts,0,0,0,0,0,5,374
Salt,0,0,0,0,0,5,374
SPIRIT,0,0,0,0,0,5,374
SCG,0,0,0,0,0,5,374
Red Bull,0,0,0,0,0,5,374
Ready booth,0,0,0,0,0,5,374
Ready,0,0,0,0,0,5,374
Poy siam,0,0,0,0,0,5,374
Potae,0,0,0,0,0,5,374
Porntip water bottle,0,0,0,0,0,5,374
Pond,0,0,0,0,0,5,374
Pipo,0,0,0,0,0,5,374
WaiWai,0,0,0,0,0,5,374
Wall's,0,0,0,0,0,5,374
royal brand,0,0,0,0,0,5,374
indodes,0,0,0,0,0,5,374
redbull plastic wrapper,0,0,0,0,0,5,374
prima mineral,0,0,0,0,0,5,374
plastic bags,0,0,0,0,0,5,374
oriental princess,0,0,0,0,0,5,374
nestle drinking water,0,0,0,0,0,5,374
squid brand,0,0,0,0,0,5,374
nebacetin,0,0,0,0,0,5,374
natur,0,0,0,0,0,5,374
mustika,0,0,0,0,0,5,374
sunset water,0,0,0,0,0,5,374
mark trade,0,0,0,0,0,5,374
living water,0,0,0,0,0,5,374
lactasoy soy milk,0,0,0,0,0,5,374
gatsby,0,0,0,0,0,5,374
villa 360,0,0,0,0,0,5,374
fresh mart plastic bag,0,0,0,0,0,5,374
fineline,0,0,0,0,0,5,374
est,0,0,0,0,0,5,374
desa,0,0,0,0,0,5,374
denta,0,0,0,0,0,5,374
coffee mix wrapper,0,0,0,0,0,5,374
clipper,0,0,0,0,0,5,374
cactus brand,0,0,0,0,0,5,374
c-vitt,0,0,0,0,0,5,374
bic pen,0,0,0,0,0,5,374
bhaesaj,0,0,0,0,0,5,374
Phuket university,0,0,0,0,0,5,374
Wings Indonesia,0,0,0,0,0,5,374
Yum Yum,0,0,0,0,0,5,374
108 shop,0,0,0,0,0,5,374
Perfetti van Melle,0,0,0,0,0,5,374
Garnier face foam,0,0,0,0,0,5,374
