ParentCoFinal,EMPTY,HDPE,PET,PP,Grand Total,number of events,number of volunteers
Grand Total,0,116,58,4,178,4,312
Nestlé,0,116,58,0,174,4,312
abant su,0,0,0,3,3,4,312
Buzzcuk,0,0,0,1,1,4,312
Tuborg,0,0,0,0,0,4,312
damla su,0,0,0,0,0,4,312
cappy,0,0,0,0,0,4,312
buzdaÄŸÄ± su,0,0,0,0,0,4,312
bomonti,0,0,0,0,0,4,312
assu,0,0,0,0,0,4,312
YEDÄ°GÃœN COLA,0,0,0,0,0,4,312
Uno,0,0,0,0,0,4,312
ULUDAÄž COLA,0,0,0,0,0,4,312
Teatone,0,0,0,0,0,4,312
The Coca-Cola Company,0,0,0,0,0,4,312
efes,0,0,0,0,0,4,312
Tat OsmanlÄ±,0,0,0,0,0,4,312
Tat,0,0,0,0,0,4,312
TadÄ±m,0,0,0,0,0,4,312
TADIM,0,0,0,0,0,4,312
SÄ±rmakeÅŸ,0,0,0,0,0,4,312
SÄ±rma,0,0,0,0,0,4,312
Sayley,0,0,0,0,0,4,312
SIRMAKEÅž SU,0,0,0,0,0,4,312
doÄŸa,0,0,0,0,0,4,312
erikli su,0,0,0,0,0,4,312
SAKA SU,0,0,0,0,0,4,312
falÄ±m,0,0,0,0,0,4,312
Ä°Ã§im,0,0,0,0,0,4,312
Ã‡okkolata,0,0,0,0,0,4,312
Ã‡obanpÄ±nar,0,0,0,0,0,4,312
Ã‡ENESUYU,0,0,0,0,0,4,312
Ãœlker,0,0,0,0,0,4,312
Ã¼lker Ã§okokrem,0,0,0,0,0,4,312
Ã§obanpÄ±nar,0,0,0,0,0,4,312
Ã§erezos,0,0,0,0,0,4,312
uludaÄŸ limonata,0,0,0,0,0,4,312
tuborg,0,0,0,0,0,4,312
tadÄ±m,0,0,0,0,0,4,312
sÄ±rmakeÅŸ,0,0,0,0,0,4,312
sÄ±rma,0,0,0,0,0,4,312
sÃ¼taÅŸ,0,0,0,0,0,4,312
sarÄ±yer belediyesi kaÄŸÄ±t bardak,0,0,0,0,0,4,312
saka water,0,0,0,0,0,4,312
saka su,0,0,0,0,0,4,312
nescafe classic,0,0,0,0,0,4,312
hisar,0,0,0,0,0,4,312
hamidiye su,0,0,0,0,0,4,312
hamidiye,0,0,0,0,0,4,312
SEK,0,0,0,0,0,4,312
ABT Probiotics,0,0,0,0,0,4,312
AROMA SU,0,0,0,0,0,4,312
Damla,0,0,0,0,0,4,312
Ferrero Group,0,0,0,0,0,4,312
Eti,0,0,0,0,0,4,312
Erikli,0,0,0,0,0,4,312
Ekmekcik,0,0,0,0,0,4,312
Efes,0,0,0,0,0,4,312
ETÄ°,0,0,0,0,0,4,312
EFES PÄ°LSEN,0,0,0,0,0,4,312
Dost,0,0,0,0,0,4,312
Danone,0,0,0,0,0,4,312
DAMLA SU,0,0,0,0,0,4,312
HAYAT SU,0,0,0,0,0,4,312
Centro,0,0,0,0,0,4,312
Carlsberg,0,0,0,0,0,4,312
BÄ°M,0,0,0,0,0,4,312
BRITISH AMERICAN TOBACCO,0,0,0,0,0,4,312
Anheuser-Busch InBev,0,0,0,0,0,4,312
Algida,0,0,0,0,0,4,312
AlaÃ§am,0,0,0,0,0,4,312
Akyudum,0,0,0,0,0,4,312
Abant,0,0,0,0,0,4,312
GÃ¼ndoÄŸdu,0,0,0,0,0,4,312
Hamidiye,0,0,0,0,0,4,312
Redbull,0,0,0,0,0,4,312
Mika,0,0,0,0,0,4,312
Red Bull,0,0,0,0,0,4,312
PÄ±nar,0,0,0,0,0,4,312
PepsiCo,0,0,0,0,0,4,312
Patos,0,0,0,0,0,4,312
Papia,0,0,0,0,0,4,312
PINAR SU,0,0,0,0,0,4,312
PEYMAN,0,0,0,0,0,4,312
Mondelez International,0,0,0,0,0,4,312
Milka Oreo,0,0,0,0,0,4,312
"Mars, Incorporated",0,0,0,0,0,4,312
Hayat,0,0,0,0,0,4,312
L'Oreal,0,0,0,0,0,4,312
KÄ±rÄ±nkÄ±l,0,0,0,0,0,4,312
Kumsu,0,0,0,0,0,4,312
Koska,0,0,0,0,0,4,312
KARDELEN SU,0,0,0,0,0,4,312
Jucy,0,0,0,0,0,4,312
JAPAN TOBACCO INTERNATIONAL,0,0,0,0,0,4,312
Indofood,0,0,0,0,0,4,312
Hayat su,0,0,0,0,0,4,312
"Reynolds American, Inc.",0,0,0,0,0,4,312
