ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,pp,ps,Grand Total,number of events,number of volunteers
Grand Total,0,29,2101,4970,2986,406,349,43,2,1,10887,4,400
Unbranded,0,17,2034,379,879,81,270,1,0,0,3661,4,400
The Coca-Cola Company,0,0,19,0,1269,0,0,0,0,0,1288,4,400
"Kaya Industries, Inc.",0,0,0,690,0,0,0,0,0,0,690,4,400
Vietnam Dairy Products JSC,0,0,0,357,3,249,36,0,0,1,646,4,400
PepsiCo,0,0,0,84,304,0,0,0,0,0,388,4,400
Nestlé,0,0,0,136,126,0,0,0,0,0,262,4,400
Acebook,0,0,0,185,40,1,0,0,0,0,226,4,400
Unilever,0,0,0,180,9,3,0,0,0,0,192,4,400
Thien Ha,0,0,0,130,0,0,0,0,0,0,130,4,400
Sa La,0,0,0,119,0,0,0,0,0,0,119,4,400
Saigon Tobacco,0,0,0,113,0,0,0,0,0,0,113,4,400
Hang Dia Phoong,0,0,0,39,72,0,0,0,0,0,111,4,400
Masan,0,0,0,78,13,0,0,0,0,0,91,4,400
Vietnam Soya Products Company,0,0,0,84,0,0,0,0,0,0,84,4,400
Vinacafe,0,0,0,63,0,0,0,0,0,0,63,4,400
Universal Robina Corporation,0,0,0,52,0,10,0,0,0,0,62,4,400
Liwayway Holdings Company Limited,0,0,0,57,1,0,0,0,0,0,58,4,400
Th Milk Food Joint Stock Company,0,0,0,41,0,0,15,0,0,0,56,4,400
Orion Confectionery,0,0,0,55,0,0,0,0,0,0,55,4,400
Kinh Do,0,0,0,51,1,0,0,0,0,0,52,4,400
Micoem,0,0,0,46,6,0,0,0,0,0,52,4,400
Uniben,0,0,0,52,0,0,0,0,0,0,52,4,400
Cty Cp San Pham Sinh Thai,0,0,0,40,0,0,0,0,0,0,40,4,400
One One,0,0,0,18,20,0,0,0,0,0,38,4,400
Long Hai,0,0,0,35,0,0,0,0,0,0,35,4,400
Dilmah Vn,0,0,0,32,0,0,0,0,0,0,32,4,400
Nutifood,0,0,0,30,0,0,0,0,0,0,30,4,400
P&G,0,0,0,28,1,0,0,0,0,0,29,4,400
Nhat Ban,0,0,0,28,0,0,0,0,0,0,28,4,400
Wipro Unza,0,0,0,28,0,0,0,0,0,0,28,4,400
Cong Ty Cp Nooc Khoang Quy Nhon,0,0,0,0,27,0,0,0,0,0,27,4,400
Cty Tnhh Quoc Te Thanh Nghi,0,0,0,26,0,0,0,0,0,0,26,4,400
Trung Nguyen,0,0,0,26,0,0,0,0,0,0,26,4,400
Tavimi,0,0,0,26,0,0,0,0,0,0,26,4,400
Vifon,0,0,0,20,5,0,0,0,0,0,25,4,400
Khatoco,0,0,0,25,0,0,0,0,0,0,25,4,400
Unipen,0,0,0,25,0,0,0,0,0,0,25,4,400
Tap Doan Th True Milk,0,0,0,24,0,0,0,0,0,0,24,4,400
International Food Ad Beverage Joint Stock Company,0,0,0,24,0,0,0,0,0,0,24,4,400
Pihatt Coffee,0,0,0,23,0,0,0,0,0,0,23,4,400
Nutri Food,0,0,0,23,0,0,0,0,0,0,23,4,400
Th,0,0,0,22,0,0,0,0,0,0,22,4,400
Cong Ty Co Phan Onsen,0,0,0,0,21,0,0,0,0,0,21,4,400
Vinataba,0,0,0,21,0,0,0,0,0,0,21,4,400
Moc Chau Milk,0,0,0,20,0,0,0,0,0,0,20,4,400
Ardath Tobacco Co.Ltd,0,0,0,20,0,0,0,0,0,0,20,4,400
Thien Ha Kameda,0,0,0,20,0,0,0,0,0,0,20,4,400
Tetra Pak,0,0,0,20,0,0,0,0,0,0,20,4,400
Thien Hoong,0,0,0,19,0,0,0,0,0,0,19,4,400
Cty Cp Tap Doan Trung Nguyen,0,0,0,19,0,0,0,0,0,0,19,4,400
Cong Ty Co Phan Loong Thuc Thuc Pham Colusa Miliket,0,0,0,19,0,0,0,0,0,0,19,4,400
Cong Ty Thuoc La Sai Gon,0,0,0,18,0,0,0,0,0,0,18,4,400
Tan Hoa,0,0,0,0,0,0,0,18,0,0,18,4,400
Richy,0,0,0,18,0,0,0,0,0,0,18,4,400
Cty Tnhh Toan Y,0,0,0,17,0,0,0,0,0,0,17,4,400
Reeva,0,0,0,17,0,0,0,0,0,0,17,4,400
Thanh An,0,0,0,16,0,0,0,0,0,0,16,4,400
Th Group,0,0,0,16,0,0,0,0,0,0,16,4,400
Number 1,0,0,0,16,0,0,0,0,0,0,16,4,400
Trang An,0,0,0,16,0,0,0,0,0,0,16,4,400
Hang Nooc Ngoai,0,0,0,15,0,0,0,0,0,0,15,4,400
Acecook Viet Nam,0,0,0,15,0,0,0,0,0,0,15,4,400
Thai Lan,0,0,0,14,0,0,0,0,0,0,14,4,400
Hoong Sen,0,0,0,14,0,0,0,0,0,0,14,4,400
Quoc Bao,0,0,0,0,0,0,0,14,0,0,14,4,400
Aji Frozen USA Corporation,0,0,0,12,2,0,0,0,0,0,14,4,400
Cty Tnhh New Toyo Pulppy,0,0,0,14,0,0,0,0,0,0,14,4,400
Hiep Yen,0,0,0,13,0,0,0,0,0,0,13,4,400
England,0,0,0,13,0,0,0,0,0,0,13,4,400
Han Quoc,0,0,0,13,0,0,0,0,0,0,13,4,400
Richs,0,0,0,12,0,0,0,0,0,0,12,4,400
Anchor,0,0,0,12,0,0,0,0,0,0,12,4,400
Cong Ty Giay Sai Gon,0,0,11,0,0,0,0,0,0,0,11,4,400
Bm 2,0,0,0,11,0,0,0,0,0,0,11,4,400
Bibica,0,0,0,11,0,0,0,0,0,0,11,4,400
A Chau,0,0,0,11,0,0,0,0,0,0,11,4,400
Cty Tnhh Redbull Vn,0,0,0,11,0,0,0,0,0,0,11,4,400
Sp Cua Khach San,0,0,0,11,0,0,0,0,0,0,11,4,400
Yakult,0,0,0,1,3,0,7,0,0,0,11,4,400
Duc Hanh,0,0,0,10,0,0,0,0,0,0,10,4,400
Cty Co Phan Sua Da Lat,0,0,0,10,0,0,0,0,0,0,10,4,400
Vinatea,0,0,0,10,0,0,0,0,0,0,10,4,400
Cong Ty Tnhh Nabati Viet Nam,0,0,0,10,0,0,0,0,0,0,10,4,400
Vietnam Military Medical Academy,0,0,0,10,0,0,0,0,0,0,10,4,400
Khanh Hoa,0,0,0,10,0,0,0,0,0,0,10,4,400
Colgate-Palmolive,0,0,9,1,0,0,0,0,0,0,10,4,400
Phu Thai Son,0,0,0,10,0,0,0,0,0,0,10,4,400
Friesland Campina Viet Nam,0,0,0,9,0,0,0,0,0,0,9,4,400
Huu Nghi,0,0,0,9,0,0,0,0,0,0,9,4,400
Tan Hiep Phat,0,0,0,9,0,0,0,0,0,0,9,4,400
Earth Corporation Vn,0,0,0,9,0,0,0,0,0,0,9,4,400
Hai Ha,0,0,0,9,0,0,0,0,0,0,9,4,400
Visan,0,0,0,9,0,0,0,0,0,0,9,4,400
Visalco,0,0,0,0,9,0,0,0,0,0,9,4,400
Huy Tung Coffee,0,0,0,9,0,0,0,0,0,0,9,4,400
Cty Tra Thien Thanh,0,0,0,9,0,0,0,0,0,0,9,4,400
International Dairy Products Jsc,0,0,0,9,0,0,0,0,0,0,9,4,400
Cong Ty Tnhh New Toyo Puppy,0,0,0,9,0,0,0,0,0,0,9,4,400
Dia Phoong,0,0,0,9,0,0,0,0,0,0,9,4,400
Tribeco,0,0,0,9,0,0,0,0,0,0,9,4,400
Fes (Vn),0,0,0,8,0,0,0,0,0,0,8,4,400
Vu Le,0,0,0,8,0,0,0,0,0,0,8,4,400
Cong Ty Tnhh Thuc Pham Orion Vina,0,0,0,3,0,5,0,0,0,0,8,4,400
Falyn - Food & Drinks,0,0,0,0,0,8,0,0,0,0,8,4,400
Frieslaand,0,0,0,8,0,0,0,0,0,0,8,4,400
Cholimex,0,0,0,8,0,0,0,0,0,0,8,4,400
Thuan Giang,0,0,0,8,0,0,0,0,0,0,8,4,400
Dutch Lady,0,0,0,7,0,0,0,0,0,0,7,4,400
Minh Doong,0,0,0,7,0,0,0,0,0,0,7,4,400
Tan Dong Phuong,0,0,0,0,0,7,0,0,0,0,7,4,400
Lotte,0,0,0,7,0,0,0,0,0,0,7,4,400
Phu Yen,0,0,0,7,0,0,0,0,0,0,7,4,400
Tavini,0,0,0,7,0,0,0,0,0,0,7,4,400
Cong Ty Cp Banh Keo Hai Ha,0,0,0,7,0,0,0,0,0,0,7,4,400
Cong Ty Co Phan Nooc Giai Khat Sanna Khanh Hoa,0,0,0,0,7,0,0,0,0,0,7,4,400
Xuan Thuy,0,0,0,7,0,0,0,0,0,0,7,4,400
Monde M.Y. San Corporation,0,0,0,7,0,0,0,0,0,0,7,4,400
Cong Ty Tnhh Heo Con,0,0,1,0,0,6,0,0,0,0,7,4,400
Perfetti van Melle,0,0,0,1,0,5,0,0,0,0,6,4,400
Cong Ty Tp A Chau,0,0,0,6,0,0,0,0,0,0,6,4,400
Coong Ty Cp Banh Keo Viet Long,0,0,0,6,0,0,0,0,0,0,6,4,400
Pt Agel Langgeng,0,0,0,6,0,0,0,0,0,0,6,4,400
