Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Australia,null,1.0,24.0,157.0,570.0,72.0,156.0,1.0,5.0,986.0,9,190.0
Australia,A.S. Watson Group,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Adidas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Arnotts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Beiersdorf Global Ag,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9,190.0
Australia,Black Magic Tackle AU,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,British American Tobacco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Bulkapak,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,9,190.0
Australia,Burger King,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Cadbury,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,9,190.0
Australia,Campbell Soup Company,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,9,190.0
Australia,Carmans Australia,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,9,190.0
Australia,Cobs Superfood au,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,9,190.0
Australia,Coles Brand,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Colgate-Palmolive,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Community Co,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Corona,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,9,190.0
Australia,Costco,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,9,190.0
Australia,Daily Drinks Co Melbourne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Dare Au,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Ferrero Group,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,5.0,9,190.0
Australia,General Mills,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,9,190.0
Australia,Glaxosmithkline,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Haribo,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,9,190.0
Australia,Hershey Company,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,9,190.0
Australia,Imperial Brands,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Johnson & Johnson,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,9,190.0
Australia,Johnson Johnson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Kellogg Company,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,9,190.0
Australia,Keurig Dr. Pepper,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,9,190.0
Australia,Kfc,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,5.0,9,190.0
Australia,Kimberly-Clark,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,9,190.0
Australia,Kraft Heinz,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,9,190.0
Australia,Lactalis France,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9,190.0
Australia,Lindt,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,9,190.0
Australia,"Mars, Incorporated",0.0,0.0,13.0,34.0,1.0,29.0,0.0,0.0,77.0,9,190.0
Australia,Mayora Indah,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9,190.0
Australia,Mcdonald'S Corporation,0.0,0.0,0.0,10.0,2.0,12.0,1.0,0.0,25.0,9,190.0
Australia,Mondelez International,0.0,0.0,18.0,44.0,0.0,31.0,0.0,0.0,93.0,9,190.0
Australia,Monster Energy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Nestle,0.0,0.0,0.0,19.0,0.0,18.0,0.0,0.0,37.0,9,190.0
Australia,Nigerian Breweries Plc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Pepsico,0.0,0.0,5.0,7.0,15.0,8.0,0.0,0.0,35.0,9,190.0
Australia,Perfetti Van Melle,0.0,0.0,7.0,67.0,0.0,14.0,0.0,0.0,88.0,9,190.0
Australia,Pernod Ricard,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Peroni,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Peters Ice cream,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Peters Icecream,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Philip Morris,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Procter & Gamble,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,9,190.0
Australia,Prolife Foods NZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Quench water au,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Red Bull,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,9.0,9,190.0
Australia,Reitan Group,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,9.0,9,190.0
Australia,"Reynolds American, Inc.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9,190.0
Australia,Sanford Lp,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,9,190.0
Australia,Shachihata,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Snack Brand Au,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,SociâˆšÂ©tâˆšÂ© Bic,0.0,0.0,0.0,31.0,0.0,9.0,0.0,0.0,40.0,9,190.0
Australia,Spring Water,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Suntory,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,9,190.0
Australia,The Clorox Group,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,9,190.0
Australia,The Coca-Cola Company,0.0,3.0,3.0,17.0,37.0,61.0,0.0,1.0,122.0,9,190.0
Australia,Tingyi (Cayman Islands) Holding Corporation,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,9,190.0
Australia,Unbranded,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,7.0,9,190.0
Australia,Uncle Tobys Nestle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Unilever,0.0,2.0,4.0,11.0,1.0,0.0,0.0,0.0,18.0,9,190.0
Australia,Wings Food,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,190.0
Australia,Woolworths Group,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,9,190.0
