Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Bangladesh,A K food & bevarege,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,127.0
Bangladesh,A R Dudh Khamar,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,127.0
Bangladesh,Aarong dairy products,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1,127.0
Bangladesh,Abdul Monem LTD.,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,1,127.0
Bangladesh,Abul Khayer Consumer Products Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,127.0
Bangladesh,ACI,0.0,24.0,0.0,23.0,0.0,0.0,0.0,0.0,47.0,1,127.0
Bangladesh,Acme,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,25.0,1,127.0
Bangladesh,Ahmed,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,127.0
Bangladesh,Akboriya Bread And Biscuit Factory,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,1,127.0
Bangladesh,Akij Food &Beverage Ltd,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,22.0,1,127.0
Bangladesh,Alin Food Products Ltd,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,127.0
Bangladesh,Alkad Laboratories,0.0,24.0,0.0,13.0,0.0,0.0,0.0,0.0,37.0,1,127.0
Bangladesh,Anfords bangladesh ltd,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,127.0
Bangladesh,Annesha Sharker and Choudhury Food Products,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,1,127.0
Bangladesh,Arla Dano  ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,127.0
Bangladesh,Asif Bakery,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,1,127.0
Bangladesh,Asmani Pvt. Ltd.,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,1,127.0
Bangladesh,AST BEVERAGE LTD,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,1,127.0
Bangladesh,Bashundhara Paper Mills Ltd,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,1,127.0
Bangladesh,Bd food Foods Ltd,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,1,127.0
Bangladesh,BD Foods Limited,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,1,127.0
Bangladesh,Beauty Community Public Company Limited,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,1,127.0
Bangladesh,Bombay Sweets,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,74.0,1,127.0
Bangladesh,Bonoful,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,1,127.0
Bangladesh,British American Tobacco,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,1,127.0
Bangladesh,City Group,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,1,127.0
Bangladesh,Cocola Food Products Ltd. - Bangladesh,0.0,13.0,0.0,24.0,0.0,0.0,8.0,0.0,45.0,1,127.0
Bangladesh,Dan Foods Limited,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1,127.0
Bangladesh,Danish,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1,127.0
Bangladesh,Danone Foods Ltd,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1,127.0
Bangladesh,Diamond Food Industry,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,127.0
Bangladesh,Discovery Product BD Ltd.,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,127.0
Bangladesh,Dream Baby Pvt. Ltd.,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,1,127.0
Bangladesh,Due Drops Food And Beverage,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,1,127.0
