Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Colombia,null,3.0,310.0,332.0,288.0,1249.0,188.0,0.0,3.0,2373.0,10,274.0
Colombia,Alliance Global Group,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10,274.0
Colombia,Bimbo,0.0,0.0,15.0,6.0,6.0,4.0,0.0,0.0,31.0,10,274.0
Colombia,British American Tobacco,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,10,274.0
Colombia,Colgate-Palmolive,0.0,10.0,7.0,15.0,3.0,9.0,0.0,0.0,44.0,10,274.0
Colombia,Colombina,0.0,0.0,0.0,23.0,14.0,4.0,0.0,0.0,41.0,10,274.0
Colombia,Corona,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10,274.0
Colombia,Heineken International,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,10,274.0
Colombia,Herbalife,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,10,274.0
Colombia,Houchens Industries,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,274.0
Colombia,Johnson & Johnson,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10,274.0
Colombia,Kellogg Company,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,10,274.0
Colombia,Kimberly-Clark,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,10,274.0
Colombia,"Mars, Incorporated",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10,274.0
Colombia,Mondelez International,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,10,274.0
Colombia,Nestle,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,8.0,10,274.0
Colombia,Parmalat,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,10,274.0
Colombia,Pepsico,0.0,0.0,14.0,114.0,165.0,20.0,0.0,0.0,313.0,10,274.0
Colombia,Procter & Gamble,0.0,9.0,5.0,5.0,0.0,3.0,0.0,0.0,22.0,10,274.0
Colombia,Reckitt Benckiser,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,274.0
Colombia,The Clorox Group,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10,274.0
Colombia,The Coca-Cola Company,15.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,132.0,10,274.0
Colombia,Unbranded,0.0,3.0,26.0,1118.0,1976.0,38.0,3.0,12.0,3176.0,10,274.0
Colombia,Unilever,0.0,9.0,1.0,2.0,3.0,3.0,0.0,0.0,18.0,10,274.0
Colombia,Walgreens,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,10,274.0
