Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Ecuador,null,8.0,0.0,0.0,0.0,133.0,4.0,1.0,24.0,170.0,4,22.0
Ecuador,Colgate-Palmolive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,22.0
Ecuador,Comfoods Commonwealth Food Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,22.0
Ecuador,"Mars, Incorporated",0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,4,22.0
Ecuador,Mondelez International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4,22.0
Ecuador,Nestle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4,22.0
Ecuador,Pepsico,0.0,0.0,0.0,0.0,30.0,15.0,0.0,1.0,46.0,4,22.0
Ecuador,Procter & Gamble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,22.0
Ecuador,The Coca-Cola Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4,22.0
Ecuador,Unbranded,0.0,0.0,0.0,0.0,13.0,0.0,0.0,28.0,41.0,4,22.0
Ecuador,Unilever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,22.0
