Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
France,null,0.0,10.0,19.0,179.0,43.0,7.0,0.0,1.0,259.0,3,15.0
France,Alma,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,15.0
France,Andros,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,Anheuser-Busch Inbev,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,15.0
France,Association familiale Mulliez,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,Canada Dry Motts,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3,15.0
France,Capri Sun Group Holding,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3,15.0
France,Carlsberg Group,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,15.0
France,Daim,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,Danone,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,11.0,3,15.0
France,Ferrero Group,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,8.0,3,15.0
France,General Mills,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3,15.0
France,Haribo,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,13.0,3,15.0
France,Heineken,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,Heineken International,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,Imperial Brands,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,3,15.0
France,Isostar,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3,15.0
France,Keurig Dr. Pepper,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3,15.0
France,Kimberly-Clark,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,Lidl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,15.0
France,"Mars, Incorporated",0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,11.0,3,15.0
France,Mcdonald'S Corporation,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,3,15.0
France,Mondelez International,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,Nestle,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3,15.0
France,Parmalat,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,Pepsico,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3,15.0
France,Perfetti Van Melle,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,3,15.0
France,Pernod Ricard,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,Philip Morris International,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,20.0,3,15.0
France,Pladis,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3,15.0
France,Reckitt Benckiser,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,15.0
France,Red Bull,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3,15.0
France,"Reynolds American, Inc.",0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0,3,15.0
France,San Miguel Corporation,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,SociâˆšÂ©tâˆšÂ© Bic,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,3,15.0
France,Sodebo,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3,15.0
France,Suntory,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,15.0
France,The Coca-Cola Company,0.0,0.0,0.0,10.0,3.0,1.0,0.0,0.0,14.0,3,15.0
France,Unbranded,0.0,0.0,15.0,2288.0,77.0,49.0,131.0,18.0,2578.0,3,15.0
France,Unilever,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,15.0
France,WEPA France SAS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,15.0
