Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Korea,null,0.0,0.0,2.0,166.0,14.0,11.0,46.0,0.0,239.0,26,null
Korea,Aekyung,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26,null
Korea,Allguard,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26,null
Korea,ANF,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,26,null
Korea,Annhouse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26,null
Korea,Avalon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26,null
Korea,Bausch-Lomb,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26,null
Korea,Binggrae,0.0,2.0,1.0,17.0,0.0,9.0,2.0,0.0,31.0,26,null
Korea,Bioderma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,null
Korea,BM Pharm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26,null
Korea,British American Tobacco,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,26,null
Korea,Carlsberg Group,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26,null
Korea,Cellromax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26,null
Korea,CheongwooFood,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,26,null
Korea,CJ,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,26,null
Korea,CKD Healthcare,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,26,null
Korea,Country Life,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26,null
Korea,Crown,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,18.0,26,null
Korea,DaeWong,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,26,null
Korea,Daewoongholdings,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,26,null
Korea,Dajayeon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26,null
Korea,Dong-A Pharm,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,26,null
Korea,Donga-otsuka,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26,null
Korea,Dongaotsuka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,null
Korea,Donghwa-Pharm,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26,null
Korea,Dongsuh,0.0,0.0,32.0,4.0,2.0,0.0,0.0,0.0,44.0,26,null
