Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Latvia,null,0.0,0.0,3.0,14.0,1.0,9.0,0.0,0.0,27.0,1,5.0
Latvia,Aldaris,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,1,5.0
Latvia,Anada,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1,5.0
Latvia,Arimex,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Arla Foods,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Aset,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,5.0
Latvia,Borjomi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Browar Van Pur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Carlsberg Group,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1,5.0
Latvia,Cēsu alus,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,20.0,1,5.0
Latvia,Cido grupa,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,11.0,1,5.0
Latvia,Circle K,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Corona,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,5.0
Latvia,Dzimtas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Elmenhorster,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Elvi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Essentuky Baltic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Essity,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Eveline cosmetics,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Fazer,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,5.0
Latvia,Ferrero Group,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1,5.0
Latvia,Fuse Tea,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,GPU Nākotne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Grigeo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Haribo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,5.0
Latvia,Harper Hygenics,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Ilgezeem,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,1,5.0
Latvia,Imperial Brands,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,5.0
Latvia,InBev,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Ingman,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1,5.0
Latvia,Kalev,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Karuna,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1,5.0
Latvia,Kellogg Company,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,5.0
Latvia,Kronenbourg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Latvijas Balzams,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1,5.0
Latvia,Latvijas maiznieks,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1,5.0
Latvia,Lavazza,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1,5.0
Latvia,Lielbātas avots,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,5.0
Latvia,Markol,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,"Mars, Incorporated",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Martini & Rossi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Maxima,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,1,5.0
Latvia,Merild,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Mernaya vodka,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Mondelez International,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1,5.0
Latvia,Neptunas,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,5.0
Latvia,Nestle,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1,5.0
Latvia,Obolon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Orkla,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,6.0,1,5.0
Latvia,Pepsico,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,1,5.0
Latvia,Pērnes L,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Philip Morris International,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,1,5.0
Latvia,Rakvere,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Rēzeknys Bryuvers,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Rīgas piena kombināts,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,1,5.0
Latvia,Rimi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Rudolf Wild & Co.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Latvia,Siberica,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,5.0
