Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Malaysia,null,0.0,15.0,16.0,2048.0,630.0,18.0,12.0,12.0,2751.0,35,370.0
Malaysia,7 Days,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,99 Speedmart,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,A&W,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,AA Pharmacy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,AB Food and Beverage,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,35,370.0
Malaysia,Adhieve & Sealent,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,"Aeon Co, Ltd",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,35,370.0
Malaysia,Air Jagung Ketagih,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,Aji Frozen Usa Corporation,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,35,370.0
Malaysia,AKS NIVAAS Sdn Bhd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,AkzoNobel,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,35,370.0
Malaysia,Angenet Sdn. Bhd.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,Apex Healthcare Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,Aussie Produce Pty Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,BHP Group PLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,BP PLC,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35,370.0
Malaysia,British American Tobacco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,Cactus,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,35,370.0
Malaysia,Calpis Co. Ltd,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,35,370.0
Malaysia,Cap Keluarga,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,35,370.0
Malaysia,Cap Keluarga Sale & Service Sdn. Bhd.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,Chuan Sin Castus Sdn. Bhd.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,Chuan Sin Sdn. Bhd.,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,16.0,35,370.0
Malaysia,Cocoaland Holdings Berhad,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,35,370.0
Malaysia,Cocomax Sdn Bhd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,Colgate-Palmolive,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,35,370.0
Malaysia,Concentrate manufacturing company of ireland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,CoolBlog,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,35,370.0
Malaysia,Daia Corp,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35,370.0
Malaysia,Dairy Farm International Holdings,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,35,370.0
Malaysia,Dairy Product,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,35,370.0
Malaysia,Danone,0.0,0.0,0.0,0.0,20.0,11.0,0.0,0.0,31.0,35,370.0
