Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Netherlands,null,0.0,0.0,13.0,97.0,8.0,2.0,0.0,0.0,120.0,1,5.0
Netherlands,Corona,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,1,5.0
Netherlands,Heineken International,0.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,32.0,1,5.0
Netherlands,Mondelez International,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Netherlands,Nestle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Netherlands,Perfetti Van Melle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Netherlands,Philip Morris International,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1,5.0
Netherlands,Red Bull,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Netherlands,"Reynolds American, Inc.",0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1,5.0
Netherlands,Tempo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5.0
Netherlands,Unbranded,0.0,0.0,70.0,270.0,9.0,24.0,4.0,3.0,380.0,1,5.0
