Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Nigeria,null,315.0,3018.0,5634.0,2038.0,17634.0,513.0,1034.0,14.0,30200.0,18,2099.0
Nigeria,A & B Food Ltd,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,18,2099.0
Nigeria,A & P Foods Ltd,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,18,2099.0
Nigeria,A and P Food Ltd,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,18,2099.0
Nigeria,Adonal Pharmacy ltd,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,18,2099.0
Nigeria,Adonko Company Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,AGAD Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Agad Nig. Ltd,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,164.0,18,2099.0
Nigeria,Agrim International,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,18,2099.0
Nigeria,Akogate Still Water,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Alabason beverage,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Apple OX Pearls,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0
Nigeria,Apple Pears Ltd,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Aqua Rapha Investment Nigeria Limited,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,18,2099.0
Nigeria,Aqua Rapha Invst. Ltd,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,18,2099.0
Nigeria,Aqud Dodul Nig. Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Arfrimeric Investment Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Arla Food,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Ashreed Inv. Nig. Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Aspira,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,18,2099.0
Nigeria,Auspex Venture Nig. Ltd,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,18,2099.0
Nigeria,Auspex Venture Nigeria Ltd,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,18,2099.0
Nigeria,Austin Industrial Technology,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,"Avanti Industries Limited,",0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,18,2099.0
Nigeria,AXP Food,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Beloxxi Industries Ltd,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,18,2099.0
Nigeria,Ben Iwu Nig. Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Benefit & Management,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,18,2099.0
Nigeria,Benefit Asserts and Management Company ltd,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,334.0,18,2099.0
Nigeria,Benko International,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,86.0,18,2099.0
Nigeria,Bis Bok,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Biscuit Co. Ltd,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,18,2099.0
Nigeria,Bobo Food and Beverages,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18,2099.0
Nigeria,Bua International Ltd,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Calidon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Campbell Soup Company,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,93.0,18,2099.0
Nigeria,Caosury,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,18,2099.0
Nigeria,Caraway Africa Nigeria Ltd,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,18,2099.0
Nigeria,Care Way African Ltd,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,CHI,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,18,2099.0
Nigeria,Chi Limited,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,18,2099.0
Nigeria,Chi Ltd,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,18,2099.0
Nigeria,Chicago International,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,18,2099.0
Nigeria,Chikason Industrial Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Chikki Foods Industries Limited,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,18,2099.0
Nigeria,Chikson Inc Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Chivita,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Choco Distilleries Ltd,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,18,2099.0
Nigeria,Chvita Ltd,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Coco-Rum,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,57.0,18,2099.0
Nigeria,Codvinak Int. Venture,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,18,2099.0
Nigeria,Colombina Food,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,18,2099.0
Nigeria,Comof International,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0,18,2099.0
Nigeria,CONNS,0.0,0.0,491.0,0.0,30.0,0.0,0.0,0.0,521.0,18,2099.0
Nigeria,Conserveria African Ltd,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,18,2099.0
Nigeria,Crown Ikara Ventures,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Cussons,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,18,2099.0
Nigeria,CW],0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,18,2099.0
Nigeria,Cway Group,0.0,92.0,0.0,0.0,531.0,12.0,0.0,0.0,635.0,18,2099.0
Nigeria,Cybele Cosmetic Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Dabur International Ltd,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18,2099.0
Nigeria,Dana Group of companies,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,DanBridge Business,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,18,2099.0
Nigeria,Darajo Industrial,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,18,2099.0
Nigeria,De Fortune Wale Nig Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Denadis Inter. Ltd,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,18,2099.0
Nigeria,Denadix International Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Devine Source Intergrated Venture Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Diaego/Guinness Nigeria PLC,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,18,2099.0
Nigeria,Domdest Venture,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Dudu Milk Nigeria,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Dufil,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,18,2099.0
Nigeria,Dufil Prima Foods Plc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Elbe Pharma Nig Lt,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Elvon Energy Food Ltd,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Emerald Food & Beverage Company Limited,0.0,2.0,0.0,0.0,474.0,12.0,0.0,0.0,488.0,18,2099.0
Nigeria,Euro Global Food and distillers,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18,2099.0
Nigeria,Event Beverages,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,18,2099.0
Nigeria,Event Water Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Fanmilk,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,24.0,18,2099.0
Nigeria,Farmex Meyer Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Fastizers Food & Conversionary,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,18,2099.0
Nigeria,Favour Bakery,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,18,2099.0
Nigeria,Federer Food and beverage,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Fenchris,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Fidji Island Resource Nig. Ltd,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,18,2099.0
Nigeria,Flour Mills Nigeria Plc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Franemm Industries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18,2099.0
Nigeria,Franks Industrial Ltd,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,18,2099.0
Nigeria,Friesland Campina,0.0,0.0,81.0,8.0,0.0,0.0,0.0,0.0,89.0,18,2099.0
Nigeria,Gement Benefit Asset & Mana,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Genesis Food,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,18,2099.0
Nigeria,Gino,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0
Nigeria,Glaxosmithkline,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Global Beverage Nig. Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Global Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Glofes Ltd,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Goal Water,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,GodVinak International Venture Nig. Ltd,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,18,2099.0
Nigeria,Golden Oil Ltd,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0
Nigeria,Golden Pasta,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,18,2099.0
Nigeria,Golden Royale Food,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Good Brand Industry,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,18,2099.0
Nigeria,Goodluck Bakery,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,18,2099.0
Nigeria,Great Milk Bakery,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,18,2099.0
Nigeria,"Greenbrier International, Inc",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Guinness,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Guinness Nigeria Plc,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,18,2099.0
Nigeria,Happy Food Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Hayat,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,18,2099.0
Nigeria,HBD Table Water,0.0,0.0,448.0,0.0,0.0,0.0,0.0,0.0,448.0,18,2099.0
Nigeria,Health Plus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Henaco Beverages,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Henaco Beverages Nig. Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,High Class Food Ltd,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,18,2099.0
Nigeria,High Class Food Nig. Ltd,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,18,2099.0
Nigeria,Hiyrit Venture Nig Ltd,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Hollandia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Holy Family Industrial Nig. Ltd,0.0,0.0,369.0,0.0,3.0,0.0,0.0,0.0,372.0,18,2099.0
Nigeria,Holy Family Sister's of the Needy,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,18,2099.0
Nigeria,Home Care,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,18,2099.0
Nigeria,Hospter Chichco Enterprises,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,IG Chemical & Allied,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,18,2099.0
Nigeria,IKEGOD Food Industries PLC,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0
Nigeria,Indofood,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,78.0,18,2099.0
Nigeria,Intercontinental Distillers Limited,0.0,67.0,142.0,23.0,3.0,0.0,0.0,0.0,235.0,18,2099.0
Nigeria,International Distillers Nigeria Limited (IDNL) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Iyke Cord Nig. Ltd,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,18,2099.0
Nigeria,Jacobs Wines,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Jiand Su Meizizi Food Co,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0
Nigeria,Jogoz Ind.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Jogoz Ind. Ltd,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0
Nigeria,Johnson And Johnson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Johnsons,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Jonathan Ohagwa Nig Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Juenl Nig. Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Junac and Company,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0
Nigeria,Kalix Scrisntific Nigeria,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,139.0,18,2099.0
Nigeria,Kasapreko,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0
