Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
Switzerland,Unbranded,2208,42,1098,26705,224,480,529,45,31331,18,540
Switzerland,NULL,60,32,161,18289,267,254,152,2,19217,18,540
Switzerland,"The Coca-Cola Company",2,0,1,15,211,27,0,0,256,18,540
Switzerland,Migros,13,4,46,49,28,3,6,1,150,18,540
Switzerland,Danone,1,0,2,3,115,21,2,1,145,18,540
Switzerland,"Philip Morris International",11,0,0,95,0,0,0,0,106,18,540
Switzerland,"Ferrero Group",1,0,56,37,0,12,0,0,106,18,540
Switzerland,Coop,5,1,41,34,12,8,1,0,102,18,540
Switzerland,Nestle,0,1,7,18,50,15,2,0,93,18,540
Switzerland,"Mars, Incorporated",6,2,28,38,0,8,0,1,83,18,540
Switzerland,"Rudolf Wild & Co.",2,0,7,64,0,1,0,0,74,18,540
Switzerland,"Imperial Brands",0,0,0,56,0,2,0,0,58,18,540
Switzerland,Zweifel,2,0,2,34,0,2,0,0,40,18,540
Switzerland,Haribo,0,0,13,16,0,4,0,0,33,18,540
Switzerland,"Reynolds American, Inc.",0,0,0,28,0,0,0,0,28,18,540
Switzerland,"Mondelez International",7,0,4,8,0,6,0,0,25,18,540
Switzerland,Pepsico,1,0,0,0,19,5,0,0,25,18,540
Switzerland,Unilever,1,0,9,4,6,4,0,0,24,18,540
Switzerland,Rivella,0,0,7,2,10,2,0,0,21,18,540
Switzerland,Lindt,0,8,4,2,0,5,0,0,19,18,540
Switzerland,"SociâˆšÂ©tâˆšÂ© Bic",0,0,0,19,0,0,0,0,19,18,540
Switzerland,Lidl,0,1,3,10,1,1,0,0,16,18,540
Switzerland,"Fuse Tea",0,2,0,0,14,0,0,0,16,18,540
Switzerland,"Mcdonald'S Corporation",4,0,2,6,2,1,1,0,16,18,540
Switzerland,Kfc,0,0,0,1,0,0,15,0,16,18,540
Switzerland,Denner,1,0,7,2,4,2,0,0,16,18,540
Switzerland,Granini,0,0,0,0,11,3,0,0,14,18,540
Switzerland,"Carslberg Group",0,0,0,0,0,13,0,0,13,18,540
Switzerland,Starbucks,6,0,0,0,3,0,3,0,12,18,540
Switzerland,"British American Tobacco",0,1,0,11,0,0,0,0,12,18,540
