Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
United States of America,null,102.0,165.0,275.0,752.0,788.0,1668.0,243.0,41.0,4037.0,134,511.0
United States of America,12 Hour Allergie Medicine,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,134,511.0
United States of America,365 Whole Foods,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134,511.0
United States of America,3M,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,134,511.0
United States of America,A&W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Abbott Laboratories,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,74.0,134,511.0
United States of America,"ACH Food Companies, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Adirondack Beverages,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,134,511.0
United States of America,Agave in the way,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Ahold Delhaize,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,8.0,134,511.0
United States of America,Alacer Corp,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Albertsons,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,134,511.0
United States of America,Albertsons Companies,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Albertsons-Safeway,0.0,0.0,5.0,20.0,28.0,0.0,1.0,0.0,54.0,134,511.0
United States of America,Albrecht Discounts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Aldi,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,6.0,134,511.0
United States of America,Aldi Nord,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,134,511.0
United States of America,Amazon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Amazon / Whole Foods,26.0,0.0,4.0,15.0,1.0,0.0,0.0,0.0,46.0,134,511.0
United States of America,American Beverage Corporation,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,134,511.0
United States of America,American Deli,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,134,511.0
United States of America,American Licorice Company,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,American Licorish,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Amy's,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,Anheuser-Busch Inbev,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,134,511.0
United States of America,Apple Hill,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Arden's Garden,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,Arizona Beverage Company,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Arizona Beverages,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,134,511.0
United States of America,Arizona Tea,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Arrow,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Associated Wholesale Grocers,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,August Storck Kg,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,134,511.0
United States of America,Auntie Anne's,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Axe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134,511.0
United States of America,B&G Foods,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,134,511.0
United States of America,Babyganics,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,Badia Spice Inc.,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,134,511.0
