Total,"Total, percent of all persons age 25 and over","Standard Errors - Total, percent of all persons age 25 and over",White1,Standard Errors - White1,Black1,Standard Errors - Black1,Hispanic,Standard Errors - Hispanic,Total - Asian/Pacific Islander,Standard Errors - Total - Asian/Pacific Islander,Asian/Pacific Islander - Asian,Standard Errors - Asian/Pacific Islander - Asian,Asian/Pacific Islander - Pacific Islander,Standard Errors - Asian/Pacific Islander - Pacific Islander,"American Indian/
Alaska Native","Standard Errors - American Indian/
Alaska Native",Two or more race,Standard Errors - Two or more race
1940,3.8,(—),4,(—),1.2,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1950,5.2,(—),5.4,(—),2.4,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1960,5.8,(—),6,(—),3.6,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1970,8.2,(—),8.6,(—),5.6,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1980,13.6,-0.2,14.4,-0.23,8.1,-0.59,6.2,-0.79,—,(†),—,(†),—,(†),—,(†),—,(†)
1990,18.4,-0.21,19.8,-0.25,10.8,-0.59,8.6999999999999993,-0.69,37.799999999999997,-2.0099999999999998,—,(†),—,(†),—,(†),—,(†)
1995,20.2,-0.22,22.1,-0.26,13,-0.62,8.4,-0.61,35,-1.9,—,(†),—,(†),—,(†),—,(†)
1996,21.4,-0.23,23.2,-0.27,14.8,-0.57999999999999996,8.3000000000000007,-0.53,38,-1.5,—,(†),—,(†),—,(†),—,(†)
1997,21.7,-0.21,23.7,-0.25,14,-0.56000000000000005,10.1,-0.46,37.4,-1.43,—,(†),—,(†),—,(†),—,(†)
1998,22.4,-0.21,24.1,-0.25,15.4,-0.57999999999999996,10.9,-0.47,38.9,-1.39,—,(†),—,(†),—,(†),—,(†)
1999,23.1,-0.22,25,-0.26,16.5,-0.59,11,-0.46,39,-1.37,—,(†),—,(†),—,(†),—,(†)
2000,23.6,-0.22,25.5,-0.26,16.8,-0.59,10.6,-0.44,41,-1.37,—,(†),—,(†),—,(†),—,(†)
2001,24.3,-0.22,26.5,-0.26,16.3,-0.57999999999999996,11.3,-0.45,43.4,-1.26,—,(†),—,(†),—,(†),—,(†)
2002,25.1,-0.15,27.3,-0.19,17.7,-0.42,11.2,-0.31,44.2,-0.91,—,(†),—,(†),—,(†),—,(†)
2003,25.7,-0.15,27.9,-0.19,18,-0.43,11.6,-0.3,45.3,-0.89,46.3,-0.92,28,-3.5,12.2,-1.81,22.2,-1.61
2004,26.1,-0.15,28.4,-0.19,18.5,-0.43,12.3,-0.31,45.2,-0.88,45.7,-0.9,32.9,-4.01,13.1,-1.84,22.7,-1.59
2005,26.5,-0.23,28.9,-0.3,18.9,-0.51,12.1,-0.42,46,-1.08,46.8,-1.1000000000000001,24.1,-4.08,12.2,-2,23.3,-1.43
2006,26.9,-0.22,29.3,-0.28000000000000003,19.5,-0.55000000000000004,12.9,-0.39,46.6,-1.1100000000000001,47.3,-1.1499999999999999,27.2,-4.03,12.3,-1.81,23.6,-1.7
2007,28,-0.23,30.6,-0.28999999999999998,19.2,-0.59,13.7,-0.44,48.6,-1.07,49.5,-1.1000000000000001,27.9,-4.16,13.4,-1.53,25.8,-1.58
2008,28.8,-0.24,31.5,-0.28999999999999998,20.5,-0.57999999999999996,14.1,-0.37,49.3,-0.99,50.1,-1.02,29.3,-3.82,15.1,-1.75,26.1,-1.92
2009,29.1,-0.21,31.9,-0.26,20.6,-0.56000000000000005,14,-0.41,48.8,-0.98,49.7,-1.02,32.9,-3.74,18.8,-1.91,26.6,-1.67
2010,29.6,-0.21,32.4,-0.26,21.6,-0.63,14.9,-0.42,49.1,-1.1200000000000001,49.9,-1.19,32.200000000000003,-4.1100000000000003,18.2,-1.83,25.7,-1.59
2011,30.1,-0.22,33.1,-0.28000000000000003,21.7,-0.6,15.2,-0.43,47,-1.04,48,-1.07,24.7,-3.52,17.899999999999999,-2.17,28.9,-1.7
2012,30.6,-0.23,33.5,-0.3,22.9,-0.61,15.8,-0.45,48.6,-0.93,49.7,-0.94,24.9,-3.7,17.2,-2.13,28.8,-1.88
2013,31.4,-0.24,34.4,-0.31,23.4,-0.61,16.2,-0.42,50.2,-0.94,51.3,-0.96,28,-3.44,16.600000000000001,-2.0499999999999998,32,-1.89
2014,32,-0.32,35.3,-0.42,24.2,-0.75,16.100000000000001,-0.5,49.3,-1.1200000000000001,50.4,-1.1499999999999999,27.1,-4.38,13.1,-1.92,33.1,-2.08
2015,32.7,-0.25,36.1,-0.32,24.3,-0.6,16.600000000000001,-0.42,50.4,-0.82,51.8,-0.85,21.3,-3.13,21.3,-1.71,33.4,-1.96
2016,33.7,-0.27,37.3,-0.32,24.8,-0.54,17.399999999999999,-0.47,52.9,-0.96,53.8,-0.97,32.4,-3.94,17,-1.78,35,-2.17
