Total,"Total, percent of all persons age 25 and over","Standard Errors - Total, percent of all persons age 25 and over",White1,Standard Errors - White1,Black1,Standard Errors - Black1,Hispanic,Standard Errors - Hispanic,Total - Asian/Pacific Islander,Standard Errors - Total - Asian/Pacific Islander,Asian/Pacific Islander - Asian,Standard Errors - Asian/Pacific Islander - Asian,Asian/Pacific Islander - Pacific Islander,Standard Errors - Asian/Pacific Islander - Pacific Islander,"American Indian/
Alaska Native","Standard Errors - American Indian/
Alaska Native",Two or more race,Standard Errors - Two or more race
1940,5.5,(—),5.9,(—),1.4,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1950,7.3,(—),7.9,(—),2.1,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1960,9.7,(—),10.3,(—),3.5,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1970,14.1,(—),15,(—),6.8,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1980,20.9,-0.26,22.7,-0.28999999999999998,7.7,-0.65,9.1999999999999993,-0.99,—,(†),—,(†),—,(†),—,(†),—,(†)
1990,24.4,-0.25,26.7,-0.28000000000000003,11.9,-0.69,9.8000000000000007,-0.74,45.9,-2.14,—,(†),—,(†),—,(†),—,(†)
1995,26,-0.25,28.9,-0.28999999999999998,13.7,-0.71,10.1,-0.67,42.3,-2.06,—,(†),—,(†),—,(†),—,(†)
1996,26,-0.26,28.8,-0.3,12.5,-0.61,10.3,-0.59,46.9,-1.59,—,(†),—,(†),—,(†),—,(†)
1997,26.2,-0.24,29,-0.28000000000000003,12.5,-0.6,10.6,-0.47,48,-1.51,—,(†),—,(†),—,(†),—,(†)
1998,26.5,-0.24,29.3,-0.28000000000000003,14,-0.62,11.1,-0.47,46,-1.5,—,(†),—,(†),—,(†),—,(†)
1999,27.5,-0.24,30.6,-0.28000000000000003,14.3,-0.62,10.7,-0.46,46.3,-1.48,—,(†),—,(†),—,(†),—,(†)
2000,27.8,-0.24,30.8,-0.28000000000000003,16.4,-0.65,10.7,-0.45,48.1,-1.47,—,(†),—,(†),—,(†),—,(†)
2001,28,-0.24,30.9,-0.28000000000000003,15.9,-0.64,11.1,-0.45,52.9,-1.33,—,(†),—,(†),—,(†),—,(†)
2002,28.5,-0.17,31.7,-0.2,16.5,-0.47,11,-0.3,51.5,-0.96,—,(†),—,(†),—,(†),—,(†)
2003,28.9,-0.17,32.3,-0.2,16.8,-0.47,11.2,-0.28999999999999998,52.8,-0.96,54.2,-0.98,25.7,-3.76,13.1,-1.85,21.9,-1.69
2004,29.4,-0.17,32.9,-0.2,16.6,-0.46,11.8,-0.3,52.9,-0.93,54,-0.95,31.9,-3.94,15.6,-1.99,20.7,-1.6
2005,28.9,-0.28999999999999998,32.4,-0.37,16,-0.64,11.8,-0.43,53,-1.1000000000000001,54.3,-1.1299999999999999,25.1,-4.7,17,-2.2999999999999998,23.1,-1.67
2006,29.2,-0.24,32.8,-0.31,17.5,-0.63,11.9,-0.4,51.9,-1.33,53.1,-1.35,26.6,-4.67,13.7,-2.0699999999999998,22.6,-1.75
2007,29.5,-0.25,33.2,-0.33,18.1,-0.62,11.8,-0.37,54.2,-1.31,55.8,-1.32,19.2,-4.1399999999999997,12.7,-1.89,21.5,-1.81
2008,30.1,-0.25,33.8,-0.33,18.7,-0.67,12.6,-0.39,54.9,-1.24,56.1,-1.24,27.5,-3.64,14.6,-2.15,22.7,-1.62
2009,30.1,-0.28000000000000003,33.9,-0.36,17.9,-0.56999999999999995,12.5,-0.41,54.8,-1.1399999999999999,56.5,-1.17,23,-3.35,16.100000000000001,-2.96,24.4,-1.92
2010,30.3,-0.23,34.2,-0.3,17.9,-0.59,12.9,-0.37,54.6,-1.26,56.2,-1.3,18,-3.74,13.5,-2.61,24.8,-1.86
2011,30.8,-0.23,35,-0.28999999999999998,18.4,-0.64,13.1,-0.44,52.4,-1.1499999999999999,54,-1.21,19.100000000000001,-3.55,14.1,-1.98,25.7,-1.91
2012,31.4,-0.27,35.5,-0.33,19.5,-0.62,13.3,-0.45,53.1,-1.26,54.4,-1.29,24.1,-3.34,16.100000000000001,-2.27,25.2,-1.85
2013,32,-0.25,36,-0.31,20.2,-0.64,13.9,-0.43,55.1,-1.17,56.9,-1.2,23.1,-3.32,14,-2.13,29,-1.78
2014,31.9,-0.32,35.9,-0.41,21,-0.88,14.2,-0.51,53.7,-1.33,55.5,-1.34,16.7,-3.42,14.8,-2.46,29.2,-2.56
2015,32.3,-0.27,36.3,-0.35,21.1,-0.63,14.3,-0.38,55.6,-1.1100000000000001,57.3,-1.1599999999999999,24.4,-2.87,18.100000000000001,-2.14,27.2,-2.14
2016,33.2,-0.28999999999999998,37.2,-0.37,21.8,-0.62,15.4,-0.48,57.7,-1.05,59.4,-1.1000000000000001,22.2,-3.65,16.5,-1.87,25.6,-2.06
