year,race,number,income_median,income_med_moe,income_mean,income_mean_moe,income_bracket,income_distribution
2019,All Races,128451000,68703,904,98088,1042,"Under $15,000",9.1
2019,All Races,128451000,68703,904,98088,1042,"$15,000 to $24,999",8
2019,All Races,128451000,68703,904,98088,1042,"$25,000 to $34,999",8.3
2019,All Races,128451000,68703,904,98088,1042,"$35,000 to $49,999",11.7
2019,All Races,128451000,68703,904,98088,1042,"$50,000 to $74,999",16.5
2019,All Races,128451000,68703,904,98088,1042,"$75,000 to $99,999",12.3
2019,All Races,128451000,68703,904,98088,1042,"$100,000 to $149,999",15.5
2019,All Races,128451000,68703,904,98088,1042,"$150,000 to $199,999",8.3
2019,All Races,128451000,68703,904,98088,1042,"$200,000 and over",10.3
2018,All Races,128579000,64324,704,91652,914,"Under $15,000",10.1
2018,All Races,128579000,64324,704,91652,914,"$15,000 to $24,999",8.8
2018,All Races,128579000,64324,704,91652,914,"$25,000 to $34,999",8.7
2018,All Races,128579000,64324,704,91652,914,"$35,000 to $49,999",12
2018,All Races,128579000,64324,704,91652,914,"$50,000 to $74,999",17
2018,All Races,128579000,64324,704,91652,914,"$75,000 to $99,999",12.5
2018,All Races,128579000,64324,704,91652,914,"$100,000 to $149,999",15
2018,All Races,128579000,64324,704,91652,914,"$150,000 to $199,999",7.2
2018,All Races,128579000,64324,704,91652,914,"$200,000 and over",8.8
2017,All Races,127586000,64007,575,89922,892,"Under $15,000",10.1
2017,All Races,127586000,64007,575,89922,892,"$15,000 to $24,999",9.1
2017,All Races,127586000,64007,575,89922,892,"$25,000 to $34,999",9.2
2017,All Races,127586000,64007,575,89922,892,"$35,000 to $49,999",11.9
2017,All Races,127586000,64007,575,89922,892,"$50,000 to $74,999",16.3
2017,All Races,127586000,64007,575,89922,892,"$75,000 to $99,999",12.6
2017,All Races,127586000,64007,575,89922,892,"$100,000 to $149,999",14.8
2017,All Races,127586000,64007,575,89922,892,"$150,000 to $199,999",7.5
2017,All Races,127586000,64007,575,89922,892,"$200,000 and over",8.5
2016,All Races,126224000,62898,764,88578,822,"Under $15,000",10.4
2016,All Races,126224000,62898,764,88578,822,"$15,000 to $24,999",9
2016,All Races,126224000,62898,764,88578,822,"$25,000 to $34,999",9.2
2016,All Races,126224000,62898,764,88578,822,"$35,000 to $49,999",12.3
2016,All Races,126224000,62898,764,88578,822,"$50,000 to $74,999",16.7
2016,All Races,126224000,62898,764,88578,822,"$75,000 to $99,999",12.2
2016,All Races,126224000,62898,764,88578,822,"$100,000 to $149,999",15
2016,All Races,126224000,62898,764,88578,822,"$150,000 to $199,999",7.2
2016,All Races,126224000,62898,764,88578,822,"$200,000 and over",8
2015,All Races,125819000,60987,570,85533,715,"Under $15,000",10.6
2015,All Races,125819000,60987,570,85533,715,"$15,000 to $24,999",10
2015,All Races,125819000,60987,570,85533,715,"$25,000 to $34,999",9.6
2015,All Races,125819000,60987,570,85533,715,"$35,000 to $49,999",12.1
2015,All Races,125819000,60987,570,85533,715,"$50,000 to $74,999",16.1
2015,All Races,125819000,60987,570,85533,715,"$75,000 to $99,999",12.4
2015,All Races,125819000,60987,570,85533,715,"$100,000 to $149,999",14.9
2015,All Races,125819000,60987,570,85533,715,"$150,000 to $199,999",7.1
2015,All Races,125819000,60987,570,85533,715,"$200,000 and over",7.2
2014,All Races,124587000,58001,697,81870,793,"Under $15,000",11.4
2014,All Races,124587000,58001,697,81870,793,"$15,000 to $24,999",10.5
2014,All Races,124587000,58001,697,81870,793,"$25,000 to $34,999",9.6
2014,All Races,124587000,58001,697,81870,793,"$35,000 to $49,999",12.6
2014,All Races,124587000,58001,697,81870,793,"$50,000 to $74,999",16.4
2014,All Races,124587000,58001,697,81870,793,"$75,000 to $99,999",12.1
2014,All Races,124587000,58001,697,81870,793,"$100,000 to $149,999",14
2014,All Races,124587000,58001,697,81870,793,"$150,000 to $199,999",6.6
2014,All Races,124587000,58001,697,81870,793,"$200,000 and over",6.8
2013,All Races,123931000,58904,1183,82660,1201,"Under $15,000",11.4
