year,race,dollar_type,income_quintile,income_dollars
2019,All Races,Current Dollars,Lowest,15286
2019,All Races,Current Dollars,Second,40652
2019,All Races,Current Dollars,Middle,68938
2019,All Races,Current Dollars,Fourth,111112
2019,All Races,Current Dollars,Highest,254449
2019,All Races,Current Dollars,Top 5%,451122
2018,All Races,Current Dollars,Lowest,13775
2018,All Races,Current Dollars,Second,37293
2018,All Races,Current Dollars,Middle,63572
2018,All Races,Current Dollars,Fourth,101570
2018,All Races,Current Dollars,Highest,233895
2018,All Races,Current Dollars,Top 5%,416520
2017,All Races,Current Dollars,Lowest,13258
2017,All Races,Current Dollars,Second,35401
2017,All Races,Current Dollars,Middle,61564
2017,All Races,Current Dollars,Fourth,99030
2017,All Races,Current Dollars,Highest,221846
2017,All Races,Current Dollars,Top 5%,385289
2016,All Races,Current Dollars,Lowest,12943
2016,All Races,Current Dollars,Second,34504
2016,All Races,Current Dollars,Middle,59149
2016,All Races,Current Dollars,Fourth,95178
2016,All Races,Current Dollars,Highest,213941
2016,All Races,Current Dollars,Top 5%,375088
2015,All Races,Current Dollars,Lowest,12457
2015,All Races,Current Dollars,Second,32631
2015,All Races,Current Dollars,Middle,56832
2015,All Races,Current Dollars,Fourth,92031
2015,All Races,Current Dollars,Highest,202366
2015,All Races,Current Dollars,Top 5%,350870
2014,All Races,Current Dollars,Lowest,11676
2014,All Races,Current Dollars,Second,31087
2014,All Races,Current Dollars,Middle,54041
2014,All Races,Current Dollars,Fourth,87834
2014,All Races,Current Dollars,Highest,194053
2014,All Races,Current Dollars,Top 5%,332347
2013,All Races,Current Dollars,Lowest,11594
2013,All Races,Current Dollars,Second,30812
2013,All Races,Current Dollars,Middle,53741
2013,All Races,Current Dollars,Fourth,86473
2013,All Races,Current Dollars,Highest,193352
2013,All Races,Current Dollars,Top 5%,334465
2012,All Races,Current Dollars,Lowest,11490
2012,All Races,Current Dollars,Second,29696
2012,All Races,Current Dollars,Middle,51179
2012,All Races,Current Dollars,Fourth,82098
2012,All Races,Current Dollars,Highest,181905
2012,All Races,Current Dollars,Top 5%,318052
2011,All Races,Current Dollars,Lowest,11239
2011,All Races,Current Dollars,Second,29204
2011,All Races,Current Dollars,Middle,49842
2011,All Races,Current Dollars,Fourth,80080
2011,All Races,Current Dollars,Highest,178020
2011,All Races,Current Dollars,Top 5%,311444
2010,All Races,Current Dollars,Lowest,10994
2010,All Races,Current Dollars,Second,28532
2010,All Races,Current Dollars,Middle,49167
2010,All Races,Current Dollars,Fourth,78877
2010,All Races,Current Dollars,Highest,169391
2010,All Races,Current Dollars,Top 5%,287201
2009,All Races,Current Dollars,Lowest,11552
2009,All Races,Current Dollars,Second,29257
2009,All Races,Current Dollars,Middle,49534
2009,All Races,Current Dollars,Fourth,78694
2009,All Races,Current Dollars,Highest,170844
2009,All Races,Current Dollars,Top 5%,295388
2008,All Races,Current Dollars,Lowest,11656
2008,All Races,Current Dollars,Second,29517
2008,All Races,Current Dollars,Middle,50132
2008,All Races,Current Dollars,Fourth,79760
2008,All Races,Current Dollars,Highest,171057
2008,All Races,Current Dollars,Top 5%,294709
2007,All Races,Current Dollars,Lowest,11551
2007,All Races,Current Dollars,Second,29442
2007,All Races,Current Dollars,Middle,49968
2007,All Races,Current Dollars,Fourth,79111
2007,All Races,Current Dollars,Highest,167971
2007,All Races,Current Dollars,Top 5%,287191
2006,All Races,Current Dollars,Lowest,11352
2006,All Races,Current Dollars,Second,28777
2006,All Races,Current Dollars,Middle,48223
2006,All Races,Current Dollars,Fourth,76329
2006,All Races,Current Dollars,Highest,168170
2006,All Races,Current Dollars,Top 5%,297405
2005,All Races,Current Dollars,Lowest,10655
2005,All Races,Current Dollars,Second,27357
2005,All Races,Current Dollars,Middle,46301
2005,All Races,Current Dollars,Fourth,72825
2005,All Races,Current Dollars,Highest,159583
2005,All Races,Current Dollars,Top 5%,281155
2004,All Races,Current Dollars,Lowest,10244
2004,All Races,Current Dollars,Second,26212
2004,All Races,Current Dollars,Middle,44411
2004,All Races,Current Dollars,Fourth,70026
2004,All Races,Current Dollars,Highest,151438
2004,All Races,Current Dollars,Top 5%,263896
2003,All Races,Current Dollars,Lowest,9996
2003,All Races,Current Dollars,Second,25678
2003,All Races,Current Dollars,Middle,43588
2003,All Races,Current Dollars,Fourth,68994
2003,All Races,Current Dollars,Highest,147078
2003,All Races,Current Dollars,Top 5%,253239
2002,All Races,Current Dollars,Lowest,9990
2002,All Races,Current Dollars,Second,25400
2002,All Races,Current Dollars,Middle,42802
2002,All Races,Current Dollars,Fourth,67326
2002,All Races,Current Dollars,Highest,143743
2002,All Races,Current Dollars,Top 5%,251010
2001,All Races,Current Dollars,Lowest,10136
2001,All Races,Current Dollars,Second,25468
2001,All Races,Current Dollars,Middle,42629
2001,All Races,Current Dollars,Fourth,66839
2001,All Races,Current Dollars,Highest,145970
2001,All Races,Current Dollars,Top 5%,260464
2000,All Races,Current Dollars,Lowest,10157
2000,All Races,Current Dollars,Second,25361
2000,All Races,Current Dollars,Middle,42233
2000,All Races,Current Dollars,Fourth,65653
2000,All Races,Current Dollars,Highest,142269
2000,All Races,Current Dollars,Top 5%,252400
1999,All Races,Current Dollars,Lowest,9915
1999,All Races,Current Dollars,Second,24345
1999,All Races,Current Dollars,Middle,40750
1999,All Races,Current Dollars,Fourth,63423
1999,All Races,Current Dollars,Highest,135250
1999,All Races,Current Dollars,Top 5%,235077
1998,All Races,Current Dollars,Lowest,9223
1998,All Races,Current Dollars,Second,23288
1998,All Races,Current Dollars,Middle,38967
1998,All Races,Current Dollars,Fourth,60266
1998,All Races,Current Dollars,Highest,127529
1998,All Races,Current Dollars,Top 5%,222283
1997,All Races,Current Dollars,Lowest,8839
1997,All Races,Current Dollars,Second,22098
1997,All Races,Current Dollars,Middle,37177
1997,All Races,Current Dollars,Fourth,57582
1997,All Races,Current Dollars,Highest,122764
1997,All Races,Current Dollars,Top 5%,215436
1996,All Races,Current Dollars,Lowest,8595
1996,All Races,Current Dollars,Second,21097
1996,All Races,Current Dollars,Middle,35486
1996,All Races,Current Dollars,Fourth,54922
1996,All Races,Current Dollars,Highest,115514
1996,All Races,Current Dollars,Top 5%,201220
1995,All Races,Current Dollars,Lowest,8345
1995,All Races,Current Dollars,Second,20397
1995,All Races,Current Dollars,Middle,34106
1995,All Races,Current Dollars,Fourth,52429
1995,All Races,Current Dollars,Highest,109411
1995,All Races,Current Dollars,Top 5%,188828
1994,All Races,Current Dollars,Lowest,7714
1994,All Races,Current Dollars,Second,19224
1994,All Races,Current Dollars,Middle,32385
1994,All Races,Current Dollars,Fourth,50395
1994,All Races,Current Dollars,Highest,105945
1994,All Races,Current Dollars,Top 5%,183044
1993,All Races,Current Dollars,Lowest,7359
1993,All Races,Current Dollars,Second,18656
1993,All Races,Current Dollars,Middle,31272
1993,All Races,Current Dollars,Fourth,48599
1993,All Races,Current Dollars,Highest,101253
1993,All Races,Current Dollars,Top 5%,173784
1992,All Races,Current Dollars,Lowest,7256
1992,All Races,Current Dollars,Second,18181
1992,All Races,Current Dollars,Middle,30631
1992,All Races,Current Dollars,Fourth,47021
1992,All Races,Current Dollars,Highest,91110
1992,All Races,Current Dollars,Top 5%,144608
1991,All Races,Current Dollars,Lowest,7226
1991,All Races,Current Dollars,Second,18150
1991,All Races,Current Dollars,Middle,30148
1991,All Races,Current Dollars,Fourth,45957
1991,All Races,Current Dollars,Highest,88127
1991,All Races,Current Dollars,Top 5%,137530
1990,All Races,Current Dollars,Lowest,7166
1990,All Races,Current Dollars,Second,18030
1990,All Races,Current Dollars,Middle,29781
1990,All Races,Current Dollars,Fourth,44901
1990,All Races,Current Dollars,Highest,87137
1990,All Races,Current Dollars,Top 5%,138756
1989,All Races,Current Dollars,Lowest,6994
1989,All Races,Current Dollars,Second,17401
1989,All Races,Current Dollars,Middle,28925
1989,All Races,Current Dollars,Fourth,43753
1989,All Races,Current Dollars,Highest,85529
1989,All Races,Current Dollars,Top 5%,138185
1988,All Races,Current Dollars,Lowest,6465
1988,All Races,Current Dollars,Second,16317
1988,All Races,Current Dollars,Middle,27291
1988,All Races,Current Dollars,Fourth,41254
1988,All Races,Current Dollars,Highest,78759
