year,percentile,income_family
1963,10th,13286.140975300827
1963,50th,47025.530082330595
1963,90th,95267.51918936038
1965,10th,14783.242811906273
1965,50th,50989.22710576315
1965,90th,101564.12336922105
1966,10th,16241.564914502853
1966,50th,53898.72767574415
1966,90th,107761.73717542751
1967,10th,16201.764661177964
1967,50th,55282.55186827107
1967,90th,108264.85319822675
1968,10th,17703.969094363525
1968,50th,57354.20607979735
1968,90th,113451.13236225462
1970,10th,17354.95148828373
1970,50th,59243.18733375555
1970,90th,119518.11969601015
1971,10th,17251.879037365423
1971,50th,58370.64331855606
1971,90th,119040.51665611149
1972,10th,17452.921342621918
1972,50th,61139.31222292592
1972,90th,126052.50487650414
1973,10th,18224.43394553515
1973,50th,62842.55896136797
1973,90th,128828.31741608615
1974,10th,17178.401646611783
1974,50th,59769.77530082332
1974,90th,124306.39632678914
1975,10th,16621.198100063335
1975,50th,58337.98670044333
1975,90th,121104.00671310959
1976,10th,16924.292336922106
1976,50th,60048.377074097545
1976,90th,124442.12539582017
1977,10th,16739.57834072198
1977,50th,60137.16225459152
1977,90th,127283.25117162763
1978,10th,16750.80405319823
1978,50th,61109.717162761255
1978,90th,129905.98581380623
1979,10th,16079.302343255227
1979,50th,60711.71462951236
1979,90th,130791.79658011402
1980,10th,15109.808993033568
1980,50th,56744.95604813174
1980,90th,124500.29499683346
1981,10th,14557.708043065233
1981,50th,55119.26877770742
1981,90th,122635.8062064598
1982,10th,13907.63723875871
1982,50th,54034.45674477518
1982,90th,123162.39417352757
1983,10th,13802.523749208362
1983,50th,54637.58366054466
1983,90th,125333.03875870806
1984,10th,14047.448385053834
1984,50th,56641.88359721344
1984,90th,131066.31627612415
1985,10th,14345.440025332491
1985,50th,57247.05155161496
1985,90th,132795.07599746677
1986,10th,14440.348321722611
1986,50th,59692.21583280558
1986,90th,138455.89664344524
1987,10th,14561.790120329326
1987,50th,60665.791260291335
1987,90th,141712.373780874
1988,10th,14602.610892970237
1988,50th,60210.63964534517
1988,90th,143026.80265991137
1989,10th,15272.071564281194
1989,50th,61070.93742875239
1989,90th,145968.9598480051
1990,10th,14681.190880303993
1990,50th,59534.035338822054
1990,90th,142212.42824572517
1991,10th,13940.29385687144
1991,50th,57524.63280557316
1991,90th,139503.96998100067
1992,10th,13552.496516782776
1992,50th,57594.02811906271
1992,90th,139979.53198226728
1993,10th,13235.115009499686
1993,50th,56067.3312222926
1993,90th,142460.4144395187
1994,10th,13737.210512982903
1994,50th,57394.00633312224
1994,90th,146042.43723875875
1995,10th,14491.374287523751
1995,50th,58264.50930968969
1995,90th,146475.1374287524
1996,10th,14156.643951868275
1996,50th,59227.87954401521
1996,90th,148677.41811272962
1997,10th,14749.56567447752
1997,50th,60410.66143128563
1997,90th,153551.41836605448
1998,10th,15038.372640911972
1998,50th,62480.274604179875
1998,90th,158359.0848638379
1999,10th,15782.331222292592
1999,50th,64018.19721342623
1999,90th,164279.11741608617
2000,10th,16491.59214692844
2000,50th,64784.60721975935
2000,90th,166194.63217226096
2001,10th,15678.238252058267
2001,50th,63437.52172260926
2001,90th,164840.4030398987
2002,10th,15434.33413552882
2002,50th,62934.40569981002
2002,90th,163795.39126029136
2003,10th,14816.919949335024
2003,50th,62528.239012032944
2003,90th,166360.97682077266
2004,10th,14727.114249525019
2004,50th,62663.96808106398
2004,90th,165608.85408486388
2005,10th,14703.642305256495
2005,50th,62238.41152628247
2005,90th,166152.79088030403
2006,10th,15170.019632678914
2006,50th,62568.03926535783
2006,90th,171475.81963267893
2007,10th,15004.69550348322
2007,50th,63482.42457251426
2007,90th,168631.6322989234
2008,10th,14283.1883470551
2008,50th,60989.295883470564
2008,90th,164756.72045598485
2009,10th,13420.849525015836
2009,50th,59617.71792273592
2009,90th,165469.04293856875
2010,10th,13077.955034832175
2010,50th,58514.536542115275
2010,90th,162471.77770740978
2011,10th,12674.84990500317
2011,50th,57036.82457251426
2011,90th,159997.0183660545
2012,10th,12674.84990500317
2012,50th,56983.75756808108
2012,90th,160463.39569347692
2013,10th,13216.745661811276
2013,50th,58140.0059531349
2013,90th,162264.61228625715
2014,10th,13029.990626979103
2014,50th,59551.38416719444
2014,90th,170318.55072830908
2015,10th,14052.550981633949
2015,50th,62396.592020266005
2015,90th,175716.07739075366
2016,10th,14458.717669411022
2016,50th,64959.11602279925
2016,90th,182826.0354654845
