type,race,year,wealth_lifetime
Average,White,1983,210741.92
Average,White,1989,395395.72
Average,White,1992,423597.7
Average,White,1995,509094.94
Average,White,1998,701825.41
Average,White,2001,1018077.2
Average,White,2004,1205138.9
Average,White,2007,1338772
Average,White,2010,1253014.6
Average,White,2013,1261285.8
Average,White,2016,1338360.1
Average,Black,1983,63444.334
Average,Black,1989,126714.82
Average,Black,1992,102510.98
Average,Black,1995,112604.41
Average,Black,1998,138668.84
Average,Black,2001,168999.75
Average,Black,2004,277834.46
Average,Black,2007,251223.5
Average,Black,2010,167866
Average,Black,2013,120797.94
Average,Black,2016,203687.83
Median,White,1983,101317.32
Median,White,1989,163449.34
Median,White,1992,136345.67
Median,White,1995,179542.41
Median,White,1998,224269.55
Median,White,2001,281714.19
Median,White,2004,418543.47
Median,White,2007,367785.56
Median,White,2010,327287.84
Median,White,2013,343667.19
Median,White,2016,317510
Median,Black,1983,13874.719
Median,Black,1989,5019.1636
Median,Black,1992,41490.676
Median,Black,1995,56470.121
Median,Black,1998,26513.973
Median,Black,2001,64355.426
Median,Black,2004,52448.289
Median,Black,2007,121695.8
Median,Black,2010,38686.508
Median,Black,2013,48059.789
Median,Black,2016,46890
