sex,race,ethnic_origin,age,year,quarter,n_persons,median_weekly_earn
Both Sexes,All Races,All Origins,16 years and over,2010,1,96821000,754
Both Sexes,All Races,All Origins,16 years and over,2010,2,99798000,740
Both Sexes,All Races,All Origins,16 years and over,2010,3,101385000,740
Both Sexes,All Races,All Origins,16 years and over,2010,4,100120000,752
Both Sexes,All Races,All Origins,16 years and over,2011,1,98329000,755
Both Sexes,All Races,All Origins,16 years and over,2011,2,100593000,753
Both Sexes,All Races,All Origins,16 years and over,2011,3,101447000,753
Both Sexes,All Races,All Origins,16 years and over,2011,4,101458000,764
Both Sexes,All Races,All Origins,16 years and over,2012,1,100830000,769
Both Sexes,All Races,All Origins,16 years and over,2012,2,102769000,771
Both Sexes,All Races,All Origins,16 years and over,2012,3,103577000,758
Both Sexes,All Races,All Origins,16 years and over,2012,4,103819000,775
Both Sexes,All Races,All Origins,16 years and over,2013,1,102606000,773
Both Sexes,All Races,All Origins,16 years and over,2013,2,104194000,776
Both Sexes,All Races,All Origins,16 years and over,2013,3,105459000,771
Both Sexes,All Races,All Origins,16 years and over,2013,4,104791000,786
Both Sexes,All Races,All Origins,16 years and over,2014,1,104327000,796
Both Sexes,All Races,All Origins,16 years and over,2014,2,106555000,780
Both Sexes,All Races,All Origins,16 years and over,2014,3,107855000,790
Both Sexes,All Races,All Origins,16 years and over,2014,4,107368000,799
Both Sexes,All Races,All Origins,16 years and over,2015,1,107194000,808
Both Sexes,All Races,All Origins,16 years and over,2015,2,108769000,801
Both Sexes,All Races,All Origins,16 years and over,2015,3,110446000,803
Both Sexes,All Races,All Origins,16 years and over,2015,4,109913000,825
Both Sexes,All Races,All Origins,16 years and over,2016,1,109147000,830
Both Sexes,All Races,All Origins,16 years and over,2016,2,111166000,824
Both Sexes,All Races,All Origins,16 years and over,2016,3,112784000,827
Both Sexes,All Races,All Origins,16 years and over,2016,4,111268000,849
Both Sexes,All Races,All Origins,16 years and over,2017,1,110706000,865
Both Sexes,All Races,All Origins,16 years and over,2017,2,113372000,859
Both Sexes,All Races,All Origins,16 years and over,2017,3,114859000,859
Both Sexes,All Races,All Origins,16 years and over,2017,4,114151000,857
Both Sexes,All Races,All Origins,16 years and over,2018,1,113396000,881
Both Sexes,All Races,All Origins,16 years and over,2018,2,115758000,876
Both Sexes,All Races,All Origins,16 years and over,2018,3,117184000,887
Both Sexes,All Races,All Origins,16 years and over,2018,4,115928000,900
Both Sexes,All Races,All Origins,16 years and over,2019,1,116123000,905
Both Sexes,All Races,All Origins,16 years and over,2019,2,117567000,908
Both Sexes,All Races,All Origins,16 years and over,2019,3,118358000,919
Both Sexes,All Races,All Origins,16 years and over,2019,4,118286000,936
Both Sexes,All Races,All Origins,16 years and over,2020,1,115930000,957
Both Sexes,All Races,All Origins,16 years and over,2020,2,104487000,1002
Both Sexes,All Races,All Origins,16 years and over,2020,3,109652000,994
Both Sexes,All Races,All Origins,16 years and over,2020,4,111480000,984
Men,All Races,All Origins,16 years and over,2010,1,53028000,844
Men,All Races,All Origins,16 years and over,2010,2,55235000,810
Men,All Races,All Origins,16 years and over,2010,3,56473000,813
Men,All Races,All Origins,16 years and over,2010,4,55500000,830
