industry,major_occupation,minor_occupation,race_gender,industry_total,employ_n,year
Agriculture and related,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,2349000,961000,2020
Agriculture and related,"Management, professional, and related occupations",Professional and related occupations,TOTAL,2349000,58000,2020
Agriculture and related,Service occupations,Protective service occupations,TOTAL,2349000,13000,2020
Agriculture and related,Service occupations,"Service occupations, except protective",TOTAL,2349000,94000,2020
Agriculture and related,Sales and office occupations,Sales and related occupations,TOTAL,2349000,12000,2020
Agriculture and related,Sales and office occupations,Office and administrative support occupations,TOTAL,2349000,96000,2020
Agriculture and related,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,2349000,931000,2020
Agriculture and related,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,2349000,10000,2020
Agriculture and related,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,2349000,33000,2020
Agriculture and related,"Production, transportation, and material moving occupations",Production occupations,TOTAL,2349000,42000,2020
Agriculture and related,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,2349000,99000,2020
"Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,684000,146000,2020
"Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations",Professional and related occupations,TOTAL,684000,104000,2020
"Mining, quarrying, and oil and gas extraction",Service occupations,Protective service occupations,TOTAL,684000,1000,2020
"Mining, quarrying, and oil and gas extraction",Service occupations,"Service occupations, except protective",TOTAL,684000,6000,2020
"Mining, quarrying, and oil and gas extraction",Sales and office occupations,Sales and related occupations,TOTAL,684000,11000,2020
"Mining, quarrying, and oil and gas extraction",Sales and office occupations,Office and administrative support occupations,TOTAL,684000,38000,2020
"Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,684000,0,2020
"Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,684000,208000,2020
"Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,684000,39000,2020
"Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations",Production occupations,TOTAL,684000,57000,2020
"Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,684000,74000,2020
Construction,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,10786000,2210000,2020
Construction,"Management, professional, and related occupations",Professional and related occupations,TOTAL,10786000,337000,2020
Construction,Service occupations,Protective service occupations,TOTAL,10786000,14000,2020
Construction,Service occupations,"Service occupations, except protective",TOTAL,10786000,46000,2020
Construction,Sales and office occupations,Sales and related occupations,TOTAL,10786000,145000,2020
Construction,Sales and office occupations,Office and administrative support occupations,TOTAL,10786000,545000,2020
Construction,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,10786000,6000,2020
Construction,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,10786000,6404000,2020
Construction,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,10786000,618000,2020
Construction,"Production, transportation, and material moving occupations",Production occupations,TOTAL,10786000,153000,2020
Construction,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,10786000,307000,2020
Manufacturing,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,14550000,2845000,2020
Manufacturing,"Management, professional, and related occupations",Professional and related occupations,TOTAL,14550000,2247000,2020
Manufacturing,Service occupations,Protective service occupations,TOTAL,14550000,34000,2020
Manufacturing,Service occupations,"Service occupations, except protective",TOTAL,14550000,176000,2020
Manufacturing,Sales and office occupations,Sales and related occupations,TOTAL,14550000,631000,2020
Manufacturing,Sales and office occupations,Office and administrative support occupations,TOTAL,14550000,1148000,2020
Manufacturing,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,14550000,17000,2020
Manufacturing,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,14550000,301000,2020
Manufacturing,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,14550000,653000,2020
Manufacturing,"Production, transportation, and material moving occupations",Production occupations,TOTAL,14550000,5334000,2020
Manufacturing,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,14550000,1162000,2020
Durable goods,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,9129000,1767000,2020
Durable goods,"Management, professional, and related occupations",Professional and related occupations,TOTAL,9129000,1620000,2020
Durable goods,Service occupations,Protective service occupations,TOTAL,9129000,17000,2020
Durable goods,Service occupations,"Service occupations, except protective",TOTAL,9129000,79000,2020
Durable goods,Sales and office occupations,Sales and related occupations,TOTAL,9129000,344000,2020
Durable goods,Sales and office occupations,Office and administrative support occupations,TOTAL,9129000,697000,2020
Durable goods,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,9129000,7000,2020
Durable goods,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,9129000,233000,2020
Durable goods,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,9129000,414000,2020
Durable goods,"Production, transportation, and material moving occupations",Production occupations,TOTAL,9129000,3322000,2020
Durable goods,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,9129000,629000,2020
Nondurable goods,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,5421000,1078000,2020
Nondurable goods,"Management, professional, and related occupations",Professional and related occupations,TOTAL,5421000,627000,2020
Nondurable goods,Service occupations,Protective service occupations,TOTAL,5421000,17000,2020
Nondurable goods,Service occupations,"Service occupations, except protective",TOTAL,5421000,97000,2020
Nondurable goods,Sales and office occupations,Sales and related occupations,TOTAL,5421000,288000,2020
Nondurable goods,Sales and office occupations,Office and administrative support occupations,TOTAL,5421000,451000,2020
Nondurable goods,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,5421000,11000,2020
Nondurable goods,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,5421000,68000,2020
Nondurable goods,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,5421000,239000,2020
Nondurable goods,"Production, transportation, and material moving occupations",Production occupations,TOTAL,5421000,2012000,2020
Nondurable goods,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,5421000,533000,2020
Wholesale and retail trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,18989000,1607000,2020
Wholesale and retail trade,"Management, professional, and related occupations",Professional and related occupations,TOTAL,18989000,1214000,2020
Wholesale and retail trade,Service occupations,Protective service occupations,TOTAL,18989000,68000,2020
Wholesale and retail trade,Service occupations,"Service occupations, except protective",TOTAL,18989000,611000,2020
Wholesale and retail trade,Sales and office occupations,Sales and related occupations,TOTAL,18989000,8769000,2020
Wholesale and retail trade,Sales and office occupations,Office and administrative support occupations,TOTAL,18989000,1971000,2020
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,18989000,45000,2020
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,18989000,129000,2020
Wholesale and retail trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,18989000,656000,2020
Wholesale and retail trade,"Production, transportation, and material moving occupations",Production occupations,TOTAL,18989000,585000,2020
Wholesale and retail trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,18989000,3333000,2020
Wholesale trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,3380000,519000,2020
Wholesale trade,"Management, professional, and related occupations",Professional and related occupations,TOTAL,3380000,172000,2020
Wholesale trade,Service occupations,Protective service occupations,TOTAL,3380000,10000,2020
Wholesale trade,Service occupations,"Service occupations, except protective",TOTAL,3380000,39000,2020
Wholesale trade,Sales and office occupations,Sales and related occupations,TOTAL,3380000,1165000,2020
Wholesale trade,Sales and office occupations,Office and administrative support occupations,TOTAL,3380000,445000,2020
Wholesale trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,3380000,28000,2020
Wholesale trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,3380000,24000,2020
Wholesale trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,3380000,144000,2020
Wholesale trade,"Production, transportation, and material moving occupations",Production occupations,TOTAL,3380000,130000,2020
Wholesale trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,3380000,704000,2020
Retail trade,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,15609000,1088000,2020
Retail trade,"Management, professional, and related occupations",Professional and related occupations,TOTAL,15609000,1041000,2020
Retail trade,Service occupations,Protective service occupations,TOTAL,15609000,58000,2020
Retail trade,Service occupations,"Service occupations, except protective",TOTAL,15609000,573000,2020
Retail trade,Sales and office occupations,Sales and related occupations,TOTAL,15609000,7603000,2020
Retail trade,Sales and office occupations,Office and administrative support occupations,TOTAL,15609000,1526000,2020
Retail trade,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,15609000,17000,2020
Retail trade,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,15609000,105000,2020
Retail trade,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,15609000,513000,2020
Retail trade,"Production, transportation, and material moving occupations",Production occupations,TOTAL,15609000,456000,2020
Retail trade,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,15609000,2628000,2020
Transportation and utilities,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,8552000,1012000,2020
Transportation and utilities,"Management, professional, and related occupations",Professional and related occupations,TOTAL,8552000,402000,2020
Transportation and utilities,Service occupations,Protective service occupations,TOTAL,8552000,47000,2020
Transportation and utilities,Service occupations,"Service occupations, except protective",TOTAL,8552000,100000,2020
Transportation and utilities,Sales and office occupations,Sales and related occupations,TOTAL,8552000,150000,2020
Transportation and utilities,Sales and office occupations,Office and administrative support occupations,TOTAL,8552000,1843000,2020
Transportation and utilities,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,8552000,3000,2020
Transportation and utilities,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,8552000,210000,2020
Transportation and utilities,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,8552000,515000,2020
Transportation and utilities,"Production, transportation, and material moving occupations",Production occupations,TOTAL,8552000,352000,2020
Transportation and utilities,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,8552000,3917000,2020
Information,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,2594000,651000,2020
Information,"Management, professional, and related occupations",Professional and related occupations,TOTAL,2594000,1095000,2020
Information,Service occupations,Protective service occupations,TOTAL,2594000,6000,2020
Information,Service occupations,"Service occupations, except protective",TOTAL,2594000,38000,2020
Information,Sales and office occupations,Sales and related occupations,TOTAL,2594000,200000,2020
Information,Sales and office occupations,Office and administrative support occupations,TOTAL,2594000,329000,2020
Information,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,2594000,0,2020
Information,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,2594000,12000,2020
