year,id,imdb_id,title,rating
1888,8040,0392728,Roundhay Garden Scene,0
1892,5433,0000003,Pauvre Pierrot,0
1895,6200,0132134,"The Execution of Mary, Queen of Scots",0
1895,5444,0000014,Tables Turned on the Gardener,0
1896,5406,0000131,Une nuit terrible,0
1896,5445,0223341,La fee aux choux,0
1896,6199,0000012,The Arrival of a Train,0
1896,4982,0000091,The House of the Devil,0
1897,9328,0000041,Bataille de neige,0
1898,4978,0135696,Four Heads Are Better Than One,0
1898,5411,0224240,The Temptation of St. Anthony,0
1898,5410,0000211,"The Astronomer&#39;s Dream; or Man in the Moon, The",0
1899,5914,0000230,Cinderella,3
1899,4994,0000246,A Turn of the Century Illusionist,0
1900,5438,0000313,Let Me Dream Again,0
1900,4346,0000306,Hamlet ( Le Duel d’Hamlet),0
1900,1594,0291476,Sherlock Holmes Baffled,0
1900,4993,0135453,The One-Man Band,0
1900,5069,0377995,Grandma Threading Her Needle,0
1900,4271,0000300,The Enchanted Drawing,0
1900,5072,0230746,"Searching Ruins on Broadway, Galveston, for Dead Bodies",0
1900,4345,0257654,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0
1900,4344,0000272,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0
1900,5446,0227438,The Doctor and the Monkey,0
1900,4343,0000304,Grandma’s Reading Glass,0
1901,5437,0258104,Reve et realite,0
1901,4995,0000359,L’homme a la tete en caoutchouc,0
1901,5500,0131934,Bluebeard,0
1902,1252,0000417,Le voyage dans la lune,0
1902,5443,0000413,Mephistopheles’ School of Magic,0
1902,5432,0367177,"The Twentieth Century Tramp; or, Happy Hooligan and His Airship",0
1902,5431,0229024,Gulliver’s Travels,0
1903,1319,0000439,The Great Train Robbery,0
1903,5064,0223755,The Monster,0
1903,5683,0189498,The Enchanted Well,0
1903,5063,0000455,The Music Lover,0
1903,5002,0135180,The Infernal Boiling Pot,0
1904,5601,0135631,The Untamable Whiskers,0
1904,5224,0215664,The Cook in Trouble,0
1904,5404,0135179,The Living Playing Cards,0
1904,6135,0000499,Le voyage a travers l’impossible,0
1905,5003,0135690,The Scheming Gambler&#39;s Paradise,0
1905,5602,0215575,The Black Imp,0
1906,1349,0000574,The Story of the Kelly Gang,1
1906,5684,0000567,The 400 Tricks of the Devil,0
1906,7215,1260944,The Consequence of Feminism,0
1906,5603,0135122,The Hilarious Posters,0
1906,6206,0449172,A Funny Shave,0
1906,5435,0000554,Humorous Phases of Funny Faces,0
1906,5024,0216016,The Mysterious Retort,0
1907,5615,0215817,Good Glue Sticks,0
