brand,product,name,specific,lightness,hex,lightToDark,numbers,id
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0,0.949019607843137,#F2F2F2,TRUE,0,1
HOURGLASS,Veil Fluid Makeup,Porcelain,No. 0,0.817647058823529,#F6D3AB,TRUE,0,2
TOM FORD,Traceless Soft Matte Foundation,Pearl,0.0,0.850980392156863,#F0D8C2,TRUE,0,3
Armani Beauty,Neo Nude Foundation,NA,0,0.911764705882353,#F0E8E1,TRUE,0,4
TOM FORD,Traceless Foundation Stick,Pearl,0.0,0.911764705882353,#FDE5D4,TRUE,0,5
Charlotte Tilbury,Magic Foundation,NA,0,0.731372549019608,#D9AE9C,TRUE,0,6
Bobbi Brown,Skin Weightless Powder Foundation,Porcelain,0,0.82156862745098,#F3C9B0,TRUE,0,7
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,NA,N00,0.831372549019608,#F5D8B3,TRUE,0,8
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.1,0.813725490196078,#F8CDA7,TRUE,0.1,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,0.1,0.909803921568627,#F9E4D7,TRUE,0.1,10
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,NA,P0.1,0.919607843137255,#F5E9E0,TRUE,0.1,11
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.1,0.756862745098039,#D4C2AE,TRUE,0.1,1
TOM FORD,Traceless Soft Matte Foundation,Cameo,0.1,0.847058823529412,#EED8C2,TRUE,0.1,3
TOM FORD,Traceless Foundation Stick,Cameo,0.1,0.884313725490196,#F5E2CE,TRUE,0.1,5
Smashbox,Primer + Foundation Customizable Set,Smashbox,0.1,0.8,#E9C9AF,TRUE,0.1,12
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.2,0.758823529411765,#F0BE93,TRUE,0.2,9
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,NA,P0.2,0.935294117647059,#F9EFE4,TRUE,0.2,11
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.2,0.774509803921569,#E1CDAA,TRUE,0.2,1
Smashbox,Primer + Foundation Customizable Set,Smashbox,0.2,0.743137254901961,#E4B697,TRUE,0.2,12
Clinique,Beyond Perfecting Powder Foundation + Concealer,Dune,0.25,0.917647058823529,#FBEED9,NA,0.25,NA
Ofra Cosmetics,Absolute Cover Foundation,NA,0.25,0.647058823529412,#C9AD81,TRUE,0.25,13
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.3,0.784313725490196,#F4C59C,TRUE,0.3,9
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,0.3,0.9,#F5E2D6,TRUE,0.3,10
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.3,0.688235294117647,#CDB392,TRUE,0.3,1
TOM FORD,Traceless Soft Matte Foundation,Ivory Silk,0.3,0.792156862745098,#E4CCB0,TRUE,0.3,3
TOM FORD,Traceless Foundation Stick,Ivory Silk,0.3,0.77843137254902,#EEC49F,TRUE,0.3,5
