entity,code,year,human_food,animal_feed,processed
Africa,NA,1961,33000,6000,14000
Africa,NA,1962,43000,7000,17000
Africa,NA,1963,31000,7000,5000
Africa,NA,1964,43000,6000,14000
Africa,NA,1965,34000,6000,12000
Africa,NA,1966,41000,6000,2000
Africa,NA,1967,47000,6000,4000
Africa,NA,1968,50000,7000,3000
Africa,NA,1969,52000,6000,6000
Africa,NA,1970,52000,6000,8000
Africa,NA,1971,60000,6000,2000
Africa,NA,1972,69000,7000,4000
Africa,NA,1973,70000,6000,16000
Africa,NA,1974,72000,7000,35000
Africa,NA,1975,77000,8000,30000
Africa,NA,1976,86000,9000,41000
Africa,NA,1977,89000,10000,83000
Africa,NA,1978,94000,11000,135000
Africa,NA,1979,93000,11000,194000
Africa,NA,1980,92000,12000,211000
Africa,NA,1981,103000,12000,213000
Africa,NA,1982,110000,12000,269000
Africa,NA,1983,74000,8000,270000
Africa,NA,1984,79000,8000,269000
Africa,NA,1985,94000,10000,290000
Africa,NA,1986,102000,11000,302000
Africa,NA,1987,140000,16000,333000
Africa,NA,1988,164000,19000,363000
Africa,NA,1989,295000,34000,352000
Africa,NA,1990,281000,26000,345000
Africa,NA,1991,192000,19000,402000
Africa,NA,1992,200000,20000,475000
Africa,NA,1993,185000,21000,506000
Africa,NA,1994,179000,22000,471000
Africa,NA,1995,294000,33000,597000
Africa,NA,1996,308000,36000,589000
Africa,NA,1997,344000,40000,642000
Africa,NA,1998,394000,45000,636000
Africa,NA,1999,418000,46000,765000
Africa,NA,2000,444000,47000,828000
Africa,NA,2001,453000,48000,996000
Africa,NA,2002,474000,51000,1172000
Africa,NA,2003,493000,85000,1209000
Africa,NA,2004,504000,139000,1039000
Africa,NA,2005,621000,95000,1596000
Africa,NA,2006,641000,109000,1534000
Africa,NA,2007,684000,91000,1807000
Africa,NA,2008,762000,97000,1943000
Africa,NA,2009,658000,89000,2161000
Africa,NA,2010,569000,72000,2586000
Africa,NA,2011,791000,102000,2670000
Africa,NA,2012,826000,121000,2949000
Africa,NA,2013,866000,127000,2948000
Albania,ALB,1961,0,NA,0
Albania,ALB,1962,0,NA,0
Albania,ALB,1963,0,NA,0
Albania,ALB,1964,0,NA,0
Albania,ALB,1965,0,NA,0
Albania,ALB,1966,0,NA,0
Albania,ALB,1967,0,NA,0
Albania,ALB,1968,0,NA,0
Albania,ALB,1969,0,NA,0
Albania,ALB,1970,0,NA,0
Albania,ALB,1971,0,NA,0
Albania,ALB,1972,0,NA,0
Albania,ALB,1973,0,NA,0
Albania,ALB,1974,0,NA,0
Albania,ALB,1975,0,NA,0
Albania,ALB,1976,0,NA,0
Albania,ALB,1977,0,NA,0
Albania,ALB,1978,0,NA,0
Albania,ALB,1979,0,NA,0
Albania,ALB,1980,0,NA,5000
Albania,ALB,1981,0,NA,6000
Albania,ALB,1982,0,NA,7000
Albania,ALB,1983,0,NA,6000
Albania,ALB,1984,0,NA,7000
Albania,ALB,1985,0,NA,7000
Albania,ALB,1986,0,NA,8000
Albania,ALB,1987,0,NA,5000
Albania,ALB,1988,0,NA,9000
Albania,ALB,1989,0,NA,11000
Albania,ALB,1990,0,NA,6000
Albania,ALB,1991,0,NA,2000
Albania,ALB,1992,0,NA,1000
Albania,ALB,1993,0,NA,1000
Albania,ALB,1994,0,NA,0
Albania,ALB,1995,0,NA,0
Albania,ALB,1996,0,NA,0
Albania,ALB,1997,0,NA,0
Albania,ALB,1998,0,NA,0
Albania,ALB,1999,0,NA,1000
Albania,ALB,2000,0,NA,1000
Albania,ALB,2001,0,NA,1000
Albania,ALB,2002,0,NA,0
Albania,ALB,2003,0,NA,0
Albania,ALB,2004,0,NA,1000
Albania,ALB,2005,0,NA,1000
Albania,ALB,2006,0,NA,0
Albania,ALB,2007,0,NA,0
Albania,ALB,2008,0,NA,1000
Albania,ALB,2009,0,NA,0
Albania,ALB,2010,0,NA,0
Albania,ALB,2011,0,NA,1000
Albania,ALB,2012,0,NA,0
Albania,ALB,2013,0,NA,0
Algeria,DZA,1961,0,0,NA
Algeria,DZA,1962,0,0,NA
Algeria,DZA,1963,0,0,NA
Algeria,DZA,1964,0,0,NA
Algeria,DZA,1965,0,0,NA
Algeria,DZA,1966,0,0,NA
Algeria,DZA,1967,0,0,NA
Algeria,DZA,1968,0,0,NA
Algeria,DZA,1969,0,0,NA
Algeria,DZA,1970,0,0,NA
Algeria,DZA,1971,0,0,NA
Algeria,DZA,1972,0,1000,NA
Algeria,DZA,1973,0,0,NA
Algeria,DZA,1974,0,0,NA
Algeria,DZA,1975,0,0,NA
Algeria,DZA,1976,0,0,NA
Algeria,DZA,1977,0,0,NA
Algeria,DZA,1978,0,0,NA
Algeria,DZA,1979,0,0,NA
Algeria,DZA,1980,0,0,NA
Algeria,DZA,1981,0,0,NA
Algeria,DZA,1982,0,0,NA
Algeria,DZA,1983,0,0,NA
Algeria,DZA,1984,0,0,NA
Algeria,DZA,1985,0,0,NA
Algeria,DZA,1986,0,0,NA
Algeria,DZA,1987,0,0,NA
Algeria,DZA,1988,0,0,NA
Algeria,DZA,1989,0,0,NA
Algeria,DZA,1990,0,0,NA
Algeria,DZA,1991,0,0,NA
Algeria,DZA,1992,0,0,NA
Algeria,DZA,1993,0,0,NA
Algeria,DZA,1994,0,0,NA
Algeria,DZA,1995,0,0,NA
Algeria,DZA,1996,0,0,NA
Algeria,DZA,1997,0,0,NA
Algeria,DZA,1998,0,0,NA
Algeria,DZA,1999,0,0,NA
