entity,code,year,crop_oil,production
Afghanistan,AFG,1961,Soybean,NA
Afghanistan,AFG,1961,Sesame,2253
Afghanistan,AFG,1961,Linseed,3531
Afghanistan,AFG,1961,Palm,NA
Afghanistan,AFG,1961,Rapeseed,NA
Afghanistan,AFG,1961,Groundnut,NA
Afghanistan,AFG,1961,Cottonseed,4997
Afghanistan,AFG,1961,Coconut (copra),NA
Afghanistan,AFG,1961,"Olive, virgin",82
Afghanistan,AFG,1961,Safflower,NA
Afghanistan,AFG,1961,Sunflower,2938
Afghanistan,AFG,1961,Maize,NA
Afghanistan,AFG,1961,Palm kernel,NA
Afghanistan,AFG,1962,Soybean,NA
Afghanistan,AFG,1962,Sesame,1876
Afghanistan,AFG,1962,Linseed,3701
Afghanistan,AFG,1962,Palm,NA
Afghanistan,AFG,1962,Rapeseed,NA
Afghanistan,AFG,1962,Groundnut,NA
Afghanistan,AFG,1962,Cottonseed,7716
Afghanistan,AFG,1962,Coconut (copra),NA
Afghanistan,AFG,1962,"Olive, virgin",90
Afghanistan,AFG,1962,Safflower,NA
Afghanistan,AFG,1962,Sunflower,3138
Afghanistan,AFG,1962,Maize,NA
Afghanistan,AFG,1962,Palm kernel,NA
Afghanistan,AFG,1963,Soybean,NA
Afghanistan,AFG,1963,Sesame,1831
Afghanistan,AFG,1963,Linseed,2857
Afghanistan,AFG,1963,Palm,NA
Afghanistan,AFG,1963,Rapeseed,NA
Afghanistan,AFG,1963,Groundnut,NA
Afghanistan,AFG,1963,Cottonseed,11742
Afghanistan,AFG,1963,Coconut (copra),NA
Afghanistan,AFG,1963,"Olive, virgin",82
Afghanistan,AFG,1963,Safflower,NA
Afghanistan,AFG,1963,Sunflower,3138
Afghanistan,AFG,1963,Maize,NA
Afghanistan,AFG,1963,Palm kernel,NA
Afghanistan,AFG,1964,Soybean,NA
Afghanistan,AFG,1964,Sesame,2722
Afghanistan,AFG,1964,Linseed,3377
Afghanistan,AFG,1964,Palm,NA
Afghanistan,AFG,1964,Rapeseed,NA
Afghanistan,AFG,1964,Groundnut,NA
Afghanistan,AFG,1964,Cottonseed,7960
Afghanistan,AFG,1964,Coconut (copra),NA
Afghanistan,AFG,1964,"Olive, virgin",90
Afghanistan,AFG,1964,Safflower,NA
Afghanistan,AFG,1964,Sunflower,3138
Afghanistan,AFG,1964,Maize,NA
Afghanistan,AFG,1964,Palm kernel,NA
Afghanistan,AFG,1965,Soybean,NA
Afghanistan,AFG,1965,Sesame,2821
Afghanistan,AFG,1965,Linseed,4327
Afghanistan,AFG,1965,Palm,NA
Afghanistan,AFG,1965,Rapeseed,NA
Afghanistan,AFG,1965,Groundnut,NA
Afghanistan,AFG,1965,Cottonseed,7926
Afghanistan,AFG,1965,Coconut (copra),NA
Afghanistan,AFG,1965,"Olive, virgin",82
Afghanistan,AFG,1965,Safflower,NA
Afghanistan,AFG,1965,Sunflower,3238
Afghanistan,AFG,1965,Maize,NA
Afghanistan,AFG,1965,Palm kernel,NA
Afghanistan,AFG,1966,Soybean,NA
Afghanistan,AFG,1966,Sesame,3149
Afghanistan,AFG,1966,Linseed,4984
Afghanistan,AFG,1966,Palm,NA
Afghanistan,AFG,1966,Rapeseed,NA
Afghanistan,AFG,1966,Groundnut,NA
Afghanistan,AFG,1966,Cottonseed,6453
Afghanistan,AFG,1966,Coconut (copra),NA
Afghanistan,AFG,1966,"Olive, virgin",90
Afghanistan,AFG,1966,Safflower,NA
Afghanistan,AFG,1966,Sunflower,3438
Afghanistan,AFG,1966,Maize,NA
Afghanistan,AFG,1966,Palm kernel,NA
Afghanistan,AFG,1967,Soybean,NA
Afghanistan,AFG,1967,Sesame,3351
Afghanistan,AFG,1967,Linseed,4962
Afghanistan,AFG,1967,Palm,NA
Afghanistan,AFG,1967,Rapeseed,NA
Afghanistan,AFG,1967,Groundnut,NA
Afghanistan,AFG,1967,Cottonseed,7574
Afghanistan,AFG,1967,Coconut (copra),NA
Afghanistan,AFG,1967,"Olive, virgin",82
Afghanistan,AFG,1967,Safflower,NA
Afghanistan,AFG,1967,Sunflower,3439
Afghanistan,AFG,1967,Maize,NA
Afghanistan,AFG,1967,Palm kernel,NA
Afghanistan,AFG,1968,Soybean,NA
Afghanistan,AFG,1968,Sesame,3579
Afghanistan,AFG,1968,Linseed,2510
Afghanistan,AFG,1968,Palm,NA
Afghanistan,AFG,1968,Rapeseed,NA
Afghanistan,AFG,1968,Groundnut,NA
Afghanistan,AFG,1968,Cottonseed,5625
Afghanistan,AFG,1968,Coconut (copra),NA
Afghanistan,AFG,1968,"Olive, virgin",98
Afghanistan,AFG,1968,Safflower,NA
Afghanistan,AFG,1968,Sunflower,3538
Afghanistan,AFG,1968,Maize,NA
Afghanistan,AFG,1968,Palm kernel,NA
Afghanistan,AFG,1969,Soybean,NA
Afghanistan,AFG,1969,Sesame,3374
Afghanistan,AFG,1969,Linseed,3014
Afghanistan,AFG,1969,Palm,NA
Afghanistan,AFG,1969,Rapeseed,NA
Afghanistan,AFG,1969,Groundnut,NA
Afghanistan,AFG,1969,Cottonseed,7452
Afghanistan,AFG,1969,Coconut (copra),NA
Afghanistan,AFG,1969,"Olive, virgin",82
Afghanistan,AFG,1969,Safflower,NA
Afghanistan,AFG,1969,Sunflower,3638
Afghanistan,AFG,1969,Maize,NA
Afghanistan,AFG,1969,Palm kernel,NA
