season_name,season,episode,title,day,challenge_type,winners,winning_tribe
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Amber,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Tyson,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Sandra,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Yul,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Wendell,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Sophie,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Kim,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Nick,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Sarah,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,reward,Tony,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Amber,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Tyson,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Sandra,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Yul,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Wendell,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Sophie,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Kim,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Nick,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Sarah,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,2,immunity,Tony,Dakal
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Danni,Sele
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Ethan,Sele
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Rob,Sele
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Parvati,Sele
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Adam,Sele
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Jeremy,Sele
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Denise,Sele
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Ben,Sele
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Michele,Sele
Survivor: Winners at War,40,1,Greatest of the Greats,3,immunity,Natalie,Sele
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,reward,Tyson,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,reward,Sandra,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,reward,Yul,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,reward,Wendell,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,reward,Sophie,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,reward,Kim,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,reward,Nick,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,reward,Sarah,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,reward,Tony,Dakal
