SID,YEAR,MONTH,DAY,LAKE,STATE_PROV,SITE,ST_SITE,LATITUDE,LONGITUDE,GRID,STAT_DIST,LS_MGMT,SPECIES,STRAIN,NO_STOCKED,YEAR_CLASS,STAGE,AGEMONTH,MARK,MARK_EFF,TAG_NO,TAG_RET,LENGTH,WEIGHT,CONDITION,LOT_CODE,STOCK_METH,AGENCY,VALIDATION,NOTES
1,1950,,,MI,ON,PIE ISL-THUNDER CAPE,PIE,,,519,OS1,,LAT,,49888,1950,ff,,ADRP,99.9,,99.9,999.99,,0,xxx,u,OMNR,5,
2,1952,4,29,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,102097,1951,y,,RP,,,,,816.78,0,AI-51W-BAY,u,WIDNR,5,
3,1952,9,23,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,145000,1952,ff,,LP,,,,,870,0,AI-52W-BAY,u,WIDNR,5,
4,1952,,,SU,MI,LAUGHING FISH PT,LAUGHING FISH,,,1531,MS4,MI5,LAT,,65366,1952,ff,,ADRV,,,,,588.29,0,,u,USFWS,5,
5,1953,5,27,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,80137,1952,y,,RP,,,,,1442.47,0,AI-52W-BAY,u,WIDNR,5,
6,1953,10,10,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,132980,1953,ff,,LP,,,,,664.9,0,AI-53W-BAY,u,WIDNR,5,
7,1953,,,SU,MI,LAUGHING FISH PT,LAUGHING FISH,,,1531,MS4,MI5,LAT,,69439,1952,y,,ADLV,,,,,902.71,0,,u,USFWS,5,
8,1953,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,139073,1953,ff,,ADRV,,,,,695.37,0,,u,USFWS,5,
9,1953,,,SU,ON,PIE ISL-THUNDER CAPE,PIE,,,519,OS1,,LAT,,49915,1953,ff,,ADLP,,,,,,0,,b,OMNR,5,
10,1954,6,8,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,102016,1953,y,,RP,,,,,612.1,0,AI-53W-BAY,u,WIDNR,5,
11,1954,10,15,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,142323,1954,ff,,ADRV,,,,,1280.91,0,AI-54W-BAY,u,WIDNR,5,
12,1954,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,121296,1954,ff,,ADRV,,,,,970.37,0,,u,USFWS,5,
13,1954,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,134318,1953,y,,ADLV,,,,,1208.86,0,,u,USFWS,5,
14,1955,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,102794,1954,y,,ADLV,,,,,2569.85,0,AI-54W-BAY,u,WIDNR,5,
15,1955,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,60744,1954,y,,ADLV,,,,,1214.88,0,,u,USFWS,5,
16,1956,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,200731,1955,y,,RP,,,,,5018.28,0,AI-55W-BAY,u,WIDNR,5,
17,1958,4,21,SU,ON,DOG RIVER,DOG,,,742,OS6,,LAT,,5000,1956,a,24,ADRV,,,,,,0,SUP(DOG)56W-TAR,u,OMNR,5,
18,1958,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,183964,1957,y,,RP,,,,,3679.28,0,AI-57W-BAY,u,WIDNR,5,
19,1958,,,SU,MI,GRAND MARAIS,GRAND MARAIS,,,1438,MS5,MI7,LAT,,80020,1957,y,,LP,,,,,960.24,0,SUP(IR)57W-PC,u,USFWS,5,
20,1958,,,SU,ON,LIZZARD ISL,LIZZARD,,,1045,OS7,,LAT,,250000,1957,y,,AD,,,,,500,0,IL(ONT)57W-TAR,b,OMNR,5,
21,1958,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,60033,1957,y,,LV,,,,,780.43,0,MQ(SUP)57D-PC,u,USFWS,5,
22,1958,,,SU,MI,MUNISING,MUNISING,,,1634,MS4,MI6,LAT,,119975,1957,y,,LP,,,,,1559.68,0,SUP(IR)57W-PC,u,USFWS,5,
23,1958,,,SU,ON,NIPIGON BAY,NIPIGON,,,124,OS3,,LAT,,287870,1957,y,,AD,,,,,3742.31,0,IL(ONT)57W-DOR,u,OMNR,5,
24,1958,,,SU,MI,PARADISE,PARADISE,,,1544,MS6,MI8,LAT,,24250,1957,y,,LP,,,,,436.5,0,SUP(IR)57W-PC,u,USFWS,5,
25,1958,,,SU,MI,PENDILLS BAY,PENDILLS,,,1645,MS6,MI8,LAT,,13870,1957,y,,LP,,,,,485.45,0,SUP(IR)57W-PC,u,USFWS,5,
26,1959,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,75524,1958,y,,RMRP,,,,,1586,0,AI-58W-BAY,b,WIDNR,5,
27,1959,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,75536,1958,y,16,ADRP,,,,,1586.26,0,AI-58W-BAY,u,WIDNR,5,
28,1959,,,SU,MI,BARAGA,BARAGA,,,1423,MS3,MI4,LAT,,5573,1957,a,26,ADLP,,,,,356.67,0,MQ(SUP)57D-PC,u,USFWS,5,
29,1959,,,SU,MI,BARAGA,BARAGA,,,1423,MS3,MI4,LAT,,21580,1957,a,26,ADLP,,,,,1381.12,0,MQ(SUP)57W-PC,u,USFWS,5,
30,1959,,,SU,ON,LIZZARD ISL,LIZZARD,,,1045,OS7,,LAT,,216000,1958,y,15,LV,,,,,864,0,IL(MAN)58W-TAR,b,OMNR,5,
31,1959,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,2452,1956,a,29,ADLV,,,,,223.13,0,MQ(SUP)56D-PC,u,USFWS,5,
32,1959,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,2888,1956,a,40,RV,,,,,727.78,0,MQ-56D-MQ-PC,u,USFWS,5,
33,1959,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,10972,1958,y,,ADLV,,,,,,0,MQ(SUP)57D-PC,u,USFWS,5,
34,1959,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,256590,1958,y,,RV,,,,,3592.26,0,IL(ONT)58W-DOR,u,OMNR,5,
35,1960,7,15,SU,ON,PIE ISL,PIE,,,519,OS1,,LAT,,50250,1960,ff,3,RPLV,,,,,100.5,0,IL(BT)60W-PA,b,OMNR,5,
36,1960,11,13,MI,MI,CHARLEVOIX,CHARLEVOIX,,,616,MM3,,LAT,,24543,1960,ff,10,LP,,,,,196.34,0,SPOK(CW)60D-CX,u,USFWS,5,
37,1960,,,MI,MI,FOX ISLAND AREA,,,,514,MM3,,LAT,,88235,1959,y,16,RV,,,,,2382.35,0,SPOK(CW)59D-CX,b,USFWS,5,
38,1960,,,SU,ON,AGAWA RIVER,AGAWA,,,1045,OS7,,LAT,,65000,1959,y,,ADLP,,,,,,0,IL(MAN)59W-TAR,u,OMNR,5,
39,1960,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,49400,1960,ff,8,DO,,,,,345.8,0,IL(GRN)60W-ST.CR.,u,WIDNR,5,
40,1960,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,161350,1959,y,16,LP,,,,,3711.05,0,AI-59W-BAY,u,WIDNR,5,
41,1960,,,SU,MI,BARAGA,BARAGA,,,1423,MS3,MI4,LAT,,128778,1959,y,15,ADLV,,,,,1802.89,0,IL(MICH)59W-CX-PC,u,USFWS,5,
42,1960,,,SU,MI,BARAGA,BARAGA,,,1423,MS3,MI4,LAT,,131702,1959,y,,ADRV,,,,,1843.83,0,IL(MICH)59W-CX-PC,u,USFWS,5,
43,1960,,,SU,MI,MUNISING,MUNISING,,,1634,MS4,MI6,LAT,,132628,1959,y,16,ADBV,,,,,3050.44,0,MQ-59D-CX-PC,u,USFWS,5,
44,1960,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,23990,1959,y,14,RP,,,,,455.81,0,IL(NIP)59W-PA-DOR,u,OMNR,5,13-14 months of age
45,1960,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,32190,1959,y,14,RP,,,,,611.61,0,IL(SIM)59W-PA-DOR,u,OMNR,5,13-14 months of age
46,1960,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,37905,1959,y,14,RP,,,,,720.2,0,IL(LL)59W-PA-DOR,u,OMNR,5,13-14 months of age
47,1960,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,38840,1959,y,14,RP,,,,,737.96,0,IL(MAN)59W-PA-DOR,u,OMNR,5,13-14 months of age
48,1960,,,SU,ON,SAND RIVER,SAND,,,1045,OS7,,LAT,,65000,1959,y,,ADLP,,,,,,0,IL(MAN)59W-TAR,u,OMNR,5,
49,1960,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,23990,1959,y,14,RP,,,,,455.81,0,IL(NIP059W-PA-DOR,b,OMNR,5,13-14 months of age
50,1960,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,32190,1959,y,14,RP,,,,,611.61,0,IL(SIM)59W-PA-DOR,b,OMNR,5,13-14 months of age
51,1960,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,37905,1959,y,14,RP,,,,,720.2,0,IL(LL)59W-PA-DOR,b,OMNR,5,13-14 months of age
