map_date,state_abb,valid_start,valid_end,stat_fmt,drought_lvl,area_pct,area_total,pop_pct,pop_total
20210713,AK,2021-07-13,2021-07-19,2,None,74.35,433133.18,33.91,240644.16
20210713,AK,2021-07-13,2021-07-19,2,D0,25.65,149435.11000000002,66.09,468985.83999999997
20210713,AK,2021-07-13,2021-07-19,2,D1,0,0,0,0
20210713,AK,2021-07-13,2021-07-19,2,D2,0,0,0,0
20210713,AK,2021-07-13,2021-07-19,2,D3,0,0,0,0
20210713,AK,2021-07-13,2021-07-19,2,D4,0,0,0,0
20210706,AK,2021-07-06,2021-07-12,2,None,74.35,433133.18,33.91,240644.16
20210706,AK,2021-07-06,2021-07-12,2,D0,25.65,149435.11000000002,66.09,468985.83999999997
20210706,AK,2021-07-06,2021-07-12,2,D1,0,0,0,0
20210706,AK,2021-07-06,2021-07-12,2,D2,0,0,0,0
20210706,AK,2021-07-06,2021-07-12,2,D3,0,0,0,0
20210706,AK,2021-07-06,2021-07-12,2,D4,0,0,0,0
20210629,AK,2021-06-29,2021-07-05,2,None,85.92,500539.66,98.96,702217.65
20210629,AK,2021-06-29,2021-07-05,2,D0,14.08,82028.63,1.04,7412.34
20210629,AK,2021-06-29,2021-07-05,2,D1,0,0,0,0
20210629,AK,2021-06-29,2021-07-05,2,D2,0,0,0,0
20210629,AK,2021-06-29,2021-07-05,2,D3,0,0,0,0
20210629,AK,2021-06-29,2021-07-05,2,D4,0,0,0,0
20210622,AK,2021-06-22,2021-06-28,2,None,85.92,500539.66,98.96,702217.65
20210622,AK,2021-06-22,2021-06-28,2,D0,14.08,82028.63,1.04,7412.34
20210622,AK,2021-06-22,2021-06-28,2,D1,0,0,0,0
20210622,AK,2021-06-22,2021-06-28,2,D2,0,0,0,0
20210622,AK,2021-06-22,2021-06-28,2,D3,0,0,0,0
20210622,AK,2021-06-22,2021-06-28,2,D4,0,0,0,0
20210615,AK,2021-06-15,2021-06-21,2,None,85.92,500539.66,98.96,702217.65
20210615,AK,2021-06-15,2021-06-21,2,D0,14.08,82028.63,1.04,7412.34
20210615,AK,2021-06-15,2021-06-21,2,D1,0,0,0,0
20210615,AK,2021-06-15,2021-06-21,2,D2,0,0,0,0
20210615,AK,2021-06-15,2021-06-21,2,D3,0,0,0,0
20210615,AK,2021-06-15,2021-06-21,2,D4,0,0,0,0
20210608,AK,2021-06-08,2021-06-14,2,None,85.92,500539.66,98.96,702217.65
20210608,AK,2021-06-08,2021-06-14,2,D0,14.08,82028.63,1.04,7412.34
20210608,AK,2021-06-08,2021-06-14,2,D1,0,0,0,0
20210608,AK,2021-06-08,2021-06-14,2,D2,0,0,0,0
20210608,AK,2021-06-08,2021-06-14,2,D3,0,0,0,0
20210608,AK,2021-06-08,2021-06-14,2,D4,0,0,0,0
20210601,AK,2021-06-01,2021-06-07,2,None,79.3,461993.45,98.6,699664.7699999999
20210601,AK,2021-06-01,2021-06-07,2,D0,20.7,120574.84,1.4,9965.220000000001
20210601,AK,2021-06-01,2021-06-07,2,D1,0,0,0,0
20210601,AK,2021-06-01,2021-06-07,2,D2,0,0,0,0
20210601,AK,2021-06-01,2021-06-07,2,D3,0,0,0,0
20210601,AK,2021-06-01,2021-06-07,2,D4,0,0,0,0
20210525,AK,2021-05-25,2021-05-31,2,None,79.3,461993.45,98.6,699664.7699999999
20210525,AK,2021-05-25,2021-05-31,2,D0,20.7,120574.84,1.4,9965.220000000001
20210525,AK,2021-05-25,2021-05-31,2,D1,0,0,0,0
20210525,AK,2021-05-25,2021-05-31,2,D2,0,0,0,0
20210525,AK,2021-05-25,2021-05-31,2,D3,0,0,0,0
20210525,AK,2021-05-25,2021-05-31,2,D4,0,0,0,0
20210518,AK,2021-05-18,2021-05-24,2,None,79.3,461993.45,98.6,699664.7699999999
20210518,AK,2021-05-18,2021-05-24,2,D0,20.7,120574.84,1.4,9965.220000000001
20210518,AK,2021-05-18,2021-05-24,2,D1,0,0,0,0
20210518,AK,2021-05-18,2021-05-24,2,D2,0,0,0,0
20210518,AK,2021-05-18,2021-05-24,2,D3,0,0,0,0
20210518,AK,2021-05-18,2021-05-24,2,D4,0,0,0,0
20210511,AK,2021-05-11,2021-05-17,2,None,79.3,461993.45,98.6,699664.7699999999
20210511,AK,2021-05-11,2021-05-17,2,D0,20.7,120574.84,1.4,9965.220000000001
20210511,AK,2021-05-11,2021-05-17,2,D1,0,0,0,0
20210511,AK,2021-05-11,2021-05-17,2,D2,0,0,0,0
