gender,event,medal,athlete,abb,country,grp_id,type,year,guide
Men,Double FITA Round Amputee,Gold,LARSEN Finn,DEN,NA,NA,Archery,1980,NA
Men,Double FITA Round Amputee,Silver,BRENNE Manfred,FRG,NA,NA,Archery,1980,NA
Men,Double FITA Round Amputee,Bronze,SATO Masao,JPN,NA,NA,Archery,1980,NA
Men,Double FITA Round Paraplegic,Gold,GEISS H.,FRG,NA,NA,Archery,1980,NA
Men,Double FITA Round Paraplegic,Silver,GRUN Guy,BEL,NA,NA,Archery,1980,NA
Men,Double FITA Round Paraplegic,Bronze,BUCHANAN J.,GBR,NA,NA,Archery,1980,NA
Men,Double FITA Round Tetraplegic,Gold,PARKER T.,CAN,NA,NA,Archery,1980,NA
Men,Double FITA Round Tetraplegic,Silver,STEBEKK Oddbjorn,NOR,NA,NA,Archery,1980,NA
Men,Double FITA Round Tetraplegic,Bronze,LAFONT G.,FRA,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Paraplegic,Gold,CHAVEZ Alfredo,MEX,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Paraplegic,Silver,WALSTRA Jappie,NED,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,NED,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Tetraplegic,Gold,KARKAINEN K.,FIN,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Tetraplegic,Silver,KISHINO Tadashi,JPN,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,NA,NA,Archery,1980,NA
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,NA,NA,Archery,1980,NA
Men,Short Metric Round Paraplegic,Silver,ZEISE L.,USA,NA,NA,Archery,1980,NA
Men,Short Metric Round Paraplegic,Bronze,THION J.,FRA,NA,NA,Archery,1980,NA
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,FRG,NA,NA,Archery,1980,NA
Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,NA,NA,Archery,1980,NA
Men,Short Metric Round Tetraplegic,Bronze,KRISTIANSEN Svein,NOR,NA,NA,Archery,1980,NA
Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,KOR,NA,NA,Archery,1980,NA
Men,Advanced Metric Round Paraplegic,Silver,PETSCHNIG M.,AUT,NA,NA,Archery,1980,NA
Men,Advanced Metric Round Paraplegic,Bronze,LETTNER Felix,AUT,NA,NA,Archery,1980,NA
Women,Double FITA Round Amputee,Gold,ROSVIK Marie,NOR,NA,NA,Archery,1980,NA
Women,Double FITA Round Amputee,Silver,KWIECINSKA Ewa,POL,NA,NA,Archery,1980,NA
Women,Double FITA Round Amputee,Bronze,HYBOIS Marie-Francoise,FRA,NA,NA,Archery,1980,NA
Women,Double FITA Round Paraplegic,Gold,FAIRHALL Neroli,NZL,NA,NA,Archery,1980,NA
Women,Double FITA Round Paraplegic,Silver,KORVA Elli,FIN,NA,NA,Archery,1980,NA
Women,Double FITA Round Paraplegic,Bronze,DERSEN Anneliese,FRG,NA,NA,Archery,1980,NA
Women,Double FITA Round Novice Paraplegic,Gold,OHMAE Chiyoko,JPN,NA,NA,Archery,1980,NA
