category,meta_cat,group_num,year,gross_inv_ipd
GDP,GDP,0,1947,12.25
GDP,GDP,0,1948,12.946
GDP,GDP,0,1949,12.942
GDP,GDP,0,1950,13.064
GDP,GDP,0,1951,13.95
GDP,GDP,0,1952,14.254
GDP,GDP,0,1953,14.436
GDP,GDP,0,1954,14.583
GDP,GDP,0,1955,14.79
GDP,GDP,0,1956,15.296
GDP,GDP,0,1957,15.831
GDP,GDP,0,1958,16.199
GDP,GDP,0,1959,16.412
GDP,GDP,0,1960,16.637
GDP,GDP,0,1961,16.814
GDP,GDP,0,1962,17.019
GDP,GDP,0,1963,17.214
GDP,GDP,0,1964,17.476
GDP,GDP,0,1965,17.796
GDP,GDP,0,1966,18.295
GDP,GDP,0,1967,18.825
GDP,GDP,0,1968,19.627
GDP,GDP,0,1969,20.59
GDP,GDP,0,1970,21.676
GDP,GDP,0,1971,22.776
GDP,GDP,0,1972,23.76
GDP,GDP,0,1973,25.061
GDP,GDP,0,1974,27.309
GDP,GDP,0,1975,29.846
GDP,GDP,0,1976,31.49
GDP,GDP,0,1977,33.445
GDP,GDP,0,1978,35.798
GDP,GDP,0,1979,38.766
GDP,GDP,0,1980,42.278
GDP,GDP,0,1981,46.269
GDP,GDP,0,1982,49.13
GDP,GDP,0,1983,51.051
GDP,GDP,0,1984,52.894
GDP,GDP,0,1985,54.568
GDP,GDP,0,1986,55.673
GDP,GDP,0,1987,57.041
GDP,GDP,0,1988,59.055
GDP,GDP,0,1989,61.37
GDP,GDP,0,1990,63.676
GDP,GDP,0,1991,65.819
GDP,GDP,0,1992,67.321
GDP,GDP,0,1993,68.917
GDP,GDP,0,1994,70.386
GDP,GDP,0,1995,71.864
GDP,GDP,0,1996,73.178
GDP,GDP,0,1997,74.446
GDP,GDP,0,1998,75.267
GDP,GDP,0,1999,76.346
GDP,GDP,0,2000,78.069
GDP,GDP,0,2001,79.822
GDP,GDP,0,2002,81.039
GDP,GDP,0,2003,82.567
GDP,GDP,0,2004,84.778
GDP,GDP,0,2005,87.407
GDP,GDP,0,2006,90.074
GDP,GDP,0,2007,92.498
GDP,GDP,0,2008,94.264
GDP,GDP,0,2009,94.999
GDP,GDP,0,2010,96.109
GDP,GDP,0,2011,98.112
GDP,GDP,0,2012,100
GDP,GDP,0,2013,101.773
GDP,GDP,0,2014,103.647
GDP,GDP,0,2015,104.688
GDP,GDP,0,2016,105.77
GDP,GDP,0,2017,107.795
Basic,Infrastructure,1,1947,6.788695168896333
Basic,Infrastructure,1,1948,7.794888647683789
Basic,Infrastructure,1,1949,7.702739059077496
Basic,Infrastructure,1,1950,7.664777082885219
Basic,Infrastructure,1,1951,8.762808833064959
Basic,Infrastructure,1,1952,9.049034058710353
Basic,Infrastructure,1,1953,9.162513097251502
Basic,Infrastructure,1,1954,9.00051314505246
Basic,Infrastructure,1,1955,8.957390872602392
Basic,Infrastructure,1,1956,9.96974617769564
Basic,Infrastructure,1,1957,10.545988548684
Basic,Infrastructure,1,1958,10.193845330912975
Basic,Infrastructure,1,1959,10.180870980425134
Basic,Infrastructure,1,1960,10.113968890709447
Basic,Infrastructure,1,1961,9.971887213785541
Basic,Infrastructure,1,1962,10.075086974914484
Basic,Infrastructure,1,1963,10.165243225290528
Basic,Infrastructure,1,1964,10.327190881007434
Basic,Infrastructure,1,1965,10.634256134231675
Basic,Infrastructure,1,1966,11.0862238929097
Basic,Infrastructure,1,1967,11.468160724074341
Basic,Infrastructure,1,1968,11.96801092804716
Basic,Infrastructure,1,1969,12.719791765751209
Basic,Infrastructure,1,1970,13.838390472589706
Basic,Infrastructure,1,1971,14.869596895489678
Basic,Infrastructure,1,1972,15.70219558281776
Basic,Infrastructure,1,1973,16.966041357774607
Basic,Infrastructure,1,1974,20.406366197654254
Basic,Infrastructure,1,1975,22.98930542959624
Basic,Infrastructure,1,1976,23.809528246264453
Basic,Infrastructure,1,1977,25.23606353597372
Basic,Infrastructure,1,1978,26.329947152505845
Basic,Infrastructure,1,1979,28.441621306100895
Basic,Infrastructure,1,1980,32.03847313225702
Basic,Infrastructure,1,1981,36.07832220364563
Basic,Infrastructure,1,1982,38.68581364582203
Basic,Infrastructure,1,1983,39.33827970065475
Basic,Infrastructure,1,1984,39.33451283127663
Basic,Infrastructure,1,1985,39.61522492584169
Basic,Infrastructure,1,1986,40.208959764706464
Basic,Infrastructure,1,1987,41.61174763030562
Basic,Infrastructure,1,1988,42.60380862365135
Basic,Infrastructure,1,1989,43.94242766561545
Basic,Infrastructure,1,1990,45.34021889643026
Basic,Infrastructure,1,1991,45.896821583296195
Basic,Infrastructure,1,1992,46.130282898732254
Basic,Infrastructure,1,1993,46.955359686635575
Basic,Infrastructure,1,1994,48.13318164099602
Basic,Infrastructure,1,1995,50.26440875210615
Basic,Infrastructure,1,1996,52.06806242980423
Basic,Infrastructure,1,1997,53.755467585438
Basic,Infrastructure,1,1998,54.60301564878948
Basic,Infrastructure,1,1999,56.08652729769671
Basic,Infrastructure,1,2000,58.63294377269358
Basic,Infrastructure,1,2001,60.093939863530046
Basic,Infrastructure,1,2002,61.18073862982553
Basic,Infrastructure,1,2003,62.313871639038375
Basic,Infrastructure,1,2004,65.28445213717004
Basic,Infrastructure,1,2005,71.4328583149301
Basic,Infrastructure,1,2006,77.2688072095227
Basic,Infrastructure,1,2007,83.53946504181907
Basic,Infrastructure,1,2008,89.42894923888747
Basic,Infrastructure,1,2009,89.57415174661875
Basic,Infrastructure,1,2010,91.70404199015266
Basic,Infrastructure,1,2011,96.0141654144338
Basic,Infrastructure,1,2012,100.00033289579726
Basic,Infrastructure,1,2013,101.49212734037954
Basic,Infrastructure,1,2014,102.7988608843136
Basic,Infrastructure,1,2015,103.55428842743012
Basic,Infrastructure,1,2016,103.57600107068257
Basic,Infrastructure,1,2017,106.58245837165087
Social,Infrastructure,1,1947,7.619516663122752
Social,Infrastructure,1,1948,8.003899385521944
Social,Infrastructure,1,1949,7.721812224360687
Social,Infrastructure,1,1950,7.656022173253672
Social,Infrastructure,1,1951,8.542596305995541
Social,Infrastructure,1,1952,8.675475859214714
Social,Infrastructure,1,1953,8.583466224541604
Social,Infrastructure,1,1954,8.269110865440286
Social,Infrastructure,1,1955,8.425252562456466
Social,Infrastructure,1,1956,9.17094811697071
Social,Infrastructure,1,1957,9.591258016005767
Social,Infrastructure,1,1958,9.334643814829446
Social,Infrastructure,1,1959,9.765377280344094
Social,Infrastructure,1,1960,9.852742174928393
Social,Infrastructure,1,1961,9.864903033881559
Social,Infrastructure,1,1962,10.044219859160867
Social,Infrastructure,1,1963,10.138793083830992
Social,Infrastructure,1,1964,10.32734516863642
Social,Infrastructure,1,1965,10.585843898732874
Social,Infrastructure,1,1966,10.854759005553454
Social,Infrastructure,1,1967,11.214846847924845
Social,Infrastructure,1,1968,11.751297329234868
Social,Infrastructure,1,1969,13.019408755377427
Social,Infrastructure,1,1970,14.178554018976234
Social,Infrastructure,1,1971,15.596541430242446
Social,Infrastructure,1,1972,16.80287739219838
Social,Infrastructure,1,1973,18.151979786111756
Social,Infrastructure,1,1974,20.425446479334617
Social,Infrastructure,1,1975,22.824591480523463
Social,Infrastructure,1,1976,24.105787679831
Social,Infrastructure,1,1977,26.31767043461386
Social,Infrastructure,1,1978,29.079876991038578
Social,Infrastructure,1,1979,32.11637218838715
Social,Infrastructure,1,1980,35.40904125695326
Social,Infrastructure,1,1981,39.47440991571571
Social,Infrastructure,1,1982,43.15922953416474
Social,Infrastructure,1,1983,44.93135457642015
Social,Infrastructure,1,1984,46.802091676035
Social,Infrastructure,1,1985,47.6729989727663
Social,Infrastructure,1,1986,48.98168282253016
Social,Infrastructure,1,1987,50.61604261922987
Social,Infrastructure,1,1988,52.43460697944269
Social,Infrastructure,1,1989,53.99587883505272
Social,Infrastructure,1,1990,55.805616590273964
Social,Infrastructure,1,1991,56.33467734323618
Social,Infrastructure,1,1992,57.161922967885104
Social,Infrastructure,1,1993,59.83018752231766
Social,Infrastructure,1,1994,61.2951790997772
Social,Infrastructure,1,1995,62.20970421216635
