Entity,Code,Year,Aquaculture production (metric tons),Capture fisheries production (metric tons)
Afghanistan,AFG,1969,60,400
Afghanistan,AFG,1970,60,400
Afghanistan,AFG,1971,60,500
Afghanistan,AFG,1972,60,500
Afghanistan,AFG,1973,60,500
Afghanistan,AFG,1974,60,500
Afghanistan,AFG,1975,60,600
Afghanistan,AFG,1976,170,600
Afghanistan,AFG,1977,170,600
Afghanistan,AFG,1978,170,600
Afghanistan,AFG,1979,170,600
Afghanistan,AFG,1980,170,700
Afghanistan,AFG,1981,170,700
Afghanistan,AFG,1982,170,700
Afghanistan,AFG,1983,170,800
Afghanistan,AFG,1984,170,800
Afghanistan,AFG,1985,170,800
Afghanistan,AFG,1986,170,800
Afghanistan,AFG,1987,170,1000
Afghanistan,AFG,1988,170,1000
Afghanistan,AFG,1989,170,1000
Afghanistan,AFG,1990,300,1100
Afghanistan,AFG,1991,300,1100
Afghanistan,AFG,1992,300,1200
Afghanistan,AFG,1993,300,1200
Afghanistan,AFG,1994,300,1300
Afghanistan,AFG,1995,300,1300
Afghanistan,AFG,1996,300,1300
Afghanistan,AFG,1997,300,1250
Afghanistan,AFG,1998,300,1200
Afghanistan,AFG,1999,300,1200
Afghanistan,AFG,2000,300,1000
Afghanistan,AFG,2001,450,800
Afghanistan,AFG,2002,450,900
Afghanistan,AFG,2003,450,900
Afghanistan,AFG,2004,450,1000
Afghanistan,AFG,2005,450,1000
Afghanistan,AFG,2006,450,1000
Afghanistan,AFG,2007,1050,1000
Afghanistan,AFG,2008,1050,1000
Afghanistan,AFG,2009,1650,1000
Afghanistan,AFG,2010,2250,1000
Afghanistan,AFG,2011,2850,1150
Afghanistan,AFG,2012,3480,1300
Afghanistan,AFG,2013,4110,1450
Afghanistan,AFG,2014,4760,1600
Afghanistan,AFG,2015,5450,1750
Afghanistan,AFG,2016,6150,1900
Afghanistan,AFG,2017,7000,2000
Afghanistan,AFG,2018,7950,2050
Afghanistan,AFG,1960,,200
Afghanistan,AFG,1961,,300
Afghanistan,AFG,1962,,300
Afghanistan,AFG,1963,,300
Afghanistan,AFG,1964,,300
Afghanistan,AFG,1965,,300
Afghanistan,AFG,1966,,300
Afghanistan,AFG,1967,,400
Afghanistan,AFG,1968,,400
Africa Eastern and Southern,,1960,380,1485740
Africa Eastern and Southern,,1961,410,1632169
Africa Eastern and Southern,,1962,360,1735664
Africa Eastern and Southern,,1963,380,1848486
Africa Eastern and Southern,,1964,430,2164132
Africa Eastern and Southern,,1965,399,2174850
Africa Eastern and Southern,,1966,370,2275269
Africa Eastern and Southern,,1967,360,2633940
Africa Eastern and Southern,,1968,317,3159759
Africa Eastern and Southern,,1969,293,3078461
Africa Eastern and Southern,,1970,240,2483310
Africa Eastern and Southern,,1971,220,2361343
Africa Eastern and Southern,,1972,172,2629211
Africa Eastern and Southern,,1973,192,2784031
Africa Eastern and Southern,,1974,203,2735580
Africa Eastern and Southern,,1975,219,2487936
Africa Eastern and Southern,,1976,247,2204942
Africa Eastern and Southern,,1977,261,2161409
Africa Eastern and Southern,,1978,334,2124728
Africa Eastern and Southern,,1979,402,2022710
Africa Eastern and Southern,,1980,460,1877374
Africa Eastern and Southern,,1981,533,1935167
Africa Eastern and Southern,,1982,677,1947033
Africa Eastern and Southern,,1983,939,2056780
Africa Eastern and Southern,,1984,1605,1970145
Africa Eastern and Southern,,1985,2188,2026207
Africa Eastern and Southern,,1986,3204,2107686
Africa Eastern and Southern,,1987,4012,2873441
Africa Eastern and Southern,,1988,4776,2835836.3125
Africa Eastern and Southern,,1989,7349,2396259.03125
Africa Eastern and Southern,,1990,9727,2446784.1875
Africa Eastern and Southern,,1991,11788,2217643.75
Africa Eastern and Southern,,1992,14842,2929005.3125
Africa Eastern and Southern,,1993,15150,2989707.34375
Africa Eastern and Southern,,1994,16882,2736549.0625
Africa Eastern and Southern,,1995,17755,2732716.75
Africa Eastern and Southern,,1996,17666,2472751.13125
Africa Eastern and Southern,,1997,22692,2658550.84375
Africa Eastern and Southern,,1998,19730,2809141.38439941
Africa Eastern and Southern,,1999,22207,2923595.94042969
Africa Eastern and Southern,,2000,24349,3167627.90625
Africa Eastern and Southern,,2001,28099,3224259.578125
Africa Eastern and Southern,,2002,38364,3312222.828125
Africa Eastern and Southern,,2003,45873,3416786.25
Africa Eastern and Southern,,2004,42220,3607347.265625
Africa Eastern and Southern,,2005,47453.1500015259,3569886.5
Africa Eastern and Southern,,2006,75908.7000007629,3324574.5
Africa Eastern and Southern,,2007,97740.7000007629,3438811.5
Africa Eastern and Southern,,2008,99535.8499755859,3296608.5
Africa Eastern and Southern,,2009,122165.001529694,3209702
Africa Eastern and Southern,,2010,154328.24010849,3471017
Africa Eastern and Southern,,2011,160086.562915802,3495980
Africa Eastern and Southern,,2012,181634.530700684,3816873
Africa Eastern and Southern,,2013,198789.889537811,3686125
Africa Eastern and Southern,,2014,218317.730249025,3914931
Africa Eastern and Southern,,2015,232683.830957033,4017684.25
Africa Eastern and Southern,,2016,236261.783691406,4169121
Africa Eastern and Southern,,2017,247566.37081299,4192887
Africa Eastern and Southern,,2018,227738.267120361,4115035
Africa Western and Central,,1960,2005,488505
Africa Western and Central,,1961,2173,513837
Africa Western and Central,,1962,2361,560769
Africa Western and Central,,1963,2547,582503
Africa Western and Central,,1964,2730,646740
Africa Western and Central,,1965,2904,680876
Africa Western and Central,,1966,3088,740412
Africa Western and Central,,1967,3275,790821
Africa Western and Central,,1968,3454,782152
Africa Western and Central,,1969,3659,850772
Africa Western and Central,,1970,4003,961442
Africa Western and Central,,1971,4215,1133279
Africa Western and Central,,1972,4525,1201189
Africa Western and Central,,1973,4775,1197244
Africa Western and Central,,1974,4909,1237129
Africa Western and Central,,1975,5130,1275029
Africa Western and Central,,1976,5402,1262313
Africa Western and Central,,1977,5748,1294795
Africa Western and Central,,1978,5999,1307225
Africa Western and Central,,1979,6234,1296502
Africa Western and Central,,1980,6588,1276821
Africa Western and Central,,1981,6878,1313217
Africa Western and Central,,1982,7250,1303150
Africa Western and Central,,1983,7618,1367361
Africa Western and Central,,1984,7827,1339388
Africa Western and Central,,1985,8933,1357186
Africa Western and Central,,1986,6572,1475547
Africa Western and Central,,1987,7103,1551202
Africa Western and Central,,1988,11857,1524068
Africa Western and Central,,1989,26943,1604224
Africa Western and Central,,1990,8425,1682408.04003906
Africa Western and Central,,1991,16565,1596435.10009766
Africa Western and Central,,1992,18654,1767671
Africa Western and Central,,1993,18757,1672261
Africa Western and Central,,1994,16440,1637856
Africa Western and Central,,1995,18244,1862651
Africa Western and Central,,1996,21783,2067303
Africa Western and Central,,1997,25696,2114588
Africa Western and Central,,1998,23779,2144828
Africa Western and Central,,1999,26917,2253588
Africa Western and Central,,2000,32940,2247133
Africa Western and Central,,2001,32564,2290269
Africa Western and Central,,2002,39341,2231496
Africa Western and Central,,2003,34395,2433204
Africa Western and Central,,2004,47659,2501277
Africa Western and Central,,2005,60807,2537499
Africa Western and Central,,2006,90503,2391540
Africa Western and Central,,2007,92580,2383542
Africa Western and Central,,2008,153013,2554257
Africa Western and Central,,2009,164724,2637165
Africa Western and Central,,2010,216749.599998474,2732985
Africa Western and Central,,2011,248207.865005493,2980555
Africa Western and Central,,2012,289089.799987793,3121053
Africa Western and Central,,2013,321236.849975586,3180280
Africa Western and Central,,2014,363206,3179511
Africa Western and Central,,2015,377258.16015625,3154317
Africa Western and Central,,2016,378600.630065918,3473525
Africa Western and Central,,2017,372724.260192871,4116060
Africa Western and Central,,2018,388010.736694336,4178920.75
Albania,ALB,1960,0,2600
Albania,ALB,1961,0,3200
Albania,ALB,1962,0,2800
Albania,ALB,1963,0,3000
Albania,ALB,1964,0,3000
Albania,ALB,1965,0,4000
Albania,ALB,1966,0,4000
Albania,ALB,1967,0,5000
Albania,ALB,1968,0,6000
Albania,ALB,1969,0,7000
Albania,ALB,1970,0,8000
Albania,ALB,1971,0,8000
Albania,ALB,1972,0,8000
Albania,ALB,1973,3,7997
Albania,ALB,1974,45,8455
Albania,ALB,1975,85,8415
Albania,ALB,1976,123,8377
Albania,ALB,1977,164,8336
Albania,ALB,1978,193,8807
Albania,ALB,1979,260,8740
Albania,ALB,1980,339,8661
Albania,ALB,1981,455,8921
Albania,ALB,1982,699,8812
Albania,ALB,1983,1162,8653
Albania,ALB,1984,1197,6809
Albania,ALB,1985,1208,10191
Albania,ALB,1986,2165,9757.2001953125
Albania,ALB,1987,2368,10766.400390625
Albania,ALB,1988,3732,10827.2998046875
Albania,ALB,1989,2604,9357.400390625
Albania,ALB,1990,4961,10054.599609375
Albania,ALB,1991,859,3012
Albania,ALB,1992,397,2696.19995117188
Albania,ALB,1993,389,2500
Albania,ALB,1994,395,2100
Albania,ALB,1995,340,1380.30004882813
Albania,ALB,1996,323,2126.19995117188
Albania,ALB,1997,97,1013.79998779297
Albania,ALB,1998,124,2683.5
Albania,ALB,1999,310,2747.89990234375
Albania,ALB,2000,307,3328
Albania,ALB,2001,286,3311.19995117188
Albania,ALB,2002,860,3656.80004882813
Albania,ALB,2003,1473,2801.60009765625
Albania,ALB,2004,1569,4549.5
