race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants
68140,Peak District Ultras,Millstone 100,Castleton,United Kingdom,2021-09-03,19:00:00,solo,166.9,4520,-4520,10,150
72496,UTMB®,UTMB®,Chamonix,France,2021-08-27,17:00:00,Solo,170.7,9930,-9930,11,2300
69855,Grand Raid des Pyrénées,Ultra Tour 160,vielle-Aure,France,2021-08-20,05:00:00,solo,167,9980,-9980,13,600
67856,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,2021-08-20,18:00:00,solo,164,7490,-7500,13,150
70469,Runfire Salt Lake Ultra,100 Mile,ulukisla,Turkey,2021-08-20,18:00:00,solo,159.9,100,-100,12,0
66887,Swiss Alps 100,160KM,Münster,Switzerland,2021-08-15,17:00:00,solo,159.9,9850,-9850,15,300
67851,Salomon Rondane 100,Salomon Rondane 100,Folldal,Norway,2021-08-14,07:00:00,solo,163.8,5460,-5460,5,0
68241,Ultra Trail des Sources,160KM,Spa,Belgium,2021-08-14,07:00:00,solo,163.9,4630,-4660,8,200
70241,Québec Mega Trail (QMT),QMT-100-MILE,Beaupre,Canada,2021-08-13,22:00:00,solo,158.9,6410,-6240,13,120
69945,Bunketorp Backyard Ultra Trail,BBUT - 24 loops,LINDOME,Sweden,2021-08-07,10:00:00,solo,163.7,3100,-3100,23,100
67218,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2021-08-07,06:00:00,solo,165.2,3130,-3170,13,300
65713,Beacons 50 & Beacons 100,Beacons 100,Brecon,United Kingdom,2021-08-06,20:00:00,Solo,164.8,7050,-7050,5,50
66425,Iznik Ultra,160 K,Iznik,Turkey,2021-08-06,18:00:00,solo,149.4,2930,-3040,12,100
66003,KAT100,KAT100miles,Fieberbrunn,Austria,2021-08-05,18:00:00,solo,173.9,9980,-9980,15,170
71873,Alpindustria Elbrus Race,ElbrusWorldRace,Terskol,Russia,2021-07-30,00:00:00,Solo,169.9,9010,-9010,0,120
