season,ep_num,air_date,rating,rating_n,desc
1,1,17 Mar. 2006,7.5,8301,When ordinary shop-worker Rose Tyler meets a mysterious stranger called the Doctor she is drawn into his strange and dangerous world; her life will never be the same again.
1,2,17 Mar. 2006,7.5,7279,The Doctor takes Rose to the year 5 billion to witness the destruction of the Earth.
1,3,24 Mar. 2006,7.5,6804,The Doctor has great expectations for his latest adventure when he and Rose join forces with Charles Dickens to investigate a mysterious plague of zombies.
1,4,31 Mar. 2006,7,6543,"The Doctor returns Rose to her own time - well, sort of - but her family reunion is ruined when a spaceship crashes in the middle of London. What is the origin of the spaceship, and where has the Prime Minister gone in this time of crisis?"
1,5,7 Apr. 2006,7,6337,The Slitheen have infiltrated Parliament and have the Doctor and his friends trapped as the Doctor works to prevent them from starting World War Three.
1,6,14 Apr. 2006,8.7,7211,"The TARDIS is drawn to an alien museum deep below the Utah desert, where a ruthless billionaire keeps prisoner the last of the Doctor's most fearsome enemies."
1,7,21 Apr. 2006,7.1,6255,"In the year 200,000 the Doctor discovers that a satellite with a dark secret is controlling humanity and slowing its development."
1,8,28 Apr. 2006,8.4,6889,"Rose asks The Doctor to take her to 1987, on the day her father was killed."
1,9,5 May 2006,9.2,8383,"When a spaceship crashes in the middle of the London Blitz the Doctor, Rose and the enigmatic Captain Jack Harkness find themselves investigating a plague of physical injuries and a little boy in a gas mask."
1,10,12 May 2006,9.2,7702,The gas mask zombies are on the rise as the plague spreads across war-torn London.
1,11,19 May 2006,7.1,5981,"Stopping off in present-day Cardiff to recharge the TARDIS, The Doctor, Rose and Jack meet up with Mickey and encounter an old foe in the midst of hatching a scheme that could destroy the entire planet."
1,12,2 Jun. 2006,8.7,6799,"The Doctor, Rose and Jack are separated and forced to compete in twisted and deadly games on the Game Station."
1,13,9 Jun. 2006,9.1,7312,"As the Dalek fleet begin their attack on the Earth, the Doctor and his allies make one final stand."
2,0,29 Sep. 2006,8.1,6716,"It's Christmas Eve, but this is to be a far from silent night - the cruel Sycorax have come to Earth to enslave mankind and, as ever, only The Doctor can stop them. Unfortunately, he's lying in a coma in Jackie's home..."
2,1,29 Sep. 2006,7.4,6275,The Doctor and Rose arrive on New Earth and meet old friends and enemies in a hospital which can cure every disease. But the cures come at a terrible cost.
2,2,6 Oct. 2006,7.7,6398,"The Doctor and Rose are transported to 19th Century Scotland, where they meet Queen Victoria, and try to protect her from a ravenous werewolf and a band of assassinating warrior-monks"
2,3,13 Oct. 2006,8.3,6803,"The Krillitanes - aliens with a mix-and-match physiology - are trying to crack the 'God-Maker', a paradigm to give them ultimate power. They are using children as a computer, and only the Doctor and Rose, re-united with Sarah Jane Smith and K9 can prevent them from becoming masters of time and space."
2,4,20 Oct. 2006,9.3,10469,"The Doctor, Mickey and Rose land on a spaceship in the 51st century only to find 18th century Versailles on board, the time of Madame De Pompadour! To find out what's going on the Doctor must enter Versailles and save Madame De Popmpadour but it turns into an emotional roller coaster for the Doctor."
2,5,27 Oct. 2006,7.8,5989,"The TARDIS crash lands in London on a parallel world, where Rose's dad is still alive, people are disappearing off the streets and one of the Doctor's deadliest enemies is about to be reborn."
2,6,3 Nov. 2006,7.9,5924,The Cybermen take control of London as the population is enslaved and the Doctor and his friends become fugitives.
2,7,10 Nov. 2006,6.7,6114,"As the coronation of Elizabeth II nears, the streets of London live in fear. Faceless people are stolen from their homes in the night and something evil is lurking in the television."
2,8,17 Nov. 2006,8.7,6869,"When the Doctor and Rose become stranded on a planet orbiting a black hole, they find a human expedition crew and their servants, the Ood, being terrorised by the Devil."
2,9,1 Dec. 2006,8.8,7075,"The Doctor risks his life to investigate the pit and is forced to make a terrible decision, while Rose and the crew fend for their lives against the Legion of the Beast."
2,10,8 Dec. 2006,6.1,7169,"Elton Pope is an ordinary man intrigued by the world of the Doctor. When he and fellow enthusiasts - L.I.N.D.A. - meet the mysterious Victor Kennedy, their lives will never be the same again."
2,11,15 Dec. 2006,5.9,6367,"When children vanish into thin air in 2012 London, the Doctor and Rose find the answers in a seemingly ordinary household and a girl whose drawings can come to life."
2,12,22 Nov. 2006,8.5,6229,"When ghosts of loved ones appear all over the world the Doctor traces the phenomena to the Torchwood Tower, where some old friends and enemies are waiting."
2,13,22 Dec. 2006,9.3,8494,"Earth becomes a battleground for the Daleks and the Cybermen. With the whole planet at stake and the Genesis Ark activated, how much will the Doctor sacrifice in order to end the war?"
3,0,6 Jul. 2007,7.6,6351,"The Doctor is baffled when a young woman is transported to the TARDIS on her wedding day, and attempts to find out how she is connected to an alien plot to destroy Earth."
3,1,6 Jul. 2007,8,6211,"When the hospital she works at is transported to the moon, medical student Martha Jones joins forces with The Doctor to hunt down an alien fugitive before the oxygen runs out."
3,2,7 Apr. 2007,7.6,6241,"The Doctor takes Martha to London in 1599, where William Shakespeare's new play is being used by three witches in an evil plan."
3,3,14 Apr. 2007,8,6400,"The Doctor takes Martha to New Earth, where she is kidnapped by two carjackers and taken to an underground Motorway, where the remainder of humanity on the planet live in perpetual gridlock."
