match_id,team1,team2,score_team1,score_team2,wickets_team2,wickets_team,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ball_remaining,ground,ground_city,ground_country,match_date
ODI # 1028,West Indies,Australia,172,173,9,9,away,home,Australia,1,wicket,Day and night,Benson & Hedges World Series,Paul Reiffel,Australia,Sydney Cricket Ground,West Indies,bat first,NA,Sydney,Moore Park,Australia,"Jan 1, 1996"
ODI # 1029,West Indies,Sri Lanka,194,124,10,10,away,away,West Indies,70,runs,Day,Benson & Hedges World Series,Shivnarine Chanderpaul,West Indies,"Bellerive Oval, Hobart",Sri Lanka,field first,NA,Hobart,Bellerive,Australia,"Jan 3, 1996"
ODI # 1030,Sri Lanka,West Indies,102,104,10,3,away,away,West Indies,7,wickets,Day and night,Benson & Hedges World Series,Curtly Ambrose,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sri Lanka,bat first,with 143 balls remaining),Brisbane,Woolloongabba,Australia,"Jan 5, 1996"
ODI # 1031,West Indies,Australia,231,217,10,10,away,home,West Indies,14,runs,Day,Benson & Hedges World Series,Ottis Gibson,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,field first,NA,Brisbane,Woolloongabba,Australia,"Jan 7, 1996"
ODI # 1032,Australia,Sri Lanka,213,214,5,7,home,away,Sri Lanka,3,wickets,Day and night,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,Melbourne Cricket Ground,Australia,bat first,with 15 balls remaining),Melbourne,Jolimont,Australia,"Jan 9, 1996"
ODI # 1033,South Africa,England,211,205,8,10,home,away,South Africa,6,runs,Day and night,England tour of South Africa,Shaun Pollock,South Africa,"Newlands, Cape Town",South Africa,bat first,NA,Cape Town,Cape Town,South Africa,"Jan 9, 1996"
ODI # 1034,South Africa,England,262,265,8,5,home,away,England,5,wickets,Day and night,England tour of South Africa,Mike Atherton,England,"Springbok Park, Bloemfontein",South Africa,bat first,with 10 balls remaining),Bloemfontein,Bloemfontein,South Africa,"Jan 11, 1996"
ODI # 1035,Australia,Sri Lanka,266,183,6,9,home,away,Australia,83,runs,Day and night,Benson & Hedges World Series,Mark Waugh,Australia,"Western Australia Cricket Association Ground, Perth",Australia,bat first,NA,Perth,East Perth,Australia,"Jan 12, 1996"
ODI # 1036,England,South Africa,198,199,8,7,away,home,South Africa,3,wickets,Day,England tour of South Africa,Shaun Pollock,South Africa,"New Wanderers Stadium, Johannesburg",England,bat first,with 11 balls remaining),Johannesburg,Johannesburg,South Africa,"Jan 13, 1996"
ODI # 1037,Sri Lanka,West Indies,202,186,10,9,away,away,Sri Lanka,16,runs,Day,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,"Western Australia Cricket Association Ground, Perth",West Indies,field first,NA,Perth,East Perth,Australia,"Jan 14, 1996"
ODI # 1038,England,South Africa,272,276,8,3,away,home,South Africa,7,wickets,Day,England tour of South Africa,Gary Kirsten,South Africa,Centurion Park,England,bat first,with 12 balls remaining),Centurion,Centurion,South Africa,"Jan 14, 1996"
ODI # 1039,Australia,Sri Lanka,242,246,4,7,home,away,Sri Lanka,3,wickets,Day and night,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,Melbourne Cricket Ground,Australia,bat first,with 2 balls remaining),Melbourne,Jolimont,Australia,"Jan 16, 1996"
ODI # 1040,England,South Africa,184,185,10,5,away,home,South Africa,5,wickets,Day and night,England tour of South Africa,Allan Donald,South Africa,"Kingsmead, Durban",South Africa,field first,with 10 balls remaining),Durban,Durban,South Africa,"Jan 17, 1996"
ODI # 1042,South Africa,England,129,115,10,10,home,away,South Africa,14,runs,Day and night,England tour of South Africa,Paul Adams,South Africa,"Buffalo Park, East London",South Africa,bat first,NA,East London,East London,South Africa,"Jan 19, 1996"
ODI # 1044,South Africa,England,218,154,9,10,home,away,South Africa,64,runs,Day,England tour of South Africa,Adrian Kuiper,South Africa,"Crusaders Ground, St George's Park, Port Elizabeth",South Africa,bat first,NA,Port Elizabeth,Port Elizabeth,South Africa,"Jan 21, 1996"
ODI # 1045,New Zealand,Zimbabwe,278,204,5,10,home,away,New Zealand,74,runs,Day,Zimbabwe tour of New Zealand,Nathan Astle,New Zealand,"Eden Park, Auckland",New Zealand,bat first,NA,Auckland,Auckland,New Zealand,"Jan 28, 1996"
ODI # 1046,Zimbabwe,New Zealand,181,184,9,4,away,home,New Zealand,6,wickets,Day,Zimbabwe tour of New Zealand,Stephen Fleming,New Zealand,"Basin Reserve, Wellington",Zimbabwe,bat first,with 63 balls remaining),Wellington,Wellington,New Zealand,"Jan 31, 1996"
ODI # 1047,Zimbabwe,New Zealand,267,246,7,10,away,home,Zimbabwe,21,runs,Day and night,Zimbabwe tour of New Zealand,Andy Flower,Zimbabwe,"McLean Park, Napier",New Zealand,field first,NA,Napier,Napier,New Zealand,"Feb 3, 1996"
ODI # 1048,New Zealand,England,239,228,6,9,away,away,New Zealand,11,runs,Day,Wills World Cup,Nathan Astle,New Zealand,"Gujarat Stadium, Motera, Ahmedabad",England,field first,NA,Ahmedabad,Motera,India,"Feb 14, 1996"
ODI # 1049,South Africa,United Arab Emirates,321,152,2,8,away,away,South Africa,169,runs,Day,Wills World Cup,Gary Kirsten,South Africa,Rawalpindi Cricket Stadium,United Arab Emirates,field first,NA,Rawalpindi,Rawalpindi,Pakistan,"Feb 16, 1996"
ODI # 1050,Zimbabwe,West Indies,151,155,9,4,away,away,West Indies,6,wickets,Day and night,Wills World Cup,Curtly Ambrose,West Indies,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Zimbabwe,bat first,with 123 balls remaining),Hyderabad (Deccan),Hyderabad,India,"Feb 16, 1996"
ODI # 1051,New Zealand,Netherlands,307,188,8,7,away,away,New Zealand,119,runs,Day,Wills World Cup,Craig Spearman,New Zealand,"Indian Petrochemicals Corporation Limited Sports Complex Ground, Baroda",New Zealand,bat first,NA,Vadodara,Vadodara,India,"Feb 17, 1996"
ODI # 1052,Kenya,India,199,203,6,3,away,home,India,7,wickets,Day,Wills World Cup,Sachin Tendulkar,India,"Barabati Stadium, Cuttack",India,field first,with 49 balls remaining),Cuttack,Cuttack,India,"Feb 18, 1996"
ODI # 1053,United Arab Emirates,England,136,140,10,2,away,away,England,8,wickets,Day,Wills World Cup,Neil Smith,England,"Arbab Niaz Stadium, Peshawar",United Arab Emirates,bat first,with 90 balls remaining),Peshawar,Peshawar,Pakistan,"Feb 18, 1996"
ODI # 1054,New Zealand,South Africa,177,178,9,5,away,away,South Africa,5,wickets,Day,Wills World Cup,Hansie Cronje,South Africa,"Iqbal Stadium, Faisalabad",New Zealand,bat first,with 75 balls remaining),Faisalabad,Faisalabad,Pakistan,"Feb 20, 1996"
ODI # 1055,Zimbabwe,Sri Lanka,228,229,6,4,away,home,Sri Lanka,6,wickets,Day,Wills World Cup,Aravinda de Silva,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",Zimbabwe,bat first,with 78 balls remaining),Colombo (SSC),Colombo,Sri Lanka,"Feb 21, 1996"
ODI # 1056,West Indies,India,173,174,10,5,away,home,India,5,wickets,Day and night,Wills World Cup,Sachin Tendulkar,India,"Captain Roop Singh Stadium, Gwalior",West Indies,bat first,with 62 balls remaining),Gwalior,Gwalior,India,"Feb 21, 1996"
ODI # 1057,England,Netherlands,279,230,4,6,away,away,England,49,runs,Day,Wills World Cup,Graeme Hick,England,"Arbab Niaz Stadium, Peshawar",England,bat first,NA,Peshawar,Peshawar,Pakistan,"Feb 22, 1996"
ODI # 1058,Australia,Kenya,304,207,7,7,away,away,Australia,97,runs,Day,Wills World Cup,Mark Waugh,Australia,"Indira Priyadarshini Stadium, Visakhapatnam",Kenya,field first,NA,Visakhapatnam,Visakhapatnam,India,"Feb 23, 1996"
ODI # 1059,United Arab Emirates,Pakistan,109,112,9,1,away,home,Pakistan,9,wickets,Day,Wills World Cup,Mushtaq Ahmed,Pakistan,"Jinnah Stadium, Gujranwala",Pakistan,field first,with 90 balls remaining),Gujranwala,Gujranwala,Pakistan,"Feb 24, 1996"
ODI # 1060,South Africa,England,230,152,10,10,away,away,South Africa,78,runs,Day,Wills World Cup,Jonty Rhodes,South Africa,Rawalpindi Cricket Stadium,South Africa,bat first,NA,Rawalpindi,Rawalpindi,Pakistan,"Feb 25, 1996"
ODI # 1062,Netherlands,Pakistan,145,151,7,2,away,home,Pakistan,8,wickets,Day,Wills World Cup,Waqar Younis,Pakistan,"Gaddafi Stadium, Lahore",Netherlands,bat first,with 116 balls remaining),Lahore,Lahore,Pakistan,"Feb 26, 1996"
ODI # 1063,Kenya,Zimbabwe,134,137,10,5,away,away,Zimbabwe,5,wickets,Day,Wills World Cup,Paul Strang,Zimbabwe,"Moin-ul-Haq Stadium, Patna",Zimbabwe,field first,with 46 balls remaining),Patna,Patna,India,"Feb 27, 1996"
ODI # 1064,New Zealand,United Arab Emirates,276,167,8,9,away,away,New Zealand,109,runs,Day,Wills World Cup,Roger Twose,New Zealand,"Iqbal Stadium, Faisalabad",United Arab Emirates,field first,NA,Faisalabad,Faisalabad,Pakistan,"Feb 27, 1996"
ODI # 1065,Australia,India,258,242,10,10,away,home,Australia,16,runs,Day and night,Wills World Cup,Mark Waugh,Australia,"Wankhede Stadium, Mumbai",Australia,bat first,NA,Mumbai,Mumbai,India,"Feb 27, 1996"
ODI # 1066,Kenya,West Indies,166,93,10,10,away,away,Kenya,73,runs,Day,Wills World Cup,Maurice Odumbe,Kenya,"Nehru Stadium, Poona",West Indies,field first,NA,Pune,Pune,India,"Feb 29, 1996"
ODI # 1067,Pakistan,South Africa,242,243,6,5,home,away,South Africa,5,wickets,Day,Wills World Cup,Hansie Cronje,South Africa,"National Stadium, Karachi",Pakistan,bat first,with 34 balls remaining),Karachi,Karachi,Pakistan,"Feb 29, 1996"
