artist_name,album_name,track_number,song_id,song_name,line_number,section_name,line,section_artist
Spice Girls,Spice,1,89740,Wannabe,1,Intro,Hahaha,"Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,2,Intro,"Yo, I'll tell you what I want, what I really, really want","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,3,Intro,"So tell me what you want, what you really, really want","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,4,Intro,"I'll tell you what I want, what I really, really want","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,5,Intro,"So tell me what you want, what you really, really want","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,6,Intro,"I wanna (Hey!), I wanna (Hey!), I wanna (Hey!), I wanna (Hey!)","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,7,Intro,"I wanna really, really, really wanna ""zig-a-zig"", ah","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,8,Verse 1,"If you want my future, forget my past","Sporty, Baby, Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,9,Verse 1,"If you wanna get with me, better make it fast","Sporty, Baby, Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,10,Verse 1,Now don't go wasting my precious time,"Sporty, Baby, Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,11,Verse 1,"Get your act together, we could be just fine","Sporty, Baby, Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,12,Pre-Chorus,"I'll tell you what I want, what I really, really want","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,13,Pre-Chorus,"So tell me what you want, what you really, really want","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,14,Pre-Chorus,"I wanna (Hey!), I wanna (Hey!), I wanna (Hey!), I wanna (Hey!)","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,15,Pre-Chorus,"I wanna really, really, really wanna ""zig-a-zig"", ah","Scary, Ginger"
Spice Girls,Spice,1,89740,Wannabe,16,Chorus,"If you wanna be my lover, you gotta get with my friends","All, Baby"
Spice Girls,Spice,1,89740,Wannabe,17,Chorus,(Gotta get with my friends),"All, Baby"
Spice Girls,Spice,1,89740,Wannabe,18,Chorus,"Make it last forever, friendship never ends","All, Baby"
