artist_id,artist_name,genres,popularity,followers_total
0uq5PttqEjj3IH1bzwcrXF,Spice Girls,dance pop,71,2510429
0uq5PttqEjj3IH1bzwcrXF,Spice Girls,europop,71,2510429
0uq5PttqEjj3IH1bzwcrXF,Spice Girls,girl group,71,2510429
0uq5PttqEjj3IH1bzwcrXF,Spice Girls,pop,71,2510429
5TDVKqW9uhqGjwwwKGuma4,All Saints,bubblegum dance,57,412681
5TDVKqW9uhqGjwwwKGuma4,All Saints,dance pop,57,412681
5TDVKqW9uhqGjwwwKGuma4,All Saints,europop,57,412681
5TDVKqW9uhqGjwwwKGuma4,All Saints,girl group,57,412681
5TDVKqW9uhqGjwwwKGuma4,All Saints,new wave pop,57,412681
5TDVKqW9uhqGjwwwKGuma4,All Saints,pop rock,57,412681
2AEEnr6Le5zHzBwpnlZSmq,Emma Bunton,bubblegum dance,46,154704
2AEEnr6Le5zHzBwpnlZSmq,Emma Bunton,dance pop,46,154704
2AEEnr6Le5zHzBwpnlZSmq,Emma Bunton,europop,46,154704
5orH1OWgjAYUX8sZ5gihTv,Geri Halliwell,bubblegum dance,50,152379
5orH1OWgjAYUX8sZ5gihTv,Geri Halliwell,dance pop,50,152379
5orH1OWgjAYUX8sZ5gihTv,Geri Halliwell,electropop,50,152379
5orH1OWgjAYUX8sZ5gihTv,Geri Halliwell,europop,50,152379
7rZNSLWMjTbwdLNskFbzFf,Sugababes,bubblegum dance,64,555942
7rZNSLWMjTbwdLNskFbzFf,Sugababes,dance pop,64,555942
7rZNSLWMjTbwdLNskFbzFf,Sugababes,europop,64,555942
7rZNSLWMjTbwdLNskFbzFf,Sugababes,girl group,64,555942
7rZNSLWMjTbwdLNskFbzFf,Sugababes,pop,64,555942
7rZNSLWMjTbwdLNskFbzFf,Sugababes,post-teen pop,64,555942
7rZNSLWMjTbwdLNskFbzFf,Sugababes,urban contemporary,64,555942
60vX3zLcdKRXvKLITVh5Df,Melanie C,bubblegum dance,59,268530
60vX3zLcdKRXvKLITVh5Df,Melanie C,dance pop,59,268530
60vX3zLcdKRXvKLITVh5Df,Melanie C,electropop,59,268530
60vX3zLcdKRXvKLITVh5Df,Melanie C,europop,59,268530
