5,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2015 and January-March 2015"
5,"h","","","","","","","",""
5,"h","","January 1","January-March","January-March","January-March","January-March","January-March","January-March"
5,"h","State","","","","","","",""
5,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
5,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
5,"h","","","","","","","",""
5,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
5,"d","Alabama",7000,7000,1800,26,2800,250,4
5,"d","Arizona",35000,35000,4600,13,3400,2100,6
5,"d","Arkansas",13000,14000,1500,11,1200,90,1
5,"d","California",1440000,1690000,255000,15,250000,124000,7
5,"d","Colorado",3500,12500,1500,12,200,140,1
5,"d","Connecticut",3900,3900,870,22,290,-,-
5,"d","Florida",305000,315000,42000,13,54000,25000,8
5,"d","Georgia",104000,105000,14500,14,47000,9500,9
5,"d","Hawaii",10500,10500,380,4,3400,760,7
5,"d","Idaho",81000,88000,3700,4,2600,8000,9
5,"d","",,,,,,,
5,"d","Illinois",6000,10500,4200,40,2300,390,4
5,"d","Indiana",9000,9500,2100,22,490,120,1
5,"d","Iowa",12500,17500,3100,18,1700,270,2
5,"d","Kansas",4600,7000,1600,23,450,70,1
5,"d","Kentucky",7500,10500,4100,39,250,-,-
5,"d","Louisiana",51000,51000,8000,16,3100,6500,13
5,"d","Maine",3100,6500,380,6,20,-,-
5,"d","Maryland",7500,10000,4100,41,1600,870,9
5,"d","Massachusetts",2900,4600,1000,22,260,120,3
5,"d","Michigan",16500,60000,11500,19,7500,2400,4
5,"d","",,,,,,,
5,"d","Minnesota",28000,74000,3700,5,690,530,1
5,"d","Mississippi",34000,76000,8500,11,22000,7500,10
5,"d","Missouri",12000,13000,2000,15,220,910,7
5,"d","Montana",8500,36000,2200,6,1400,1100,3
