7,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2015 and July-September 2015"
7,"h","","","","","","","",""
7,"h","","July 1","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","","","","","","",""
7,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",8500,9000,1400,16,160,260,3
7,"d","Arizona",40000,40000,6000,15,4300,15500,39
7,"d","Arkansas",23000,30000,9000,30,500,210,1
7,"d","California",730000,800000,76000,10,40000,93000,12
7,"d","Colorado",29000,30000,4500,15,1400,1400,5
7,"d","Connecticut",3700,3700,50,1,190,440,12
7,"d","Florida",164000,220000,36000,16,37000,29000,13
7,"d","Georgia",108000,110000,13000,12,19500,15500,14
7,"d","Hawaii",14500,14500,2700,19,1200,5500,38
7,"d","Idaho",80000,128000,14000,11,5500,11500,9
7,"d","",,,,,,,
7,"d","Illinois",14000,14000,1400,10,1300,1100,8
7,"d","Indiana",15000,15000,1600,11,1400,420,3
7,"d","Iowa",29000,37000,3000,8,640,680,2
7,"d","Kansas",9000,9500,1000,11,100,160,2
7,"d","Kentucky",10000,10000,1300,13,170,550,6
7,"d","Louisiana",50000,55000,2000,4,2300,1800,3
7,"d","Maine",6000,6000,450,8,410,140,2
7,"d","Maryland",7000,7500,680,9,730,70,1
7,"d","Massachusetts",7500,7500,560,8,290,400,5
7,"d","Michigan",89000,89000,7000,8,3300,3800,4
7,"d","",,,,,,,
7,"d","Minnesota",133000,136000,32000,24,640,2300,2
7,"d","Mississippi",23000,34000,3500,10,260,110,"(Z)"
7,"d","Missouri",14000,14000,1200,9,700,630,5
7,"d","Montana",140000,156000,10500,7,3200,10000,6
7,"d","Nebraska",67000,77000,6000,8,500,6000,8
7,"d","New Jersey",18500,18500,210,1,190,500,3
7,"d","New Mexico",6500,6500,1600,25,1300,650,10
7,"d","New York",44000,47000,6500,14,4400,7000,15
7,"d","North Carolina",24000,24000,2900,12,2500,1100,5
7,"d","North Dakota",460000,500000,93000,19,11000,22000,4
7,"d","",,,,,,,
7,"d","Ohio",23000,23000,1900,8,2300,880,4
7,"d","Oklahoma",19500,22000,230,1,160,190,1
7,"d","Oregon",68000,100000,8500,9,8000,21000,21
7,"d","Pennsylvania",25000,25000,1800,7,1800,2400,10
7,"d","South Carolina",12000,12000,2000,17,880,580,5
7,"d","South Dakota",295000,295000,53000,18,2100,13000,4
7,"d","Tennessee",10000,10000,1200,12,500,350,4
7,"d","Texas",76000,136000,16500,12,5500,4800,4
7,"d","Utah",31000,36000,8000,22,1400,2200,6
7,"d","Vermont",6000,6500,40,1,30,20,"(Z)"
7,"d","",,,,,,,
7,"d","Virginia",8000,8000,680,9,520,220,3
7,"d","Washington",84000,97000,11500,12,1800,20000,21
7,"d","West Virginia",7000,7000,300,4,300,270,4
7,"d","Wisconsin",60000,62000,9000,15,1300,4300,7
7,"d","Wyoming",29000,35000,2500,7,270,440,1
7,"d","",,,,,,,
7,"d","Other States 5/",12180,12280,900,7,1050,700,6
7,"d","",,,,,,,
7,"d","United States",3132880,"(X)",457100,15,172990,303070,10
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 number of colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 number of colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 number of colonies."
7,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
