7,"t","Honey Bee Colonies: Released August 1, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2016 and July-September 2016"
7,"h","","","","","","","",""
7,"h","","July 1","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","","","","","","",""
7,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",8000,8000,1200,15,440,50,1
7,"d","Arizona",30000,32000,6000,19,3200,2600,8
7,"d","Arkansas",32000,32000,1500,5,270,60,"(Z)"
7,"d","California",740000,820000,82000,10,33000,78000,10
7,"d","Colorado",33000,37000,6500,18,1100,740,2
7,"d","Connecticut",3100,3100,270,9,890,180,6
7,"d","Florida",200000,220000,25000,11,62000,14500,7
7,"d","Georgia",102000,103000,13000,13,12500,2300,2
7,"d","Hawaii",13500,13500,600,4,430,820,6
7,"d","Idaho",79000,131000,13000,10,1900,2800,2
7,"d","",,,,,,,
7,"d","Illinois",11000,11000,1300,12,850,310,3
7,"d","Indiana",9500,9500,600,6,450,550,6
7,"d","Iowa",50000,50000,5500,11,10500,2400,5
7,"d","Kansas",8000,8000,2600,33,310,190,2
7,"d","Kentucky",7500,7500,1000,13,900,230,3
7,"d","Louisiana",51000,60000,7000,12,2600,2100,4
7,"d","Maine",5500,5500,420,8,240,140,3
7,"d","Maryland",7000,7000,200,3,400,20,"(Z)"
7,"d","Massachusetts",9500,9500,530,6,450,40,"(Z)"
7,"d","Michigan",108000,108000,15000,14,11000,9500,9
7,"d","",,,,,,,
7,"d","Minnesota",132000,138000,26000,19,1300,1900,1
7,"d","Mississippi",19000,20000,3300,17,750,740,4
7,"d","Missouri",13500,13500,650,5,480,170,1
7,"d","Montana",147000,158000,11500,7,4100,6500,4
7,"d","Nebraska",45000,47000,8500,18,390,27000,57
7,"d","New Jersey",18000,18000,270,2,120,80,"(Z)"
7,"d","New Mexico",6500,6500,1100,17,2000,1000,15
7,"d","New York",56000,56000,10000,18,1900,800,1
7,"d","North Carolina",25000,25000,1400,6,1400,1200,5
7,"d","North Dakota",510000,550000,71000,13,25000,104000,19
7,"d","",,,,,,,
7,"d","Ohio",21000,21000,1600,8,980,630,3
7,"d","Oklahoma",3700,3700,560,15,30,30,1
7,"d","Oregon",107000,112000,7500,7,2900,4300,4
7,"d","Pennsylvania",19000,22000,1300,6,680,780,4
7,"d","South Carolina",13000,13500,920,7,990,50,"(Z)"
7,"d","South Dakota",178000,191000,25000,13,4200,9500,5
7,"d","Tennessee",10000,10000,950,10,340,290,3
7,"d","Texas",129000,143000,12000,8,12500,810,1
7,"d","Utah",27000,33000,3200,10,1200,120,"(Z)"
7,"d","Vermont",6500,6500,400,6,170,50,1
7,"d","",,,,,,,
7,"d","Virginia",8000,8000,810,10,460,360,5
7,"d","Washington",57000,74000,5000,7,7500,2000,3
7,"d","West Virginia",7500,7500,190,3,130,220,3
7,"d","Wisconsin",71000,75000,12000,16,880,640,1
7,"d","Wyoming",32000,40000,7000,18,1800,1000,3
7,"d","",,,,,,,
7,"d","Other States 5/",11880,11890,1920,16,1690,430,4
7,"d","",,,,,,,
7,"d","United States",3181180,"(X)",397290,12,217320,282130,9
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 number of colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 number of colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 number of colonies."
7,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
