1,"t","Honey Bee Colonies: Released August 1, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2017 and April-June 2017"
1,"h","","","","","","","",""
1,"h","","April 1","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","","","","","","",""
1,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",6500,6500,440,7,1200,500,8
1,"d","Arizona",22000,22000,2600,12,12500,3000,14
1,"d","Arkansas",17000,24000,1900,8,6000,1300,5
1,"d","California",980000,990000,90000,9,160000,220000,22
1,"d","Colorado",16500,31000,4500,15,8000,7500,24
1,"d","Connecticut",3000,3000,140,5,2200,350,12
1,"d","Florida",245000,255000,35000,14,40000,50000,20
1,"d","Georgia",130000,137000,12500,9,21000,31000,23
1,"d","Hawaii",12000,12000,70,1,3000,920,8
1,"d","Idaho",61000,78000,10500,13,22000,31000,40
1,"d","",,,,,,,
1,"d","Illinois",11500,12000,1200,10,3600,1600,13
1,"d","Indiana",7500,11000,1200,11,3000,510,5
1,"d","Iowa",12000,23000,2400,10,23000,3900,17
1,"d","Kansas",3800,6000,390,7,2500,870,15
1,"d","Kentucky",7000,7500,900,12,3100,590,8
1,"d","Louisiana",56000,62000,2600,4,4100,8000,13
1,"d","Maine",2200,33000,910,3,1100,1400,4
1,"d","Maryland",8000,9500,190,2,3400,930,10
1,"d","Massachusetts",2500,8000,140,2,1400,490,6
1,"d","Michigan",55000,100000,7500,8,20000,13500,14
1,"d","",,,,,,,
1,"d","Minnesota",32000,128000,12000,9,19000,8500,7
1,"d","Mississippi",89000,89000,3800,4,5500,26000,29
1,"d","Missouri",6500,7000,270,4,1800,1000,14
1,"d","Montana",47000,135000,3700,3,18000,18000,13
1,"d","Nebraska",7500,43000,1500,3,7000,27000,63
1,"d","New Jersey",5500,21000,430,2,1900,660,3
1,"d","New Mexico",7000,7500,1800,24,3300,3900,52
1,"d","New York",25000,43000,1300,3,16500,7500,17
1,"d","North Carolina",24000,25000,3000,12,5000,2700,11
1,"d","North Dakota",115000,450000,16000,4,31000,41000,9
1,"d","",,,,,,,
1,"d","Ohio",13500,15000,1100,7,7000,2500,17
1,"d","Oklahoma",17000,17000,200,1,4700,1200,7
1,"d","Oregon",71000,92000,5000,5,15500,22000,24
1,"d","Pennsylvania",15500,17500,540,3,7500,2300,13
1,"d","South Carolina",20000,20000,870,4,3000,3700,19
1,"d","South Dakota",30000,168000,13000,8,10000,23000,14
1,"d","Tennessee",8500,9000,1300,14,2600,1500,17
1,"d","Texas",345000,350000,28000,8,43000,148000,42
1,"d","Utah",21000,31000,2700,9,12500,10000,32
1,"d","Vermont",6000,8000,170,2,390,190,2
1,"d","",,,,,,,
1,"d","Virginia",8500,9500,1000,11,3100,1100,12
1,"d","Washington",75000,111000,7000,6,30000,20000,18
1,"d","West Virginia",7500,7500,370,5,4100,2500,33
1,"d","Wisconsin",18000,65000,4000,6,13000,6500,10
1,"d","Wyoming",15000,30000,1300,4,6000,3500,12
1,"d","",,,,,,,
1,"d","Other States 5/",5650,7160,160,2,870,940,13
1,"d","",,,,,,,
1,"d","United States",2694150,"(X)",285590,11,613360,762550,28
1,"c",""
1,"f","(X)  Not applicable."
1,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
1,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
