7,"t","Honey Bee Colonies: Released August 2, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2020 and July-September 2020"
7,"h","","","","","","","",""
7,"h","","","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","July 1","","","","","",""
7,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",9000,19000,3700,19,1800,990,5
7,"d","Arizona",28000,30000,8000,27,2600,1800,6
7,"d","Arkansas",19000,22000,1700,8,1500,390,2
7,"d","California",640000,700000,69000,10,61000,108000,15
7,"d","Colorado",29000,29000,7000,24,3800,5500,19
7,"d","Connecticut",4700,4700,300,6,130,150,3
7,"d","Florida",220000,230000,29000,13,36000,31000,13
7,"d","Georgia",150000,163000,23000,14,22000,35000,21
7,"d","Hawaii",18500,18500,500,3,4000,3400,18
7,"d","Idaho",70000,85000,11000,13,18500,8500,10
7,"d","",,,,,,,
7,"d","Illinois",14000,14000,1400,10,770,690,5
7,"d","Indiana",15000,15000,1600,11,1200,2700,18
7,"d","Iowa",34000,38000,1800,5,1100,2900,8
7,"d","Kansas",7000,7000,910,13,600,730,10
7,"d","Kentucky",11500,12000,1400,12,800,510,4
7,"d","Louisiana",48000,48000,2600,5,1200,3100,6
7,"d","Maine",9500,10000,1500,15,700,820,8
7,"d","Maryland",7500,7500,690,9,1200,220,3
7,"d","Massachusetts",11000,11000,330,3,840,810,7
7,"d","Michigan",96000,106000,34000,32,37000,11000,10
7,"d","",,,,,,,
7,"d","Minnesota",114000,119000,10500,9,1800,3700,3
7,"d","Mississippi",26000,29000,1600,6,2500,130,"(Z)"
7,"d","Missouri",8000,8000,730,9,290,820,10
7,"d","Montana",138000,139000,8500,6,6500,28000,20
7,"d","Nebraska",47000,48000,4300,9,3000,3100,6
7,"d","New Jersey",17500,18500,2300,12,1500,1800,10
7,"d","New Mexico",5500,5500,1600,29,3300,760,14
7,"d","New York",61000,61000,3600,6,5500,1600,3
7,"d","North Carolina",26000,27000,4600,17,950,5500,20
7,"d","North Dakota",455000,495000,53000,11,57000,33000,7
7,"d","",,,,,,,
7,"d","Ohio",22000,22000,1900,9,730,2100,10
7,"d","Oklahoma",7000,8000,1100,14,150,930,12
7,"d","Oregon",102000,124000,12000,10,13000,28000,23
7,"d","Pennsylvania",27000,27000,2200,8,2500,1200,4
7,"d","South Carolina",12000,13500,1800,13,1200,2200,16
7,"d","South Dakota",230000,235000,66000,28,30000,12500,5
7,"d","Tennessee",15000,15000,2200,15,460,860,6
7,"d","Texas",167000,173000,9500,5,9000,7500,4
7,"d","Utah",24000,30000,2000,7,1500,2300,8
7,"d","Vermont",7500,7500,210,3,700,180,2
7,"d","",,,,,,,
7,"d","Virginia",8500,8500,1200,14,910,730,9
7,"d","Washington",94000,104000,7000,7,5000,8500,8
7,"d","West Virginia",8000,8000,540,7,210,800,10
7,"d","Wisconsin",68000,68000,8000,12,970,9000,13
7,"d","Wyoming",33000,34000,3600,11,640,7500,22
7,"d","",,,,,,,
7,"d","Other States 5/",10630,11630,2080,18,2230,700,6
7,"d","",,,,,,,
7,"d","United States",3175330,"(X)",411490,13,348280,381620,12
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 colonies."
7,"f","5/ Includes data for States not published in this table."
