x,qx,lx,dx,Lx,Tx,ex,sex,year
0,0.14596,100000,14596,90026,5151511,51.52,M,1900
1,0.03282,85404,2803,84003,5061484,59.26,M,1900
2,0.01634,82601,1350,81926,4977482,60.26,M,1900
3,0.01052,81251,855,80824,4895556,60.25,M,1900
4,0.00875,80397,703,80045,4814732,59.89,M,1900
5,0.00628,79693,501,79443,4734687,59.41,M,1900
6,0.00462,79193,366,79010,4655244,58.78,M,1900
7,0.00326,78827,257,78698,4576234,58.05,M,1900
8,0.00256,78569,201,78469,4497536,57.24,M,1900
9,0.00203,78368,159,78288,4419068,56.39,M,1900
10,0.00211,78209,165,78127,4340779,55.5,M,1900
11,0.00217,78044,169,77960,4262653,54.62,M,1900
12,0.00212,77875,165,77793,4184693,53.74,M,1900
13,0.00239,77710,186,77617,4106900,52.85,M,1900
14,0.00254,77525,197,77426,4029283,51.97,M,1900
15,0.00267,77328,206,77225,3951856,51.11,M,1900
16,0.0032,77122,247,76998,3874632,50.24,M,1900
17,0.00378,76875,291,76730,3797633,49.4,M,1900
18,0.00913,76584,700,76235,3720904,48.59,M,1900
19,0.00531,75885,403,75683,3644669,48.03,M,1900
20,0.00507,75482,383,75291,3568985,47.28,M,1900
21,0.00437,75099,328,74935,3493695,46.52,M,1900
22,0.00449,74771,336,74603,3418760,45.72,M,1900
23,0.00472,74435,351,74259,3344157,44.93,M,1900
24,0.00456,74084,338,73915,3269898,44.14,M,1900
25,0.00462,73746,341,73576,3195983,43.34,M,1900
26,0.00467,73405,343,73234,3122407,42.54,M,1900
27,0.00457,73063,334,72896,3049173,41.73,M,1900
28,0.00494,72729,359,72550,2976277,40.92,M,1900
29,0.00504,72370,365,72188,2903728,40.12,M,1900
30,0.00491,72005,354,71829,2831540,39.32,M,1900
31,0.00496,71652,356,71474,2759711,38.52,M,1900
32,0.00472,71296,336,71128,2688237,37.71,M,1900
33,0.00486,70960,345,70787,2617109,36.88,M,1900
34,0.00521,70615,368,70431,2546322,36.06,M,1900
35,0.00553,70247,388,70053,2475891,35.25,M,1900
36,0.00605,69858,423,69647,2405838,34.44,M,1900
37,0.00601,69436,417,69227,2336191,33.65,M,1900
38,0.00555,69019,383,68827,2266964,32.85,M,1900
39,0.00563,68635,386,68442,2198137,32.03,M,1900
40,0.00595,68249,406,68046,2129695,31.2,M,1900
41,0.00627,67843,426,67630,2061648,30.39,M,1900
42,0.00654,67418,441,67197,1994018,29.58,M,1900
43,0.00701,66977,470,66742,1926821,28.77,M,1900
44,0.00721,66507,480,66267,1860079,27.97,M,1900
45,0.00775,66028,512,65772,1793812,27.17,M,1900
46,0.00795,65516,521,65256,1728040,26.38,M,1900
47,0.00869,64995,565,64713,1662785,25.58,M,1900
48,0.00947,64430,610,64125,1598072,24.8,M,1900
49,0.0102,63820,651,63495,1533947,24.04,M,1900
50,0.01094,63169,691,62824,1470452,23.28,M,1900
51,0.01211,62478,757,62100,1407628,22.53,M,1900
52,0.01313,61722,810,61317,1345528,21.8,M,1900
53,0.0141,60912,859,60482,1284211,21.08,M,1900
54,0.01446,60053,868,59619,1223729,20.38,M,1900
55,0.01556,59184,921,58724,1164111,19.67,M,1900
56,0.01698,58264,989,57769,1105387,18.97,M,1900
57,0.01859,57274,1065,56742,1047618,18.29,M,1900
58,0.01984,56210,1115,55652,990876,17.63,M,1900
59,0.02158,55094,1189,54500,935224,16.98,M,1900
60,0.02392,53905,1290,53260,880724,16.34,M,1900
61,0.02562,52616,1348,51941,827464,15.73,M,1900
62,0.02813,51267,1442,50546,775522,15.13,M,1900
