Name,Sex,Source,Year,Born,Rank
Maia,Female,Maori,2015,NZ,1
Manaia,Female,Maori,2015,NZ,2
Anahera,Female,Maori,2015,NZ,3
Ana,Female,Maori,2015,NZ,4
Aroha,Female,Maori,2015,NZ,5
Kaia,Female,Maori,2015,NZ,6
Hana,Female,Maori,2015,NZ,7
Ataahua,Female,Maori,2015,NZ,8
Tia,Female,Maori,2015,NZ,9
Kora,Female,Maori,2015,NZ,10
Amaia,Female,Maori,2015,NZ,11
Tui,Female,Maori,2015,NZ,12
Te Aroha,Female,Maori,2015,NZ,13
Kahurangi,Female,Maori,2015,NZ,14
Awhina,Female,Maori,2015,NZ,15
Manawa,Female,Maori,2015,NZ,16
Kara,Female,Maori,2015,NZ,17
Aaria,Female,Maori,2015,NZ,18
Rui,Female,Maori,2015,NZ,19
Te Ao,Female,Maori,2015,NZ,20
Nikau,Male,Maori,2015,NZ,1
Ari,Male,Maori,2015,NZ,2
Manaia,Male,Maori,2015,NZ,3
Wiremu,Male,Maori,2015,NZ,4
Kauri,Male,Maori,2015,NZ,5
Mikaere,Male,Maori,2015,NZ,6
Rawiri,Male,Maori,2015,NZ,7
Ihaia,Male,Maori,2015,NZ,8
Kai,Male,Maori,2015,NZ,9
Manaaki,Male,Maori,2015,NZ,10
Tai,Male,Maori,2015,NZ,11
Tane,Male,Maori,2015,NZ,12
Tamati,Male,Maori,2015,NZ,13
Taika,Male,Maori,2015,NZ,14
Kahurangi,Male,Maori,2015,NZ,15
Tangaroa,Male,Maori,2015,NZ,16
Manawa,Male,Maori,2015,NZ,17
Ihaka,Male,Maori,2015,NZ,18
Tama,Male,Maori,2015,NZ,19
Tawhiri,Male,Maori,2015,NZ,20
Maia,Female,Maori,2016,NZ,1
Ariana,Female,Maori,2016,NZ,2
Manaia,Female,Maori,2016,NZ,3
Anahera,Female,Maori,2016,NZ,4
Hana,Female,Maori,2016,NZ,5
Amaia,Female,Maori,2016,NZ,6
Aroha,Female,Maori,2016,NZ,7
Ataahua,Female,Maori,2016,NZ,8
Tia,Female,Maori,2016,NZ,9
Ria,Female,Maori,2016,NZ,10
Tui,Female,Maori,2016,NZ,11
Kaea,Female,Maori,2016,NZ,12
Kara,Female,Maori,2016,NZ,13
Tiare,Female,Maori,2016,NZ,14
Mareikura,Female,Maori,2016,NZ,15
Miru,Female,Maori,2016,NZ,16
Kahurangi,Female,Maori,2016,NZ,17
Marama,Female,Maori,2016,NZ,18
Moana,Female,Maori,2016,NZ,19
Huia,Female,Maori,2016,NZ,20
Maia,Female,Maori,2016,Overseas,1
Ariana,Female,Maori,2016,Overseas,2
Hei,Female,Maori,2016,Overseas,3
Manaia,Female,Maori,2016,Overseas,4
Aroha,Female,Maori,2016,Overseas,5
Anahera,Female,Maori,2016,Overseas,6
Hana,Female,Maori,2016,Overseas,7
Kaea,Female,Maori,2016,Overseas,8
Noa,Female,Maori,2016,Overseas,9
Tia,Female,Maori,2016,Overseas,10
Tiare,Female,Maori,2016,Overseas,11
Koa,Female,Maori,2016,Overseas,12
Makaia,Female,Maori,2016,Overseas,13
Moana,Female,Maori,2016,Overseas,14
Ahurei,Female,Maori,2016,Overseas,15
Atawhai,Female,Maori,2016,Overseas,16
Kahukura,Female,Maori,2016,Overseas,17
Kai,Female,Maori,2016,Overseas,18
Kara,Female,Maori,2016,Overseas,19
Kataraina,Female,Maori,2016,Overseas,20
Nikau,Male,Maori,2016,NZ,1
Ari,Male,Maori,2016,NZ,2
Kauri,Male,Maori,2016,NZ,3
Manaia,Male,Maori,2016,NZ,4
Te Ariki,Male,Maori,2016,NZ,5
Mikaere,Male,Maori,2016,NZ,6
Ihaia,Male,Maori,2016,NZ,7
Rawiri,Male,Maori,2016,NZ,8
Hemi,Male,Maori,2016,NZ,9
Tai,Male,Maori,2016,NZ,10
Kahurangi,Male,Maori,2016,NZ,11
Kai,Male,Maori,2016,NZ,12
Nikora,Male,Maori,2016,NZ,13
Tangaroa,Male,Maori,2016,NZ,14
Wiremu,Male,Maori,2016,NZ,15
Anaru,Male,Maori,2016,NZ,16
Ariki,Male,Maori,2016,NZ,17
Paora,Male,Maori,2016,NZ,18
Tama,Male,Maori,2016,NZ,19
Tane,Male,Maori,2016,NZ,20
Kai,Male,Maori,2016,Overseas,1
Manaia,Male,Maori,2016,Overseas,2
Ari,Male,Maori,2016,Overseas,3
Nikau,Male,Maori,2016,Overseas,4
Tamati,Male,Maori,2016,Overseas,5
Tane,Male,Maori,2016,Overseas,6
Ariki,Male,Maori,2016,Overseas,7
Kauri,Male,Maori,2016,Overseas,8
Tai,Male,Maori,2016,Overseas,9
Tama,Male,Maori,2016,Overseas,10
Hemi,Male,Maori,2016,Overseas,11
Kaea,Male,Maori,2016,Overseas,12
Matiu,Male,Maori,2016,Overseas,13
Rawiri,Male,Maori,2016,Overseas,14
Mana,Male,Maori,2016,Overseas,15
Manu,Male,Maori,2016,Overseas,16
Teina,Male,Maori,2016,Overseas,17
Wiremu,Male,Maori,2016,Overseas,18
Anaru,Male,Maori,2016,Overseas,19
Hawaiki,Male,Maori,2016,Overseas,20
