yearofbirth,sex,age,percentile,dx,ex,llx,lx,mx,px,qx,sx
1876,female,0,5,12731,54,92431,100000,0.1377,0.8727,0.1273,0.9295
1876,female,0,95,12731,54,92431,100000,0.1377,0.8727,0.1273,0.9295
1876,female,0,median,12731,54,92431,100000,0.1377,0.8727,0.1273,0.9295
1876,female,1,5,2705,60.9,85916,87269,0.0315,0.969,0.031,0.9772
1876,female,1,95,2705,60.9,85916,87269,0.0315,0.969,0.031,0.9772
1876,female,1,median,2705,60.9,85916,87269,0.0315,0.969,0.031,0.9772
1876,female,2,5,1214,61.8,83957,84564,0.0145,0.9856,0.0144,0.9876
1876,female,2,95,1214,61.8,83957,84564,0.0145,0.9856,0.0144,0.9876
1876,female,2,median,1214,61.8,83957,84564,0.0145,0.9856,0.0144,0.9876
1876,female,3,5,874,61.7,82913,83350,0.0105,0.9895,0.0105,0.9904
1876,female,3,95,874,61.7,82913,83350,0.0105,0.9895,0.0105,0.9904
1876,female,3,median,874,61.7,82913,83350,0.0105,0.9895,0.0105,0.9904
1876,female,4,5,722,61.3,82115,82476,0.0088,0.9912,0.0088,0.9918
1876,female,4,95,722,61.3,82115,82476,0.0088,0.9912,0.0088,0.9918
1876,female,4,median,722,61.3,82115,82476,0.0088,0.9912,0.0088,0.9918
1876,female,5,5,622,60.9,81443,81754,0.0076,0.9924,0.0076,0.9928
1876,female,5,95,622,60.9,81443,81754,0.0076,0.9924,0.0076,0.9928
1876,female,5,median,622,60.9,81443,81754,0.0076,0.9924,0.0076,0.9928
1876,female,6,5,547,60.3,80858,81131,0.0068,0.9933,0.0067,0.994
1876,female,6,95,547,60.3,80858,81131,0.0068,0.9933,0.0067,0.994
1876,female,6,median,547,60.3,80858,81131,0.0068,0.9933,0.0067,0.994
1876,female,7,5,423,59.7,80373,80585,0.0053,0.9948,0.0052,0.9951
1876,female,7,95,423,59.7,80373,80585,0.0053,0.9948,0.0052,0.9951
1876,female,7,median,423,59.7,80373,80585,0.0053,0.9948,0.0052,0.9951
1876,female,8,5,371,59,79976,80162,0.0046,0.9954,0.0046,0.9955
1876,female,8,95,371,59,79976,80162,0.0046,0.9954,0.0046,0.9955
1876,female,8,median,371,59,79976,80162,0.0046,0.9954,0.0046,0.9955
1876,female,9,5,347,58.3,79617,79791,0.0044,0.9956,0.0044,0.9958
1876,female,9,95,347,58.3,79617,79791,0.0044,0.9956,0.0044,0.9958
1876,female,9,median,347,58.3,79617,79791,0.0044,0.9956,0.0044,0.9958
1876,female,10,5,327,57.6,79280,79443,0.0041,0.9959,0.0041,0.9961
1876,female,10,95,327,57.6,79280,79443,0.0041,0.9959,0.0041,0.9961
1876,female,10,median,327,57.6,79280,79443,0.0041,0.9959,0.0041,0.9961
