"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
1808Delaware,"Total|Local Media",https://1808delaware.com,"Thomas Palmer",Yes,Mansfield,OH,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2018,0,11-20,0-10,11-20,71-80,,,,,,,,,,,,,,,,,,,,,,
1812Blockhouse,"Total|Local Media",https://1812blockhouse.com,"Thomas Palmer",Yes,Mansfield,OH,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2016,0,11-20,0-10,11-20,71-80,,,,,,,,,,,,,,,,,,,,,,"You are looking at something new and innovative as you scroll the pages and stories on 1812Blockhouse.
Gone are many of the traditional methods of news gathering and sharing that have been the backbone of media for at least the last 200 years. Unlike almost all of the online sites that have been created to partner with traditional newspapers, and even some of the new independent, online-only news operations that have appeared in the last decade, we’re different.
Different by design. Different by operation."
"365 Cincinatti",,https://365cincinnati.com,,No,Cincinatti,OH,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"This site and the Facebook page (100,000+ strong) have connected Cincinnati lovers from all of the city, the area, and the country. We’re all “hometown proud” - no matter where we currently live. And the site has given us all a place to come together in an effort to enjoy everything that makes Cincinnati the great city that it is."
"40 South News",,http://40southnews.com/contact,,No,"Brentwood, Maplewood & Richmond Heights",MO,"United States",English,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"40 South News covers Brentwood, Maplewood and Richmond Heights, and has been published since 2013 — with 1.3 million-plus page views to date."
"6AM City Inc",,https://6amcity.com,"Ryan Johnston, Ryan Heafy",Yes,Greenville,SC,"United States",English,,LLC,"For Profit",2016,"21 or more",31-40,21-30,11-20,21-30,"News aggregation, Newsletters, Originally-reported articles",,"Email, Social media, Website",,"City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings",,"Events in coverage area, Food, Lifestyle, Local News, Planning & Development",,"Communities with English as a second language, Ethnic communities, People of color, Immigrant communities, LGBTQI communities, Low-income communities",,"Direct sold advertising, e-Commerce",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), e-Commerce, Classifieds, Content Sponsorship, Display, Email",,"6AM City was designed to drive local economic impact in the cities we serve. Due to our success in this area we are actively being recruited to launch divisions of our company across the country.","6AM is redefining the future of local media as the fastest growing newsletter-first local media company in the country, delivering the most relevant need-to-know local news and events. We aim to build communities driven by conversation, designed to educate and activate the cities we call home.

Markets: Greenville, SC (GVLtoday); Columbia, SC (COLAtoday); Charleston, SC (CHStoday); Asheville, NC (AVLtoday); Raleigh, NC (RALtoday); Chattanooga,TN (NOOGAtoday); Nashville, TN (NASHtoday) and Lakeland, FL (LALtoday)."
"70 West Sentinel",,https://70westsentinel.com,"Tamara Duncan",No,"St. Charles",MO,"United States",English,,LLC,LLC,2014,0,0-10,0-10,81-90,0-10,"Originally-reported articles, Newsletters",,"Website, Social media, Third party content platforms, Events",,"County/Counties/Regional districts","Curation and commentary",,"Business, Crime & Justice, Education & Schools, Events in coverage area, Government",,,,"Haven’t generated revenue yet, but intend to do so",,,"Haven’t generated revenue yet, but intend to do so",,"I don't have a paywall",,"Display, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We provide information that citizens didn't know was available or that they had access to.","70 West Sentinel is an online source for news, information, and issues of importance to cities along the I-70 corridor in St. Charles and Warren Counties.
We will always strive to report news in a fair, objective and responsible manner."
70and73.com,,https://70and73.com,"Neill Borowski",No,Marlton,NJ,"United States",English,,LLC,LLC,2019,0,31-40,21-30,11-20,0-10,"Originally-reported articles, Video, Digital marketing services",,"Website, Owned and operated mobile app(s), Social media, Third party content platforms",,"County/Counties/Regional districts","Investigative news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Government, Planning & Development, Transportation",,,,"Haven’t generated revenue yet, but intend to do so",,,"Direct sold advertising",,,,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"We heavily cover planning, development, congestion and land use. Our development stories have resulted in full government meeting rooms -- even though we're only a few months old.","In the last 20 years, the traditional media have been severely disrupted by everything from the internet to Amazon to political polarization. Thriving suburban communities like Cherry Hill, Evesham/Marlton, Medford, Medford Lakes, Mount Laurel and Voorhees used to be closely covered by newsrooms, but no more.
We believe those communities deserve more complete and insightful coverage - giving rise to the digital-only journalism of 70and73.com."
80grados,,https://www.80grados.net,,No,"San Juan",PR,"United States",Spanish,,,"Not for Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Su norte principal es ofrecer una opción inteligente de formación e información, y  contribuir a un mayor nivel de calidad de vida cultural y política en Puerto Rico. Nos sentimos convocados por los Derechos Humanos y practicamos un periodismo con profundo compromiso social."
"83 Degrees",,https://www.83degreesmedia.com,,No,"Tampa Bay",FL,"United States",English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"83 Degrees Media is a popular online magazine and free weekly e-newsletter with a global reach. We produce feature stories, development news, innovation news, and job news about the Tampa Bay Area of Florida, including the cities of Tampa, St. Petersburg, and Clearwater. Our reporting looks through a solutions journalism lens at what's new and what's next in talent, innovation, diversity, and environment as drivers of the local economy."
"AC Primetime",,https://acprimetime.com,,No,"Atlantic City",NJ,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"News, Info & Events from Atlantic City, Ventnor, Margate, Longport & Brigantine"
