Entity,Code,Year,Access to clean fuels and technologies for cooking (% of population),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Abkhazia,OWID_ABK,2015,,,,Asia
Afghanistan,AFG,2000,8.8,,20779957,
Afghanistan,AFG,2001,9.51,,21606992,
Afghanistan,AFG,2002,10.39,1189.78466765718,22600774,
Afghanistan,AFG,2003,11.46,1235.81006329565,23680871,
Afghanistan,AFG,2004,12.43,1200.27801321734,24726689,
Afghanistan,AFG,2005,13.49,1286.79365893927,25654274,
Afghanistan,AFG,2006,14.81,1315.78911741835,26433058,
Afghanistan,AFG,2007,15.99,1460.8257513794,27100542,
Afghanistan,AFG,2008,17.44,1484.11446132539,27722281,
Afghanistan,AFG,2009,18.84,1758.90447663765,28394806,
Afghanistan,AFG,2010,20.68,1957.02906990812,29185511,
Afghanistan,AFG,2011,22.33,1904.55992565594,30117411,
Afghanistan,AFG,2012,24.08,2075.49161435331,31161378,
Afghanistan,AFG,2013,26.17,2116.46525771251,32269592,
Afghanistan,AFG,2014,27.99,2102.38460375974,33370803,
Afghanistan,AFG,2015,30.1,2068.26590413364,34413603,Asia
Afghanistan,AFG,2016,32.44,2057.06797755329,35383028,
Afghanistan,AFG,2017,,2058.4002210698,36296111,
Afghanistan,AFG,2018,,2033.80438893717,37171922,
Afghanistan,AFG,2019,,2065.03623501599,38041757,
Afghanistan,AFG,2020,,1978.96157872183,38928341,
Afghanistan,AFG,-10000,,,14737,
Afghanistan,AFG,-9000,,,20405,
Afghanistan,AFG,-8000,,,28253,
Afghanistan,AFG,-7000,,,39120,
Afghanistan,AFG,-6000,,,54166,
Afghanistan,AFG,-5000,,,74999,
Afghanistan,AFG,-4000,,,306250,
Afghanistan,AFG,-3000,,,537500,
Afghanistan,AFG,-2000,,,768751,
Afghanistan,AFG,-1000,,,999998,
Afghanistan,AFG,0,,,1999997,
Afghanistan,AFG,100,,,2250002,
Afghanistan,AFG,200,,,2500001,
Afghanistan,AFG,300,,,2500001,
Afghanistan,AFG,400,,,2500001,
Afghanistan,AFG,500,,,2500001,
Afghanistan,AFG,600,,,2500001,
Afghanistan,AFG,700,,,2425001,
Afghanistan,AFG,800,,,2350008,
Afghanistan,AFG,900,,,2299999,
Afghanistan,AFG,1000,,,2250002,
Afghanistan,AFG,1100,,,2375009,
Afghanistan,AFG,1200,,,2500001,
Afghanistan,AFG,1300,,,1749998,
Afghanistan,AFG,1400,,,1874998,
Afghanistan,AFG,1500,,,1999997,
Afghanistan,AFG,1600,,,2500001,
Afghanistan,AFG,1700,,,2500001,
Afghanistan,AFG,1710,,,2561614,
Afghanistan,AFG,1720,,,2619846,
Afghanistan,AFG,1730,,,2679387,
Afghanistan,AFG,1740,,,2740283,
Afghanistan,AFG,1750,,,2802568,
Afghanistan,AFG,1760,,,2866257,
Afghanistan,AFG,1770,,,2931400,
Afghanistan,AFG,1780,,,2998015,
Afghanistan,AFG,1790,,,3066156,
Afghanistan,AFG,1800,,,3280000,
Afghanistan,AFG,1801,,,3280000,
Afghanistan,AFG,1802,,,3280000,
Afghanistan,AFG,1803,,,3280000,
Afghanistan,AFG,1804,,,3280000,
Afghanistan,AFG,1805,,,3280000,
Afghanistan,AFG,1806,,,3280000,
Afghanistan,AFG,1807,,,3280000,
Afghanistan,AFG,1808,,,3280000,
Afghanistan,AFG,1809,,,3280000,
Afghanistan,AFG,1810,,,3280000,
Afghanistan,AFG,1811,,,3280000,
Afghanistan,AFG,1812,,,3280000,
Afghanistan,AFG,1813,,,3280000,
Afghanistan,AFG,1814,,,3280000,
Afghanistan,AFG,1815,,,3280000,
Afghanistan,AFG,1816,,,3280000,
Afghanistan,AFG,1817,,,3280000,
Afghanistan,AFG,1818,,,3280000,
Afghanistan,AFG,1819,,,3282935,
Afghanistan,AFG,1820,,,3288817,
Afghanistan,AFG,1821,,,3297661,
Afghanistan,AFG,1822,,,3309479,
Afghanistan,AFG,1823,,,3324285,
Afghanistan,AFG,1824,,,3339157,
Afghanistan,AFG,1825,,,3354095,
Afghanistan,AFG,1826,,,3369101,
Afghanistan,AFG,1827,,,3384173,
Afghanistan,AFG,1828,,,3399313,
Afghanistan,AFG,1829,,,3414520,
Afghanistan,AFG,1830,,,3429796,
Afghanistan,AFG,1831,,,3445140,
Afghanistan,AFG,1832,,,3460553,
Afghanistan,AFG,1833,,,3476034,
Afghanistan,AFG,1834,,,3491585,
Afghanistan,AFG,1835,,,3507205,
Afghanistan,AFG,1836,,,3522896,
Afghanistan,AFG,1837,,,3538656,
Afghanistan,AFG,1838,,,3554487,
Afghanistan,AFG,1839,,,3570389,
Afghanistan,AFG,1840,,,3586362,
Afghanistan,AFG,1841,,,3602406,
Afghanistan,AFG,1842,,,3618522,
Afghanistan,AFG,1843,,,3634711,
Afghanistan,AFG,1844,,,3650971,
Afghanistan,AFG,1845,,,3667305,
Afghanistan,AFG,1846,,,3683711,
Afghanistan,AFG,1847,,,3700191,
Afghanistan,AFG,1848,,,3716745,
Afghanistan,AFG,1849,,,3734342,
Afghanistan,AFG,1850,,,3752993,
Afghanistan,AFG,1851,,,3769828,
Afghanistan,AFG,1852,,,3787706,
Afghanistan,AFG,1853,,,3806634,
Afghanistan,AFG,1854,,,3825655,
Afghanistan,AFG,1855,,,3844769,
Afghanistan,AFG,1856,,,3863976,
Afghanistan,AFG,1857,,,3883276,
Afghanistan,AFG,1858,,,3902671,
Afghanistan,AFG,1859,,,3922160,
Afghanistan,AFG,1860,,,3941745,
Afghanistan,AFG,1861,,,3961424,
Afghanistan,AFG,1862,,,3981200,
Afghanistan,AFG,1863,,,4001072,
Afghanistan,AFG,1864,,,4021041,
Afghanistan,AFG,1865,,,4041107,
Afghanistan,AFG,1866,,,4061270,
Afghanistan,AFG,1867,,,4081532,
Afghanistan,AFG,1868,,,4101893,
Afghanistan,AFG,1869,,,4122358,
Afghanistan,AFG,1870,,,4142928,
Afghanistan,AFG,1871,,,4163604,
Afghanistan,AFG,1872,,,4184386,
Afghanistan,AFG,1873,,,4205274,
Afghanistan,AFG,1874,,,4226265,
Afghanistan,AFG,1875,,,4247357,
Afghanistan,AFG,1876,,,4268552,
Afghanistan,AFG,1877,,,4289851,
Afghanistan,AFG,1878,,,4311253,
Afghanistan,AFG,1879,,,4332759,
Afghanistan,AFG,1880,,,4354370,
Afghanistan,AFG,1881,,,4376086,
Afghanistan,AFG,1882,,,4397907,
Afghanistan,AFG,1883,,,4419835,
Afghanistan,AFG,1884,,,4441869,
Afghanistan,AFG,1885,,,4464010,
Afghanistan,AFG,1886,,,4486259,
Afghanistan,AFG,1887,,,4508616,
Afghanistan,AFG,1888,,,4531082,
Afghanistan,AFG,1889,,,4553657,
Afghanistan,AFG,1890,,,4576341,
Afghanistan,AFG,1891,,,4599136,
Afghanistan,AFG,1892,,,4622041,
Afghanistan,AFG,1893,,,4645058,
Afghanistan,AFG,1894,,,4668186,
Afghanistan,AFG,1895,,,4691426,
Afghanistan,AFG,1896,,,4714779,
Afghanistan,AFG,1897,,,4738246,
Afghanistan,AFG,1898,,,4761826,
Afghanistan,AFG,1899,,,4793171,
Afghanistan,AFG,1900,,,4832414,
Afghanistan,AFG,1901,,,4879685,
Afghanistan,AFG,1902,,,4935122,
Afghanistan,AFG,1903,,,4998861,
Afghanistan,AFG,1904,,,5063419,
Afghanistan,AFG,1905,,,5128808,
Afghanistan,AFG,1906,,,5195038,
Afghanistan,AFG,1907,,,5262120,
Afghanistan,AFG,1908,,,5330065,
Afghanistan,AFG,1909,,,5467828,
Afghanistan,AFG,1910,,,5681487,
Afghanistan,AFG,1911,,,5977589,
Afghanistan,AFG,1912,,,6363186,
Afghanistan,AFG,1913,,,6845878,
Afghanistan,AFG,1914,,,7365181,
Afghanistan,AFG,1915,,,7923871,
Afghanistan,AFG,1916,,,8524936,
Afghanistan,AFG,1917,,,9171589,
Afghanistan,AFG,1918,,,9875230,
Afghanistan,AFG,1919,,,10338650,
Afghanistan,AFG,1920,,,10558857,
Afghanistan,AFG,1921,,,10531818,
Afghanistan,AFG,1922,,,10252425,
Afghanistan,AFG,1923,,,9714452,
Afghanistan,AFG,1924,,,9204707,
Afghanistan,AFG,1925,,,8721710,
Afghanistan,AFG,1926,,,8264058,
Afghanistan,AFG,1927,,,7830419,
Afghanistan,AFG,1928,,,7419535,
Afghanistan,AFG,1929,,,7099916,
Afghanistan,AFG,1930,,,6866773,
Afghanistan,AFG,1931,,,6715569,
Afghanistan,AFG,1932,,,6642004,
Afghanistan,AFG,1933,,,6642004,
Afghanistan,AFG,1934,,,6642004,
Afghanistan,AFG,1935,,,6642004,
Afghanistan,AFG,1936,,,6642004,
Afghanistan,AFG,1937,,,6642004,
Afghanistan,AFG,1938,,,6642004,
Afghanistan,AFG,1939,,,6662371,
Afghanistan,AFG,1940,,,6703416,
Afghanistan,AFG,1941,,,6765457,
Afghanistan,AFG,1942,,,6848816,
Afghanistan,AFG,1943,,,6953820,
Afghanistan,AFG,1944,,,7060433,
Afghanistan,AFG,1945,,,7168681,
Afghanistan,AFG,1946,,,7278589,
Afghanistan,AFG,1947,,,7390182,
Afghanistan,AFG,1948,,,7503485,
Afghanistan,AFG,1949,,,7624058,
Afghanistan,AFG,1950,,,7752117,
Afghanistan,AFG,1951,,,7840151,
Afghanistan,AFG,1952,,,7935996,
Afghanistan,AFG,1953,,,8039684,
Afghanistan,AFG,1954,,,8151316,
Afghanistan,AFG,1955,,,8270992,
Afghanistan,AFG,1956,,,8398873,
Afghanistan,AFG,1957,,,8535157,
Afghanistan,AFG,1958,,,8680097,
Afghanistan,AFG,1959,,,8833947,
Afghanistan,AFG,1960,,,8996967,
Afghanistan,AFG,1961,,,9169406,
Afghanistan,AFG,1962,,,9351442,
Afghanistan,AFG,1963,,,9543200,
Afghanistan,AFG,1964,,,9744772,
Afghanistan,AFG,1965,,,9956318,
Afghanistan,AFG,1966,,,10174840,
Afghanistan,AFG,1967,,,10399936,
Afghanistan,AFG,1968,,,10637064,
Afghanistan,AFG,1969,,,10893772,
Afghanistan,AFG,1970,,,11173654,
Afghanistan,AFG,1971,,,11475450,
Afghanistan,AFG,1972,,,11791222,
Afghanistan,AFG,1973,,,12108963,
Afghanistan,AFG,1974,,,12412960,
Afghanistan,AFG,1975,,,12689164,
Afghanistan,AFG,1976,,,12943093,
Afghanistan,AFG,1977,,,13171294,
Afghanistan,AFG,1978,,,13341199,
Afghanistan,AFG,1979,,,13411060,
Afghanistan,AFG,1980,,,13356500,
Afghanistan,AFG,1981,,,13171679,
Afghanistan,AFG,1982,,,12882518,
Afghanistan,AFG,1983,,,12537732,
Afghanistan,AFG,1984,,,12204306,
Afghanistan,AFG,1985,,,11938204,
Afghanistan,AFG,1986,,,11736177,
Afghanistan,AFG,1987,,,11604538,
Afghanistan,AFG,1988,,,11618008,
Afghanistan,AFG,1989,,,11868873,
Afghanistan,AFG,1990,,,12412311,
Afghanistan,AFG,1991,,,13299016,
Afghanistan,AFG,1992,,,14485543,
Afghanistan,AFG,1993,,,15816601,
Afghanistan,AFG,1994,,,17075728,
Afghanistan,AFG,1995,,,18110662,
Afghanistan,AFG,1996,,,18853444,
Afghanistan,AFG,1997,,,19357126,
Afghanistan,AFG,1998,,,19737770,
Afghanistan,AFG,1999,,,20170847,
Afghanistan,AFG,2021,,,39835428,
Africa,,-10000,,,227611,
Africa,,-9000,,,323035,
Africa,,-8000,,,462967,
Africa,,-7000,,,670019,
Africa,,-6000,,,979104,
Africa,,-5000,,,1444504,
Africa,,-4000,,,2251122,
Africa,,-3000,,,4007530,
Africa,,-2000,,,6064634,
Africa,,-1000,,,8992370,
Africa,,0,,,14807660,
Africa,,100,,,16184489,
Africa,,200,,,17752974,
Africa,,300,,,18711169,
Africa,,400,,,19971099,
Africa,,500,,,21483418,
