year,gas_mwh,solar_mwh,wind_mwh
2009,57.64536670944586,167.6650529026188,74.32525239641825
2010,56.83171363745291,139.8022443988669,65.5013372216574
2011,46.000092893279344,110.85504435751714,47.77624605153814
2012,44.48750291687616,84.09577559757795,40.11422633017146
2013,43.17249334809343,68.881973681368,28.72294988216704
2014,46.08091729932237,57.271352496484155,26.576140312277484
2015,47.09131368036724,46.32037238991676,31.153087190463268
2016,39.78608763420984,39.31147420900682,25.560012757022566
2017,38.12266198965089,37.839644606223686,18.357162372438204
2018,34.480123320798825,26.965947053481383,16.66544984008503
2019,30.65534148807306,21.929684650519917,23.772756380038665
2020,25.67761150846819,22.780461265430276,29.2793911999629
2021,26.59357600435549,23.131425892199882,NA
