id	title	author	year	total_weeks	first_week	debut_rank	best_rank
0	"""H"" IS FOR HOMICIDE"	Sue Grafton	1991	15	1991-05-05	1	2
1	"""I"" IS FOR INNOCENT"	Sue Grafton	1992	11	1992-04-26	14	2
10	''G'' IS FOR GUMSHOE	Sue Grafton	1990	6	1990-05-06	4	8
100	A DOG'S JOURNEY	W. Bruce Cameron	2012	1	2012-05-27	3	14
1000	CHANGING FACES	Kimberla Lawson Roby	2006	1	2006-02-19	11	14
1001	CHAOS	Patricia Cornwell	2016	3	2016-12-04	1	7
1002	CHAPTERHOUSE: DUNE	Frank Herbert	1985	16	1985-04-21	9	2
1003	CHARADE	Sandra Brown	1994	5	1994-05-01	7	10
1004	CHARLESTON	John Jakes	2002	4	2002-08-25	7	12
1005	CHARLOTTE GRAY	Sebastian Faulks	1999	1	1999-03-14	12	17
1006	CHARLOTTE'S WEB	E.B. White	1952	3	1952-11-09	13	13
1007	CHARM!	Kendall Hart	2008	2	2008-02-24	5	13
1008	CHARMED CIRCLE	Susan Ertz	1956	11	1956-07-15	12	8
1009	CHARMING BILLY	Alice McDermott	1998	6	1998-12-27	2	5
101	A DOG'S LIFE	Peter Mayle	1995	9	1995-04-09	11	5
1010	CHARMS FOR THE EASY LIFE	Kaye Gibbons	1993	8	1993-05-02	13	11
1011	CHARON'S CLAW	R. A. Salvatore	2012	1	2012-08-26	2	4
1012	CHARON’S CLAW	R. A. Salvatore	2012	1	2012-09-02	14	16
1013	CHASING CEZANNE	Peter Mayle	1997	12	1997-06-22	10	6
1014	CHASING DARKNESS	Robert Crais	2008	2	2008-07-20	7	7
1015	CHASING DESTINY	Eric Jerome Dickey	2006	3	2006-04-30	7	6
1016	CHASING FIRE	Nora Roberts	2011	5	2011-05-01	15	1
1017	CHASING HARRY WINSTON	Lauren Weisberger	2008	11	2008-06-15	5	4
1018	CHASING MIDNIGHT	Randy Wayne White	2012	1	2012-03-25	7	7
1019	CHASING SUNSETS	Karen Kingsbury	2015	1	2015-04-26	16	14
102	A DOG'S WAY HOME	W. Bruce Cameron	2017	2	2017-05-28	9	10
1020	CHASING THE DIME	Michael Connelly	2002	3	2002-11-03	1	3
1021	CHASING THE NIGHT	Iris Johansen	2010	1	2010-11-07	9	13
1022	CHERRY	Nico Walker	2018	1	2018-09-02	1	14
1023	CHESAPEAKE	James A. Michener	1978	47	1978-07-23	7	1
1024	CHESAPEAKE BLUE	Nora Roberts	2002	5	2002-11-24	11	1
1025	CHESTNUT STREET	Maeve Binchy	2014	5	2014-05-11	9	3
1026	CHEZ PAVAN	Richard Llewellyn	1958	8	1958-08-24	1	10
1027	CHILD 44	Tom Rob Smith	2008	3	2008-05-18	7	9
1028	CHILD'S PLAY	Danielle Steel	2019	1	2019-10-27	16	9
