Company,Total Contributed,# of Politicians Contributed to,# of States Where Contributions Made
AT&T,307137.52,67,6
Charter Communications,168077.15,34,5
Enterprise Products Partners,160000,1,1
Comcast,121350,40,4
Berkshire Hathaway,100000,1,1
Valero Energy,93500,6,2
Amazon,87900,17,1
FedEx,79700,24,2
State Farm,79550,32,3
American Electric Power,65000,1,1
Vistra,62500,2,1
Tenet Healthcare,61549,3,2
UnitedHealth Group,58150,16,2
Union Pacific,52400,6,3
Anthem,50000,1,1
General Motors,48500,10,4
Farmers Insurance,47100,16,3
USAA,45000,1,1
Molina Healthcare,44500,7,3
Centene,43500,5,3
Marathon Petroleum,42000,7,3
Pfizer,41450,20,5
Wells Fargo,40500,4,2
Magellan Health,40000,1,1
Exelon,40000,1,1
Cigna,40000,21,3
CVS Health,35750,11,3
NRG Energy,35000,1,1
CenterPoint Energy,32500,2,1
Walt Disney,32000,9,1
Boeing,31000,9,4
Publix Super Markets,29500,22,3
ConocoPhillips,27502.64,2,1
NextEra Energy,27500,9,3
Nucor,26500,15,2
Merck,26300,22,3
Walmart,25500,8,3
Altria Group,23800,14,4
Jacobs (Jacobs Engineering Group),22500,1,1
Exxon Mobil,22500,7,3
Chevron,21000,6,2
Commercial Metals,20750,2,2
Allstate,19700,10,5
Eli Lilly,19450,12,4
Raytheon Technologies,17250,8,2
CSX,17000,15,2
Norfolk Southern,16900,26,2
Duke Energy,16000,8,1
Verizon Communications,15000,6,3
Home Depot,15000,6,3
Energy Transfer,15000,1,1
Lumen Technologies,13777.67,7,4
Textron,13500,1,1
Southwest Airlines,12750,8,2
JPMorgan Chase,11500,3,2
Humana,10750,11,2
Ford Motor,10250,2,2
Targa Resources,10000,1,1
PNC,10000,1,1
Dow,10000,1,1
Bank of America,10000,1,1
Vertex Pharmaceuticals,9750,6,2
Caterpillar,9500,6,4
Motorola Solutions,9000,2,2
Entergy,8250,1,1
DaVita,8250,6,3
Waste Management,7500,12,2
Texas Instruments,7500,1,1
AutoZone,7200,2,1
Freeport-McMoRan,6950,8,1
Lockheed Martin,6500,2,2
International Paper,6500,8,3
PepsiCo,6250,7,2
Abbott Laboratories,6050,3,2
Truist,6000,7,1
AbbVie,6000,2,2
United Airlines Holdings,5000,1,1
Tyson Foods,5000,5,1
Occidental Petroleum,5000,1,1
McDonald's,5000,1,1
Eastman Chemical,5000,1,1
Constellation Brands,5000,1,1
Cheniere Energy,5000,1,1
Unum Group,4850,7,1
Walgreens,4500,6,3
Erie Insurance Group,4500,7,1
McKesson,4450,5,2
Sysco,4000,2,2
Regions Financial,3000,5,2
Oneok,3000,1,1
LKQ,3000,5,3
Community Health Systems,3000,4,1
Citigroup,3000,2,2
Capital One,2500,1,1
Applied Materials,2500,1,1
Taylor Morrison Home,2000,3,2
Microsoft,2000,2,1
Lowe's,2000,2,1
Johnson & Johnson,1750,3,3
Prudential Financial (U.S.),1250,2,1
Nationwide,1250,3,2
Visa,1000,1,1
Southern Company,1000,1,1
Mosaic,1000,2,1
Lennar,1000,1,1
Intel,1000,2,1
Gilead,1000,1,1
Frontier Communications,1000,1,1
Cummins,1000,2,1
3M,1000,1,1
Republic Services,950,3,1
Target,500,1,1
Quest Diagnostics,500,1,1
Honeywell International,500,1,1
Amgen,500,1,1
Tractor Supply,225.16,1,1
Grand Total,2933719.14,100,6
