Company,Pride Event Sponsored,"Sponsorship Amount, where available",Year,Source,True donor value
#BlackMenCryToo,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
106.1 KMEL,SF Pride,Media Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
3DX Inc,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,3DX
AARP,Houston Pride,Gold,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,AARP
AARP,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,AARP
ABC 7 News,NYC Pride,Platinum Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,ABC
abC 7 News,LA Pride,BroadCast Partner,2022,https://lapride.org/2022-sponsors/,ABC
abc13,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,ABC
Accurate Personnel Services,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,Accurate Personnel Services
Ace Hotel New York,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Ace Hotel New York
ACLU Texas,Houston Pride,Bronze,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,NA
Advance Auto Parts,LA Pride,Allies,2022,https://lapride.org/2022-sponsors/,Advance Auto Parts
Aetna,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Aetna
AHF,Miami Pride,Diamond Sponsors,2021,https://www.miamibeachpride.com/sponsor,NA
AHF Pharmacy Not for Profit Healthcare,Miami Pride,Platinum Partners,2021,https://www.miamibeachpride.com/sponsor,NA
AIDS Healthcare Foundation,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,NA
AiDS Healthcare Foundation,Houston Pride,Silver,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,NA
Alaska Airlines,SF Pride,Commemorative Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Alaska Airlines
Am Metro NY,NYC Pride,Silver Media Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Schneps Media
Ambiente Revista Magazine,Miami Pride,Media Partners,2021,https://www.miamibeachpride.com/sponsor,Ambiente Revista Magazine
American Airlines,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,American Airlines
American Airlines,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,American Airlines
Art Deco Museum Miami,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,NA
AT&T,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,AT&T
Athleisure,NYC Pride,Silver Media Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Atlanta Falcons,Atlanta Pride,Silver,2021,https://www.atlantapride.org/our_partners/,NA
Atlanta United FC,Atlanta Pride,Silver,2021,https://www.atlantapride.org/our_partners/,NA
Audible,NYC Pride,Silver Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Amazon
Austin Pride,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,NA
Avita Pharmacy,Houston Pride,Bronze,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Avita
Axel Beach Miami,Miami Pride,Advocate Partners,2021,https://www.miamibeachpride.com/sponsor,Axel Beach
Bank of America,Houston Pride,Bronze,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Bank of America
