0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4,state
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0,alabama
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0,alabama
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0,alabama
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0,alabama
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0,alabama
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0,alabama
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0,alabama
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0,alabama
72.8,d_18950901,19.9,0.7,0,0,0,0,7.3,0.1,0,0,0,alabama
47.4,d_18951001,51.6,29.7,0.6,0,0,0,1,0,0,0,0,alabama
53.5,d_18951101,46.2,24.4,0,0,0,0,0.2,0,0,0,0,alabama
19.4,d_18951201,80.7,61.2,13.2,3.6,0,0,0,0,0,0,0,alabama
18.9,d_18960101,81,53.8,5.5,0,0,0,0,0,0,0,0,alabama
39.2,d_18960201,60.8,34.2,4.8,0,0,0,0,0,0,0,0,alabama
13.5,d_18960301,86.5,61.8,7.3,0,0,0,0,0,0,0,0,alabama
11,d_18960401,89,60.7,7.4,0,0,0,0,0,0,0,0,alabama
4.5,d_18960501,95.6,85.4,16,2.1,0,0,0,0,0,0,0,alabama
45.4,d_18960601,54.7,30.5,6.5,1,0,0,0,0,0,0,0,alabama
47,d_18960701,53,24.7,1.6,0,0,0,0,0,0,0,0,alabama
48.5,d_18960801,51.5,21.1,5.3,0.5,0,0,0,0,0,0,0,alabama
33.8,d_18960901,66.3,34.6,4,0.6,0,0,0,0,0,0,0,alabama
33.5,d_18961001,66.5,30.3,6.5,1.5,0,0,0,0,0,0,0,alabama
27,d_18961101,73,40.7,5.3,0.4,0,0,0,0,0,0,0,alabama
6.6,d_18961201,93.4,79.1,46.3,19.7,4.5,0,0,0,0,0,0,alabama
2,d_18970101,97.9,86.5,52.1,21.6,3.3,0,0,0,0,0,0,alabama
24.9,d_18970201,74.9,64.7,39.3,18,2.1,0,0.3,0,0,0,0,alabama
42.6,d_18970301,45.4,30.4,8.2,2.4,0,0,12,8.9,0,0,0,alabama
44.5,d_18970401,46.7,27.5,4.4,0,0,0,8.8,0.1,0,0,0,alabama
41.5,d_18970501,53,36.2,7.2,1.4,0,0,5.5,0.1,0,0,0,alabama
35.8,d_18970601,58.5,39.6,5.6,1,0,0,5.7,0,0,0,0,alabama
35,d_18970701,61.4,40.3,5,1.2,0,0,3.6,0.3,0,0,0,alabama
50.5,d_18970801,46.5,30.9,8,1.7,0,0,3,0.2,0,0,0,alabama
57.5,d_18970901,40,24.7,2.3,0.2,0,0,2.5,0,0,0,0,alabama
51.2,d_18971001,43.8,29.7,7.6,1.2,0,0,5.1,1.6,0,0,0,alabama
32.2,d_18971101,67.8,51.4,28.7,17.6,1.3,0,0,0,0,0,0,alabama
0.4,d_18971201,99.6,93.3,77,60.6,24.3,0,0,0,0,0,0,alabama
0.4,d_18980101,99.5,95.4,76,64.9,44,0,0,0,0,0,0,alabama
0,d_18980201,99.9,93.2,81.3,71.8,57.3,0,0,0,0,0,0,alabama
0.2,d_18980301,99.9,92.1,78,71.7,54.4,0,0,0,0,0,0,alabama
0.7,d_18980401,99.3,91.2,77.3,70.7,40.3,0,0,0,0,0,0,alabama
0,d_18980501,100,99.6,91.1,88.3,83.2,0,0,0,0,0,0,alabama
0.2,d_18980601,99.8,95.9,87.1,82.3,61.5,0,0,0,0,0,0,alabama
3.7,d_18980701,96.3,89.4,80.9,63.5,23,0,0,0,0,0,0,alabama
11.5,d_18980801,88.5,69,15.6,6.5,1.7,0,0,0,0,0,0,alabama
11.9,d_18980901,88,70.2,28.2,11.6,4.1,0,0,0,0,0,0,alabama
31.8,d_18981001,67.9,47.7,13.8,4.5,0.8,0,0.4,0,0,0,0,alabama
63.6,d_18981101,23.4,11.4,0.1,0,0,0,12.9,2.2,0,0,0,alabama
36.2,d_18981201,25.4,13.1,3.9,0,0,0,38.2,25.1,1.3,0,0,alabama
39.8,d_18990101,18.1,9.2,0.7,0,0,0,42.1,30.4,16.2,4.9,0,alabama
19.2,d_18990201,5.4,0.6,0,0,0,0,75.3,58.8,35.6,23,12.1,alabama
19.1,d_18990301,0,0,0,0,0,0,80.9,61.1,30.5,17.1,6.2,alabama
46.8,d_18990401,0.4,0,0,0,0,0,52.7,36.2,15.8,7.9,1.2,alabama
73.3,d_18990501,10.7,0.4,0,0,0,0,16,7.4,0,0,0,alabama
65.9,d_18990601,22.8,7.6,0,0,0,0,11.3,4.6,0,0,0,alabama
80.6,d_18990701,10.2,0,0,0,0,0,9.1,1.6,0,0,0,alabama
45.1,d_18990801,51.8,26.7,0.7,0,0,0,3.1,0.4,0,0,0,alabama
36.3,d_18990901,62.1,45.4,13.3,2.8,0,0,1.5,0.1,0,0,0,alabama
26.7,d_18991001,71.6,56.2,23,13,0,0,1.6,0,0,0,0,alabama
9.3,d_18991101,90.7,73.1,52.8,36.6,2.4,0,0,0,0,0,0,alabama
0.6,d_18991201,99.5,92.7,55.2,16.4,1.2,0,0,0,0,0,0,alabama
0.9,d_19000101,99.2,96.5,46,8.9,0.1,0,0,0,0,0,0,alabama
54.7,d_19000201,45.3,15.9,0.2,0,0,0,0.1,0,0,0,0,alabama
70.4,d_19000301,23.1,5.1,0,0,0,0,6.5,0.4,0,0,0,alabama
86,d_19000401,0.9,0.2,0,0,0,0,13.1,1.5,0,0,0,alabama
94.6,d_19000501,1.1,0.3,0,0,0,0,4.3,0.1,0,0,0,alabama
4.6,d_19000601,0,0,0,0,0,0,95.4,74.4,29.4,6.8,0,alabama
18.9,d_19000701,0,0,0,0,0,0,81,61.7,32.6,14.9,0,alabama
16.1,d_19000801,0,0,0,0,0,0,83.9,58.2,32.7,13.2,1,alabama
11.6,d_19000901,0,0,0,0,0,0,88.4,58.9,32.1,12.4,0.4,alabama
0,d_19001001,0,0,0,0,0,0,99.9,98.8,61.8,47.5,18.7,alabama
25.5,d_19001101,0,0,0,0,0,0,74.6,64,43.4,28,9.7,alabama
20.7,d_19001201,0,0,0,0,0,0,79.2,68.1,48.9,29.5,8.8,alabama
37.2,d_19010101,0,0,0,0,0,0,62.7,46.2,10.9,3.1,0.1,alabama
18,d_19010201,0,0,0,0,0,0,82,51,18.4,7.1,0.3,alabama
51.2,d_19010301,20.7,8.5,0.6,0,0,0,28,7.5,0.7,0,0,alabama
46.8,d_19010401,16.8,10.8,0.8,0,0,0,36.4,10.6,0.5,0,0,alabama
33.7,d_19010501,9.8,2.8,0,0,0,0,56.6,39.4,3.3,0.7,0,alabama
41.5,d_19010601,10.6,3.2,0,0,0,0,48,24.2,1.2,0,0,alabama
49,d_19010701,41.2,24,6.5,0.5,0,0,9.8,0,0,0,0,alabama
48.8,d_19010801,8.6,2.5,0,0,0,0,42.7,23.6,1.9,0,0,alabama
50.3,d_19010901,5.4,1,0,0,0,0,44.3,30.6,9.9,0.9,0,alabama
54.9,d_19011001,9.4,2.2,0,0,0,0,35.7,22,1.3,0,0,alabama
58.6,d_19011101,12.8,3.9,0.1,0,0,0,28.5,15.9,0,0,0,alabama
57.9,d_19011201,1.3,0,0,0,0,0,40.8,25.8,4.7,0,0,alabama
57.4,d_19020101,12.3,2,0,0,0,0,30.4,17.2,0.2,0,0,alabama
60.1,d_19020201,4.6,0.1,0,0,0,0,35.3,15.3,0.3,0,0,alabama
20.4,d_19020301,0,0,0,0,0,0,79.6,49.3,14,0.1,0,alabama
25.7,d_19020401,0,0,0,0,0,0,74.3,42.1,7.9,0.1,0,alabama
57.6,d_19020501,26.2,5.9,0.1,0,0,0,16.2,6,0,0,0,alabama
41.8,d_19020601,57.8,34.4,5.2,0.4,0,0,0.4,0,0,0,0,alabama
34.4,d_19020701,65.4,36.2,5.4,0.9,0.1,0,0.1,0,0,0,0,alabama
48.1,d_19020801,51.8,24.1,3.7,0.2,0,0,0,0,0,0,0,alabama
25.2,d_19020901,74.8,44.3,13.2,4.6,0,0,0,0,0,0,0,alabama
48,d_19021001,45,24.9,8.8,1.4,0,0,7,0.9,0,0,0,alabama
28.8,d_19021101,70.1,40.9,10.1,0.9,0,0,1.2,0,0,0,0,alabama
4.9,d_19021201,95,83.5,34.9,17.8,3.5,0,0,0,0,0,0,alabama
12.2,d_19030101,87.7,76.5,30,15.7,1.1,0,0,0,0,0,0,alabama
80.5,d_19030201,7.7,0.2,0,0,0,0,11.8,4.2,0,0,0,alabama
68.6,d_19030301,0,0,0,0,0,0,31.4,7.3,0.2,0,0,alabama
63.9,d_19030401,0,0,0,0,0,0,36.1,6.3,0.7,0,0,alabama
25.1,d_19030501,0,0,0,0,0,0,74.9,37.6,3.5,1.7,0,alabama
30,d_19030601,0,0,0,0,0,0,69.9,32.8,5.3,2.2,0.4,alabama
46.6,d_19030701,1.4,0,0,0,0,0,51.9,14.1,2.2,0.8,0,alabama
49.9,d_19030801,0.1,0,0,0,0,0,50,12.8,1.5,0.3,0,alabama
83.4,d_19030901,5.2,1.3,0,0,0,0,11.4,4.3,1.8,0.7,0,alabama
73.9,d_19031001,6.6,2.8,0,0,0,0,19.6,5.7,2.1,0.9,0,alabama
22.4,d_19031101,75.4,43.8,11.5,3.5,0,0,2,0.6,0,0,0,alabama
19.1,d_19031201,80.3,66.2,31.3,13.6,2.5,0,0.6,0,0,0,0,alabama
28.9,d_19040101,70,56.4,23.9,11.5,1.1,0,1.2,0,0,0,0,alabama
11.8,d_19040201,88.2,78,54.5,43.4,28.8,0,0,0,0,0,0,alabama
2.6,d_19040301,97.4,93.7,78.7,65.2,39.5,0,0,0,0,0,0,alabama
1.3,d_19040401,98.7,95.4,84.3,71.2,49.7,0,0,0,0,0,0,alabama
0,d_19040501,100,98.9,89.7,76.2,52.9,0,0,0,0,0,0,alabama
0,d_19040601,99.9,99.9,96,65.1,32,0,0,0,0,0,0,alabama
0,d_19040701,100.1,100.1,86.3,56.9,21.9,0,0,0,0,0,0,alabama
0,d_19040801,99.9,95.1,44.8,23.8,5.4,0,0,0,0,0,0,alabama
0,d_19040901,100,98.2,54.6,21.2,4.9,0,0,0,0,0,0,alabama
0,d_19041001,99.9,99.9,88.3,56.9,12.8,0,0,0,0,0,0,alabama
0.1,d_19041101,99.9,96.8,76.7,58.7,25.3,0,0,0,0,0,0,alabama
0.1,d_19041201,99.9,95.6,68.5,34.5,9.2,0,0,0,0,0,0,alabama
5.9,d_19050101,94.1,76.6,23.7,8.1,1.5,0,0,0,0,0,0,alabama
52.6,d_19050201,47.3,22.9,6.1,1.8,0,0,0,0,0,0,0,alabama
38.8,d_19050301,61.1,31.3,8.9,2.8,0.1,0,0,0,0,0,0,alabama
33.2,d_19050401,66.9,40.2,10.4,2.2,0,0,0,0,0,0,0,alabama
31.8,d_19050501,68.2,37.8,7.1,3,0,0,0,0,0,0,0,alabama
71.1,d_19050601,28.3,16.5,2.8,0.2,0,0,0.7,0,0,0,0,alabama
74.8,d_19050701,18.7,7.3,1.6,0.1,0,0,6.5,0.1,0,0,0,alabama
61.4,d_19050801,12.3,5,0,0,0,0,26.3,8.6,0,0,0,alabama
68,d_19050901,12.3,6,0,0,0,0,19.7,4.5,0,0,0,alabama
59.4,d_19051001,10.9,3.4,0,0,0,0,29.7,11.5,0,0,0,alabama
51.6,d_19051101,47.7,21.9,4.4,0,0,0,0.7,0,0,0,0,alabama
77.8,d_19051201,7.2,2.4,0,0,0,0,15,2.2,0,0,0,alabama
74.5,d_19060101,4.5,1.1,0,0,0,0,20.8,6.2,0,0,0,alabama
51,d_19060201,46.1,18.5,2.8,0.4,0,0,2.9,0,0,0,0,alabama
66,d_19060301,21.8,11.1,0.9,0,0,0,12.2,0.4,0,0,0,alabama
54.9,d_19060401,44.9,24.8,5.3,0.4,0,0,0.2,0,0,0,0,alabama
53.1,d_19060501,46.8,23.4,2.4,0,0,0,0.2,0,0,0,0,alabama
62.5,d_19060601,37.1,19.7,3.4,1.1,0,0,0.4,0,0,0,0,alabama
61.4,d_19060701,31.4,20.8,1.2,0,0,0,7.1,0.1,0,0,0,alabama
60,d_19060801,24.8,13.5,0,0,0,0,15.2,2.4,0,0,0,alabama
52.4,d_19060901,2.7,0,0,0,0,0,44.9,14.1,1.4,0,0,alabama
48.5,d_19061001,0,0,0,0,0,0,51.6,26.3,4.7,0.2,0,alabama
41,d_19061101,0,0,0,0,0,0,59,35.3,14.6,3.2,0,alabama
66,d_19061201,2.9,0,0,0,0,0,31,14.3,2.2,0,0,alabama
62.7,d_19070101,1.1,0,0,0,0,0,36.3,17.3,3.8,0.4,0,alabama
64.6,d_19070201,10.7,1.7,0,0,0,0,24.5,15.8,4.9,2.1,0,alabama
66,d_19070301,23.3,8.3,0,0,0,0,10.6,5.1,0.9,0,0,alabama
79.4,d_19070401,17,1.2,0,0,0,0,3.6,1,0,0,0,alabama
66.9,d_19070501,0,0,0,0,0,0,33.1,13.9,0.8,0,0,alabama
53.7,d_19070601,44.7,13.9,0.6,0,0,0,1.5,0.1,0,0,0,alabama
