year,accomplishment,person,gender,category
1738,First free African-American community,Gracia Real de Santa Teresa de Mose (later named Fort Mose) in Florida,African-American Firsts,Social & Jobs
1760,First known African-American published author,Jupiter Hammon (poem An Evening Thought,Female African American Firsts,Arts & Entertainment
1768,First known African-American to be elected to public office,"Wentworth Cheswell, town constable in Newmarket, New Hampshire.[5]",African-American Firsts,Social & Jobs
1773,First known African-American woman to publish a book,"Phillis Wheatley (Poems on Various Subjects, Religious and Moral)[6]",Female African American Firsts,Arts & Entertainment
1773,First separate African-American church,"Silver Bluff Baptist Church, Aiken County, South Carolina[7][8][Note 1]",African-American Firsts,Religion
1775,First African-American to join the Freemasons,Prince Hall,African-American Firsts,Social & Jobs
1778,First African-American U.S. military regiment,the 1st Rhode Island Regiment[9],African-American Firsts,Military
1783,First African-American to formally practice medicine,"James Derham, who did not hold an M.D. degree.[10] (See also 1847 firsts.)",African-American Firsts,Education & Science
1785,First African-American ordained as a Christian minister in the United States,"Rev. Lemuel Haynes. He was ordained in the Congregational Church, which became the United Church of Christ[11]",African-American Firsts,Religion
1792,First major African-American Back-to-Africa movement,"3,000 Black Loyalist slaves,  who had escaped to British lines during the American Revolutionary War for the promise of freedom, were relocated to Nova Scotia and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony of Settler Town, which is present-day Sierra Leone.",African-American Firsts,Social & Jobs
1793,First African Methodist Episcopal (AME) Church founded,"Mother Bethel A.M.E. Church, Philadelphia, Pennsylvania was founded by Richard Allen",African-American Firsts,Religion
1794,First African Episcopal Church established,"Absalom Jones founded African Episcopal Church of St. Thomas, Philadelphia, Pennsylvania",Female African American Firsts,Religion
1804,First African-American ordained as an Episcopal priest,"Absalom Jones in Philadelphia, Pennsylvania[12]",African-American Firsts,Religion
1807,First African-American Presbyterian Church in America,"First African Presbyterian Church founded in Philadelphia, Pennsylvania by John Gloucester a former slave.",African-American Firsts,Religion
1816,First fully independent African-American denomination,"African Methodist Episcopal Church (AME), based in Philadelphia, Pennsylvania and mid-Atlantic states",African-American Firsts,Religion
1821,First African-American to hold a patent,"Thomas L. Jennings, for a dry-cleaning process[13]",African-American Firsts,Education & Science
1822,First African-American captain to sail a whaleship with an all-black crew,Absalom Boston[14],African-American Firsts,Military
1823,First African-American to receive a degree from an American college,"Alexander Twilight, Middlebury College[15] (See also",African-American Firsts,Education & Science
1827,First African-American owned-and-operated newspaper,"Freedom's Journal, founded in New York City by Rev. Peter Williams Jr. and other free blacks.",African-American Firsts,Arts & Entertainment
1836,First African-American elected to serve in a state legislature,"Alexander Twilight, Vermont[15] (See also",African-American Firsts,Military
1837,First formally trained African-American medical doctor,"Dr James McCune Smith of New York City, who was educated at the University of Glasgow, Scotland, and returned to practice in New York.[16] (See also",African-American Firsts,Education & Science
1845,First African-American licensed to practice law,Macon Allen from the Boston bar[17],African-American Firsts,Law
1847,First African-American to graduate from a US medical school,Dr. David J. Peck[18] (Rush Medical College) (See also,African-American Firsts,Education & Science
1847,First African-American president of any nation,"Joseph Jenkins Roberts, Liberia[19]",African-American Firsts,Politics
1849,First African-American college professor at a predominantly white institution,"Charles L. Reason, New York Central College[20]",African-American Firsts,Education & Science
1851,First African-American member of the Society of Jesus (Jesuits),Patrick Francis Healy[21] (See also,African-American Firsts,Religion
1853,First novel published by an African-American,"Clotel; or, The President's Daughter, by William Wells Brown, then living in London.[Note 2][22][23]",Female African American Firsts,Arts & Entertainment
1854,First African-American Roman Catholic priest,James Augustine Healy[24] (see 1875 and 1886),African-American Firsts,Religion
1854,First institute of higher learning created to educate African-Americans,"Ashmun Institute in Pennsylvania, renamed Lincoln University in 1866. (See also firsts in 1863)",Female African American Firsts,Education & Science
1858,First published play by an African-American,"The Escape; or, A Leap for Freedom by William Wells Brown[25]",Female African American Firsts,Arts & Entertainment
